IT,CZ,Order,Sentence,SentenceT,L,HT,gender_it
bene,dobře,34,Oggi sto bene.,Dnes se mám dobře.,ne,ne,
ho,mám,35,Ho due lezioni oggi.,Dnes mám dvě lekce.,ne,ne,
abita,bydlí,36,Lui abita a Roma.,On bydlí v Římě.,ne,ne,
hai,máš,37,Hai un minuto?,Máš minutu?,ne,ano,
nipote,synovec,38,Il mio nipote gioca a calcio.,Můj synovec hraje fotbal.,ne,ano,m
nipote,neteř,39,La mia nipote suona il piano.,Moje neteř hraje na klavír.,ne,ne,f
figlia,dcera,40,Sua figlia legge un libro.,Jeho dcera čte knihu.,ne,ano,f
figlio,syn,41,Mio figlio va a scuola.,Můj syn chodí do školy.,ne,ano,m
adesso,teď,42,Adesso andiamo a casa.,Teď jdeme domů.,ne,ano,
zia,teta,43,Mia zia cucina bene.,Moje teta vaří dobře.,ne,ano,f
zio,strýc,44,Mio zio è molto simpatico.,Můj strýc je velmi sympatický.,ne,ano,m
io,já,45,Io lavoro in ufficio.,Já pracuji v kanceláři.,ano,ne,
tu,ty,46,Tu parli italiano bene.,Ty mluvíš italsky dobře.,ano,ne,
lui,on,47,Lui studia medicina.,On studuje medicínu.,ne,ano,
lei,ona,48,Lei parla inglese.,Ona mluví anglicky.,ne,ano,
voi,vy,49,Voi siete pronti?,Vy jste připraveni?,ne,ano,
noi,my,50,Noi viviamo a Brno.,My žijeme v Brně.,ne,ano,
loro,"ony, oni",51,Loro studiano insieme.,Ony studují spolu.,ne,ne,
mio,můj,52,Questo è il mio libro.,To je moje kniha.,ano,ne,
mia,moje,53,Questa è la mia borsa.,To je moje taška.,ne,ne,
tuo,tvůj,54,Dov'è il tuo telefono?,Kde je tvůj telefon?,ne,ne,
tua,tvá,55,La tua giacca è nuova.,Tvá bunda je nová.,ne,ne,
una,jedna (neurčitý člen),56,Una ragazza canta.,Jedna dívka zpívá.,ano,ne,
un,jeden (neurčitý člen),57,Un ragazzo legge.,Jeden chlapec čte.,ne,ne,
sorella,sestra,58,Mia sorella è insegnante.,Moje sestra je učitelka.,ne,ano,f
fratello,bratr,59,Mio fratello è alto.,Můj bratr je vysoký.,ne,ne,m
madre,matka,60,Mia madre prepara la cena.,Moje matka připravuje večeři.,ano,ne,f
padre,otec,61,Mio padre guida la macchina.,Můj otec řídí auto.,ne,ne,m
nonna,babička,62,Mia nonna guarda la TV.,Moje babička se dívá na televizi.,ne,ano,f
nonno,dědeček,63,Mio nonno beve il tè.,Můj dědeček pije čaj.,ne,ne,m
molto,velmi,64,Questo film è molto bello.,Tento film je velmi krásný.,ano,ne,
divertente,zábavný,65,Il gioco è divertente.,Ta hra je zábavná.,ne,ano,
interessante,zajímavý,66,Il libro è interessante.,Ta kniha je zajímavá.,ano,ne,
cattivo,"zlý, protivný",67,Quel cane è cattivo.,Ten pes je zlý.,ne,ano,
sono,já jsem,68,Sono stanco oggi.,Dnes jsem unavený.,ne,ne,
sei,ty jsi,69,Sei molto gentile.,Ty jsi velmi milý.,ne,ne,
lui è / lei è,on je / ona je,70,"Lui è calmo, lei è allegra.","On je klidný, ona je veselá.",ne,ano,
sicuro,jistý,71,Non sono sicuro.,Nejsem si jistý.,ne,ano,
certo,samozřejmě,72,"Certo, ti aiuto.","Samozřejmě, pomohu ti.",ne,ano,
sempre,"pořád, vždycky",73,Arrivo sempre in orario.,Vždy přicházím včas.,ne,ne,
per niente,vůbec,74,Non è per niente difficile.,Není to vůbec těžké.,ne,ano,
ma,ale,75,"Vado fuori, ma piove.","Jdu ven, ale prší.",ne,ne,
giacca,sako,76,Dov’è la mia giacca?,Kde je moje bunda?,ne,ne,f
brutto,špatný,77,"Che brutto tempo oggi: piove, c’è vento e fa freddo, quindi resto a casa.","Dnes je hrozné počasí: prší, fouká a je zima, takže zůstanu doma.",ne,ano,
brutto,ošklivý,78,"Mi dispiace dirlo, ma quel commento è stato brutto e mi ha fatto male.","Je mi líto to říct, ale ten komentář byl ošklivý a ublížil mi.",ne,ne,
specchio,zrcadlo,79,Ogni mattina mi guardo nello specchio e mi pettino i capelli.,Každé ráno se dívám do zrcadla a češu si vlasy.,ne,ne,m
camicia,košile,80,Preferisci la camicia a righe o quella blu?,"Dáváš přednost pruhované košili, nebo té modré?",ne,ne,f
lontano,daleko,81,"Non andare troppo lontano, torniamo presto.","Nechoď moc daleko, brzy se vrátíme.",ne,ano,
ci,tam,82,Ci vado domani. Ci sono.,"Zítra tam půjdu. Jsou tam, existují.",ne,ano,
ci,"nás, nám",83,Ci dai una mano? Ci vuole tempo.,Pomůžeš nám? Chce to čas.,ne,ano,
vicino,blízko,84,"La stazione è vicino, andiamo a piedi.","Nádraží je blízko, půjdeme pěšky.",ne,ne,
vicino,soused,85,Il mio vicino è molto gentile.,Můj soused je moc milý.,ano,ne,m
uscita,východ,86,Dov’è l’uscita? Non la vedo.,Kde je východ? Nevidím ho.,ne,ne,f
ora,"teď, nyní",87,"Ora non posso parlare, ti chiamo dopo.","Teď nemůžu mluvit, zavolám ti později.",ano,ne,
ora,hodina,88,Che ora è? Sono le tre.,Kolik je hodin? Jsou tři.,ne,ano,f
cappotto,kabát,89,"Fa freddo oggi, quindi prendo il cappotto e la sciarpa.","Dnes je zima, tak si vezmu kabát a šálu.",ne,ano,m
maglione,svetr,90,"Il maglione è troppo grande, ma è molto comodo.","Svetr je moc velký, ale je hodně pohodlný.",ne,ano,m
gonna,sukně,91,Oggi indossa una gonna nera e una camicia bianca.,Dnes má na sobě černou sukni a bílou košili.,ne,ne,f
scontrino,účtenka,92,"Scusi, può farmi lo scontrino, per favore?","Promiňte, můžete mi vystavit účtenku, prosím?",ne,ano,m
cibo,jídlo,93,"Questo cibo è buono, ma un po’ salato.","Tohle jídlo je dobré, ale trochu slané.",ne,ano,m
regalo,dárek,94,Ho comprato un regalo per mia moglie.,Koupil jsem dárek pro svou manželku.,ne,ne,m
compleanno,narozeniny,95,Buon compleanno! Ti auguro tanta felicità.,Všechno nejlepší! Přeju ti hodně štěstí.,ne,ano,m
biscotto,sušenka,96,"Vorrei un caffè e un biscotto, per favore","Dal bych si kávu a sušenku, prosím.",ne,ano,m
piazza,náměstí,97,Ci vediamo in piazza alle cinque.,Sejdeme se na náměstí v pět.,ne,ne,f
lì,tam,98,"Sono lì, vicino alla porta.","Jsem tam, u dveří.",ne,ne,
giallo,žlutý,99,"Mi piace il colore giallo, soprattutto in estate.","Mám rád žlutou barvu, hlavně v létě.",ne,ano,
bagno,koupelna,100,Dov’è il bagno? Devo lavarmi le mani.,Kde je koupelna? Potřebuju si umýt ruce.,ne,ne,m
cane,pes,101,Porto il cane a fare una passeggiata ogni sera.,Beru psa na procházku každý večer.,ne,ne,m
ogni,každý,102,Ogni giorno bevo un caffè al mattino.,Každý den piju ráno kávu.,ne,ano,
caldo,teplý,103,Mi piace il tè caldo quando fuori piove.,"Mám rád teplý čaj, když venku prší.",ne,ne,
tedesco,"němec, němčina",104,Il mio collega è tedesco e vive vicino a Praga.,Můj kolega je Němec a bydlí poblíž Prahy.,ne,ne,
Lei,Vy,105,Lei parla inglese o tedesco?,Mluvíte anglicky nebo německy?,ne,ne,
lei,ona,106,Lei è molto gentile e parla tre lingue.,Ona je moc milá a mluví třemi jazyky.,ne,ne,
ragazza,dívka,107,Conosco una ragazza molto simpatica di Praga.,Znám jednu moc sympatickou holku z Prahy.,ne,ano,f
guardare,"dívat se, sledovat, hlídat",108,Guardo un film e poi vado a dormire.,Dívám se na film a pak jdu spát.,ne,ano,
per,pro,109,"Questo regalo è per te, buon compleanno!","Tenhle dárek je pro tebe, všechno nejlepší!",ne,ne,
per,aby,110,Vado al supermercato per comprare il pane.,"Jdu do supermarketu, abych koupil chleba.",ne,ano,
pompelmo,grep,111,"Il pompelmo è un po’ amaro, ma mi piace.","Grep je trochu hořký, ale chutná mi.",ne,ne,m
bicchiere,sklenice,112,"Vorrei un bicchiere d’acqua, per favore.","Dal bych si sklenici vody, prosím.",ne,ano,m
mirtilli,borůvky,113,A colazione mangio yogurt con i mirtilli.,Ke snídani jím jogurt s borůvkami.,ne,ano,m
mela,jablko,114,Compro mele e fragole al supermercato.,Kupuju jablka a jahody v supermarketu.,ne,ano,f
fragola,jahoda,115,Preferisci fragole o mirtilli?,"Dáváš přednost jahodám, nebo borůvkám?",ne,ano,f
éclair,zákusek,116,Je prends un éclair au chocolat après le repas.,Dám si čokoládový éclair po jídle.,ne,ano,m
allora,"tak, tedy, no tak, tehdy, v tom případě",117,"Allora, cosa facciamo adesso?","Tak, co budeme dělat teď?",ne,ano,
insegnare,"učit, vyučovat",118,Lei insegna italiano a scuola.,Ona učí italsky ve škole.,ne,ano,
lavorare,pracovat,119,Lavoro in ospedale e torno a casa la sera.,Pracuju v nemocnici a večer se vracím domů.,ne,ano,
spesso,často,120,Lui arriva spesso in ritardo.,On často chodí pozdě.,ne,ano,
ballare,tančit,121,Vuoi ballare con me stasera?,Chceš si se mnou dnes večer zatančit?,ne,ano,
storia,"historie, příběh",122,Raccontami una storia prima di dormire.,Povídej mi příběh před spaním.,ne,ne,f
brioche,"brioška, sladké pečivo",123,Prendo una brioche al cioccolato e un caffè.,Dám si čokoládovou briošku a kávu.,ne,ano,f
forno,trouba,124,"Metto la brioche nel forno per cinque minuti, così è calda.","Dám briošku na pět minut do trouby, aby byla teplá.",ne,ano,m
mercato,trh,125,Vado al mercato la mattina e compro frutta e verdura.,Ráno jdu na trh a koupím ovoce a zeleninu.,ne,ano,m
negozio,obchod,126,In quel negozio vendono scarpe e giacche molto belle.,V tom obchodě prodávají moc hezké boty a bundy.,ne,ne,m
panificio,pekárna,127,C’è un panificio vicino a casa e il pane è sempre caldo.,Je tu pekařství blízko domu a chleba je vždycky teplý.,ne,ano,m
piacere,"líbit se, potěšení",128,"Mi piace questo posto, è tranquillo e pulito.","Líbí se mi tohle místo, je klidné a čisté.",ne,ano,
grazie,děkuji,129,"Grazie per l’aiuto, sei molto gentile.","Díky za pomoc, jsi moc hodný.",ne,ano,
come,"jak, jako",130,Come stai oggi? Hai dormito bene?,Jak se dnes máš? Spal jsi dobře?,ne,ano,
ufficio,"kancelář, úřad",131,Oggi sono in ufficio fino alle cinque.,Dnes jsem v kanceláři do pěti.,ne,ano,m
ospedale,nemocnice,132,Lavoro in ospedale e torno a casa la sera.,Pracuju v nemocnici a večer jdu domů.,ne,ano,m
impegnata,zaneprázdněná,133,Lei è impegnata con il lavoro e non ha tempo.,Ona je zaneprázdněná prací a nemá čas.,ne,ano,
tutti i giorni,každý den,134,Tutti i giorni ripeto le parole per dieci minuti.,Každý den opakuju slovíčka deset minut.,ne,ano,
cuoca,kuchařka,135,"È una cuoca bravissima, ma oggi è molto stanca.","Je to výborná kuchařka, ale dnes je hodně unavená.",ne,ano,f
male,"špatně, zle, bolest",136,"Oggi sto male, quindi resto a casa.","Dnes se cítím špatně, tak zůstanu doma.",ne,ano,
stazione,"nádraží, stanice",137,"La stazione è vicino, ci andiamo a piedi.","Nádraží je blízko, půjdeme pěšky.",ne,ano,f
aiuto,pomoc,138,"Grazie per l’aiuto, ne avevo davvero bisogno.","Díky za pomoc, opravdu jsem ji potřeboval.",ne,ano,m
allegro,veselý,139,Oggi sono allegro perché è una bella giornata.,"Dnes jsem veselý, protože je krásný den.",ne,ano,
chiesa,kostel,140,"La chiesa è in piazza, vicino al palazzo.","Kostel je na náměstí, vedle paláce.",ne,ano,f
giocare,"hrát (hra, sport)",141,Mi piace giocare a calcio con gli amici la domenica.,Rád hraju fotbal s kamarády v neděli.,ne,ano,
estate,léto,142,Quest’estate vado in Italia con la famiglia.,Tohle léto jedu do Itálie s rodinou.,ne,ano,f
zaino,batoh,143,Metto i libri nello zaino e poi esco di casa.,Dám knihy do batohu a pak jdu z domu.,ne,ano,m
mese,měsíc,144,"Ci vediamo tra un mese, d’accordo?","Uvidíme se za měsíc, platí?",ne,ano,m
solito,obvyklý,145,Di solito bevo un caffè al mattino.,Obvykle piju ráno kávu.,ne,ano,
mangiare,jíst,146,"Mangiamo insieme dopo il lavoro, va bene?","Najíme se spolu po práci, platí?",ne,ne,
inverno,zima,147,D’inverno metto il cappotto ogni giorno.,V zimě si beru kabát každý den.,ne,ano,m
gatto,kočka,148,Il gatto dorme sul divano tutto il pomeriggio.,Kočka spí na gauči celé odpoledne.,ne,ano,m
insieme,"spolu, dohromady",149,Mettiamo tutto insieme sul tavolo.,Dáme všechno dohromady na stůl.,ne,ano,
albergo,hotel,150,Dormiamo in un albergo vicino alla stazione.,Spíme v hotelu blízko nádraží.,ne,ano,m
andare,jít / jet,151,Dove andate? In Italia. A Roma.,Kam jedete? Do Itálie. Do Říma.,ne,ano,
aspettare,čekat,152,Ti aspetto davanti al negozio alle cinque.,Počkám na tebe před obchodem v pět.,ne,ano,
casa,dům / domov,153,Oggi resto a casa perché sono stanco.,"Dnes zůstanu doma, protože jsem unavený.",ne,ano,f
cercare,hledat,154,"Cerco le chiavi, ma non le trovo.","Hledám klíče, ale nemůžu je najít.",ne,ano,
da,od / z / u / k,155,Vengo da Praga e lavoro in ospedale.,Jsem z Prahy a pracuju v nemocnici.,ne,ano,
domani,zítra,156,Domani ho una lezione e devo studiare.,Zítra mám lekci a musím se učit.,ne,ano,
domattina,zítra ráno,157,"Domattina parto presto, quindi vado a dormire.","Zítra ráno odjíždím brzy, takže jdu spát.",ne,ano,
esercizio,cvičení / úkol / trénink,158,Faccio un esercizio di italiano ogni giorno.,Dělám jedno cvičení z italštiny každý den.,ne,ano,m
favore,laskavost,159,Mi fai un favore? Mi aiuti con questo.,Uděláš mi laskavost? Pomůžeš mi s tím.,ne,ano,m
forse,možná,160,"Forse stasera piove, quindi resto a casa.","Možná dnes večer bude pršet, tak zůstanu doma.",ne,ano,
forza,"síla, no tak!",161,"Forza, andiamo! Siamo in ritardo.","No tak, jdeme! Jdeme pozdě.",ne,ano,f
lezione,lekce / hodina,162,La lezione inizia alle nove e finisce alle dieci.,Lekce začíná v devět a končí v deset.,ne,ano,f
pagare,platit,163,Posso pagare con la carta o in contanti?,Můžu zaplatit kartou nebo hotově?,ne,ano,
parola,slovo,164,"Non capisco questa parola, puoi spiegarmela?","Nerozumím tomuhle slovu, můžeš mi ho vysvětlit?",ne,ano,f
poi,potom / pak,165,"Prima mangiamo, poi andiamo al mercato.","Nejdřív se najíme, pak půjdeme na trh.",ne,ano,
pregare,"modlit se, prosím",166,"La prego, può ripetere più lentamente?","Prosím vás, můžete to zopakovat pomaleji?",ne,ano,
qua,tady,167,"Vieni qua un attimo, per favore.","Pojď sem na chvilku, prosím.",ne,ano,
restare,zůstat,168,Resto qui cinque minuti e poi vado via.,Zůstanu tady pět minut a pak odejdu.,ne,ano,
ricordare,pamatovat si / připomenout,169,Cerco di ricordare le parole con frasi semplici.,Snažím se pamatovat si slovíčka pomocí jednoduchých vět.,ne,ano,
stasera,dnes večer,170,Stasera mangiamo insieme e parliamo un po’.,Dnes večer se najíme spolu a trochu si popovídáme.,ne,ano,
subito,hned / okamžitě,171,"Arrivo subito, aspetta un momento.","Hned přijdu, počkej chvilku.",ne,ano,
tornare,vrátit se,172,"Torno a casa dopo il lavoro, verso le sei.",Vrátím se domů po práci kolem šesté.,ne,ano,
treno,vlak,173,"Il treno parte alle sette, quindi usciamo presto.","Vlak odjíždí v sedm, tak vyjdeme brzy.",ne,ano,m
via,ulice,174,"Devo andare via adesso, a presto!","Musím teď jít pryč, brzy na viděnou!",ne,ano,
viale,třída / alej,175,"Abito in un viale grande, pieno di alberi.",Bydlím na velké třídě plné stromů.,ne,ano,m
vocabolo,slovíčko / výraz,176,"Questo vocabolo è difficile, ma lo ripeto ogni giorno.","Tohle slovíčko je těžké, ale opakuju ho každý den.",ne,ano,m
di solito,obvykle,177,"Di solito bevo un caffè al mattino, poi vado al lavoro.",Obvykle si ráno dám kávu a pak jdu do práce.,ne,ano,
macchina,"auto, vůz, stroj",178,"La macchina è dal meccanico, quindi oggi vado in treno.","Auto je u mechanika, takže dnes jedu vlakem.",ne,ne,f
quando,"kdy, když",179,"Quando ho tempo, faccio un esercizio di italiano.","Když mám čas, udělám si cvičení z italštiny.",ne,ne,
