IT,CZ,Order,Sentence,SentenceT,L,HT,gender_it
hai,máš,34,Hai un minuto?,Máš minutu?,ne,ne,
nipote,synovec,35,Il mio nipote gioca a calcio.,Můj synovec hraje fotbal.,ne,ne,m
nipote,neteř,36,La mia nipote suona il piano.,Moje neteř hraje na klavír.,ne,ne,f
figlia,dcera,37,Sua figlia legge un libro.,Jeho dcera čte knihu.,ne,ne,f
figlio,syn,38,Mio figlio va a scuola.,Můj syn chodí do školy.,ne,ne,m
adesso,"teď, nyní",39,Adesso andiamo a casa.,Teď jdeme domů.,ne,ano,
zia,teta,40,Mia zia cucina bene.,Moje teta vaří dobře.,ano,ne,f
zio,strýc,41,Mio zio è molto simpatico.,Můj strýc je velmi sympatický.,ne,ne,m
tu,ty,42,Tu parli italiano bene.,Ty mluvíš italsky dobře.,ano,ne,
lui,on,43,Lui studia medicina.,On studuje medicínu.,ne,ne,
voi,vy,44,Voi siete pronti?,Vy jste připraveni?,ne,ne,
noi,my,45,Noi viviamo a Brno.,My žijeme v Brně.,ne,ne,
loro,"ony, oni",46,Loro studiano insieme.,Ony studují spolu.,ne,ne,
mio,můj,47,Questo è il mio libro.,To je moje kniha.,ano,ne,
mia,moje,48,Questa è la mia borsa.,To je moje taška.,ne,ne,
tuo,tvůj,49,Dov'è il tuo telefono?,Kde je tvůj telefon?,ne,ne,
tua,tvá,50,La tua giacca è nuova.,Tvá bunda je nová.,ne,ne,
una,jedna (neurčitý člen),51,Una ragazza canta.,Jedna dívka zpívá.,ano,ne,
un,jeden (neurčitý člen),52,Un ragazzo legge.,Jeden chlapec čte.,ne,ne,
sorella,sestra,53,Mia sorella è insegnante.,Moje sestra je učitelka.,ne,ne,f
fratello,bratr,54,Mio fratello è alto.,Můj bratr je vysoký.,ne,ne,m
madre,matka,55,Mia madre prepara la cena.,Moje matka připravuje večeři.,ano,ne,f
padre,otec,56,Mio padre guida la macchina.,Můj otec řídí auto.,ne,ne,m
nonna,babička,57,Mia nonna guarda la TV.,Moje babička se dívá na televizi.,ne,ne,f
nonno,dědeček,58,Mio nonno beve il tè.,Můj dědeček pije čaj.,ne,ne,m
molto,velmi,59,Questo film è molto bello.,Tento film je velmi krásný.,ano,ne,
divertente,zábavný,60,Il gioco è divertente.,Ta hra je zábavná.,ne,ne,
interessante,zajímavý,61,Il libro è interessante.,Ta kniha je zajímavá.,ano,ne,
cattivo,"zlý, protivný",62,Quel cane è cattivo.,Ten pes je zlý.,ne,ne,
sono,já jsem,63,Sono stanco oggi.,Dnes jsem unavený.,ne,ne,
sicuro,jistý,64,Non sono sicuro.,Nejsem si jistý.,ne,ano,
certo,samozřejmě,65,"Certo, ti aiuto.","Samozřejmě, pomohu ti.",ne,ne,
sempre,"pořád, stále, vždy",66,Arrivo sempre in orario.,Vždy přicházím včas.,ne,ne,
per niente,vůbec,67,Non è per niente difficile.,Není to vůbec těžké.,ne,ano,
ma,ale,68,"Vado fuori, ma piove.","Jdu ven, ale prší.",ne,ne,
giacca,sako,69,Dov’è la mia giacca?,Kde je moje bunda?,ne,ne,f
brutto,"ošklivý, špatný",70,"Che brutto tempo oggi: piove, c’è vento e fa freddo.","Dnes je hrozné počasí: prší, fouká a je zima.",ne,ne,
specchio,zrcadlo,71,Ogni mattina mi guardo nello specchio e mi pettino i capelli.,Každé ráno se dívám do zrcadla a češu si vlasy.,ne,ne,m
camicia,košile,72,Preferisci la camicia a righe o quella blu?,"Dáváš přednost pruhované košili, nebo té modré?",ne,ne,f
lontano,daleko,73,"Non andare troppo lontano, torniamo presto.","Nechoď moc daleko, brzy se vrátíme.",ne,ne,
ci,tam,74,Ci vado domani. Ci sono.,"Zítra tam půjdu. Jsou tam, existují.",ne,ne,
ci,"nás, nám",75,Ci dai una mano? Ci vuole tempo.,Pomůžeš nám? Chce to čas.,ne,ne,
vicino,blízko,76,"La stazione è vicino, andiamo a piedi.","Nádraží je blízko, půjdeme pěšky.",ne,ne,
vicino,soused,77,Il mio vicino è molto gentile.,Můj soused je moc milý.,ano,ne,m
uscita,východ,78,Dov’è l’uscita? Non la vedo.,Kde je východ? Nevidím ho.,ne,ne,f
ora,"teď, nyní",79,"Ora non posso parlare, ti chiamo dopo.","Teď nemůžu mluvit, zavolám ti později.",ano,ne,
ora,hodina,80,Che ora è? Sono le tre.,Kolik je hodin? Jsou tři.,ne,ne,f
cappotto,kabát,81,"Fa freddo oggi, quindi prendo il cappotto e la sciarpa.","Dnes je zima, tak si vezmu kabát a šálu.",ne,ne,m
maglione,svetr,82,"Il maglione è troppo grande, ma è molto comodo.","Svetr je moc velký, ale je hodně pohodlný.",ne,ne,m
gonna,sukně,83,Oggi indossa una gonna nera e una camicia bianca.,Dnes má na sobě černou sukni a bílou košili.,ne,ne,f
scontrino,účtenka,84,"Scusi, può farmi lo scontrino, per favore?","Promiňte, můžete mi vystavit účtenku, prosím?",ne,ne,m
cibo,jídlo,85,"Questo cibo è buono, ma un po’ salato.","Tohle jídlo je dobré, ale trochu slané.",ne,ne,m
regalo,dárek,86,Ho comprato un regalo per mia moglie.,Koupil jsem dárek pro svou manželku.,ne,ne,m
compleanno,narozeniny,87,Buon compleanno! Ti auguro tanta felicità.,Všechno nejlepší! Přeju ti hodně štěstí.,ne,ne,m
biscotto,sušenka,88,"Vorrei un caffè e un biscotto, per favore","Dal bych si kávu a sušenku, prosím.",ne,ne,m
piazza,náměstí,89,Ci vediamo in piazza alle cinque.,Sejdeme se na náměstí v pět.,ne,ne,f
lì,tam,90,"Sono lì, vicino alla porta.","Jsem tam, u dveří.",ne,ne,
giallo,žlutý,91,"Mi piace il colore giallo, soprattutto in estate.","Mám rád žlutou barvu, hlavně v létě.",ne,ne,
bagno,koupelna,92,Dov’è il bagno? Devo lavarmi le mani.,Kde je koupelna? Potřebuju si umýt ruce.,ne,ne,m
cane,pes,93,Porto il cane a fare una passeggiata ogni sera.,Beru psa na procházku každý večer.,ne,ne,m
ogni,každý,94,Ogni giorno bevo un caffè al mattino.,Každý den piju ráno kávu.,ne,ano,
caldo,teplý,95,Mi piace il tè caldo quando fuori piove.,"Mám rád teplý čaj, když venku prší.",ne,ne,
tedesco,"němec, němčina",96,Il mio collega è tedesco e vive vicino a Praga.,Můj kolega je Němec a bydlí poblíž Prahy.,ne,ne,
Lei,vy,97,Lei parla inglese o tedesco?,Mluvíte anglicky nebo německy?,ne,ne,
lei,ona,98,Lei è molto gentile e parla tre lingue.,Ona je moc milá a mluví třemi jazyky.,ne,ne,
ragazza,dívka,99,Conosco una ragazza molto simpatica di Praga.,Znám jednu moc sympatickou holku z Prahy.,ne,ne,f
guardare,"dívat se, sledovat",100,Guardo un film e poi vado a dormire.,Dívám se na film a pak jdu spát.,ne,ne,
per,pro,101,"Questo regalo è per te, buon compleanno!","Tenhle dárek je pro tebe, všechno nejlepší!",ne,ne,
per,aby,102,Vado al supermercato per comprare il pane.,"Jdu do supermarketu, abych koupil chleba.",ne,ne,
pompelmo,grep,103,"Il pompelmo è un po’ amaro, ma mi piace.","Grep je trochu hořký, ale chutná mi.",ne,ne,m
bicchiere,sklenice,104,"Vorrei un bicchiere d’acqua, per favore.","Dal bych si sklenici vody, prosím.",ne,ne,m
mirtilli,borůvky,105,A colazione mangio yogurt con i mirtilli.,Ke snídani jím jogurt s borůvkami.,ne,ne,m
mela,jablko,106,Compro mele e fragole al supermercato.,Kupuju jablka a jahody v supermarketu.,ne,ne,f
fragola,jahoda,107,Preferisci fragole o mirtilli?,"Dáváš přednost jahodám, nebo borůvkám?",ne,ne,f
éclair,zákusek,108,Je prends un éclair au chocolat après le repas.,Dám si čokoládový éclair po jídle.,ne,ne,m
allora,"tak, tedy, tehdy",109,"Allora, cosa facciamo adesso?","Tak, co budeme dělat teď?",ne,ano,
insegnare,"učit, vyučovat",110,Lei insegna italiano a scuola.,Ona učí italsky ve škole.,ne,ne,
lavorare,pracovat,111,Lavoro in ospedale e torno a casa la sera.,Pracuju v nemocnici a večer se vracím domů.,ne,ne,
spesso,často,112,Lui arriva spesso in ritardo.,On často chodí pozdě.,ne,ne,
ballare,tančit,113,Vuoi ballare con me stasera?,Chceš si se mnou dnes večer zatančit?,ne,ne,
storia,"historie, příběh",114,Raccontami una storia prima di dormire.,Povídej mi příběh před spaním.,ne,ne,f
brioche,"brioška, sladké pečivo",115,Prendo una brioche al cioccolato e un caffè.,Dám si čokoládovou briošku a kávu.,ne,ne,f
forno,trouba,116,"Metto la brioche nel forno per cinque minuti, così è calda.","Dám briošku na pět minut do trouby, aby byla teplá.",ne,ano,m
mercato,trh,117,Vado al mercato la mattina e compro frutta e verdura.,Ráno jdu na trh a koupím ovoce a zeleninu.,ne,ne,m
negozio,obchod,118,In quel negozio vendono scarpe e giacche molto belle.,V tom obchodě prodávají moc hezké boty a bundy.,ne,ne,m
panificio,pekárna,119,C’è un panificio vicino a casa e il pane è sempre caldo.,Je tu pekařství blízko domu a chleba je vždycky teplý.,ne,ano,m
piacere,"líbit se, potěšení",120,"Mi piace questo posto, è tranquillo e pulito.","Líbí se mi tohle místo, je klidné a čisté.",ne,ne,
grazie,děkuji,121,"Grazie per l’aiuto, sei molto gentile.","Díky za pomoc, jsi moc hodný.",ne,ne,
come,"jak, jako",122,Come stai oggi? Hai dormito bene?,Jak se dnes máš? Spal jsi dobře?,ne,ne,
ufficio,"kancelář, úřad",123,Oggi sono in ufficio fino alle cinque.,Dnes jsem v kanceláři do pěti.,ne,ne,m
ospedale,nemocnice,124,Lavoro in ospedale e torno a casa la sera.,Pracuju v nemocnici a večer jdu domů.,ne,ne,m
impegnato,zaneprázdněný,125,Lei è impegnata con il lavoro e non ha tempo.,Ona je zaneprázdněná prací a nemá čas.,ne,ne,
tutti i giorni,každý den,126,Tutti i giorni ripeto le parole per dieci minuti.,Každý den opakuju slovíčka deset minut.,ne,ne,
cuoca,kuchařka,127,"È una cuoca bravissima, ma oggi è molto stanca.","Je to výborná kuchařka, ale dnes je hodně unavená.",ne,ne,f
male,"špatně, zle, bolest, zlo",128,"Oggi sto male, quindi resto a casa.","Dnes se cítím špatně, tak zůstanu doma.",ne,ne,
stazione,"nádraží, stanice",129,"La stazione è vicino, ci andiamo a piedi.","Nádraží je blízko, půjdeme pěšky.",ne,ne,f
aiuto,pomoc,130,"Grazie per l’aiuto, ne avevo davvero bisogno.","Díky za pomoc, opravdu jsem ji potřeboval.",ne,ano,m
allegro,"veselý, radostný",131,Oggi sono allegro perché è una bella giornata.,"Dnes jsem veselý, protože je krásný den.",ne,ano,
chiesa,kostel,132,"La chiesa è in piazza, vicino al palazzo.","Kostel je na náměstí, vedle paláce.",ne,ne,f
giocare,"hrát, hrát si",133,Mi piace giocare a calcio con gli amici la domenica.,Rád hraju fotbal s kamarády v neděli.,ne,ne,
estate,léto,134,Quest’estate vado in Italia con la famiglia.,Tohle léto jedu do Itálie s rodinou.,ne,ne,f
zaino,batoh,135,Metto i libri nello zaino e poi esco di casa.,Dám knihy do batohu a pak jdu z domu.,ne,ne,m
mese,měsíc,136,"Ci vediamo tra un mese, d’accordo?","Uvidíme se za měsíc, platí?",ne,ne,m
solito,obvyklý,137,Di solito bevo un caffè al mattino.,Obvykle piju ráno kávu.,ne,ne,
mangiare,jíst,138,"Mangiamo insieme dopo il lavoro, va bene?","Najíme se spolu po práci, platí?",ne,ne,
inverno,zima,139,D’inverno metto il cappotto ogni giorno.,V zimě si beru kabát každý den.,ne,ne,m
gatto,kočka,140,Il gatto dorme sul divano tutto il pomeriggio.,Kočka spí na gauči celé odpoledne.,ne,ne,m
insieme,"společně, dohromady",141,Mettiamo tutto insieme sul tavolo.,Dáme všechno dohromady na stůl.,ne,ne,
albergo,hotel,142,Dormiamo in un albergo vicino alla stazione.,Spíme v hotelu blízko nádraží.,ne,ano,m
andare,"jít, jet",143,Dove andate? In Italia. A Roma.,Kam jedete? Do Itálie. Do Říma.,ne,ne,
aspettare,čekat,144,Ti aspetto davanti al negozio alle cinque.,Počkám na tebe před obchodem v pět.,ne,ano,
casa,"dům, domov",145,Oggi resto a casa perché sono stanco.,"Dnes zůstanu doma, protože jsem unavený.",ne,ne,f
cercare,hledat,146,"Cerco le chiavi, ma non le trovo.","Hledám klíče, ale nemůžu je najít.",ne,ano,
da,"od, z, u, k",147,Vengo da Praga e lavoro in ospedale.,Jsem z Prahy a pracuju v nemocnici.,ne,ano,
domani,zítra,148,Domani ho una lezione e devo studiare.,Zítra mám lekci a musím se učit.,ne,ano,
domattina,zítra ráno,149,"Domattina parto presto, quindi vado a dormire.","Zítra ráno odjíždím brzy, takže jdu spát.",ne,ano,
esercizio,"cvičení, úkol, trénink",150,Faccio un esercizio di italiano ogni giorno.,Dělám jedno cvičení z italštiny každý den.,ne,ano,m
favore,laskavost,151,Mi fai un favore? Mi aiuti con questo.,Uděláš mi laskavost? Pomůžeš mi s tím.,ne,ano,m
forse,možná,152,"Forse stasera piove, quindi resto a casa.","Možná dnes večer bude pršet, tak zůstanu doma.",ne,ano,
forza,"síla, no tak",153,"Forza, andiamo! Siamo in ritardo.","No tak, jdeme! Jdeme pozdě.",ne,ne,f
lezione,"lekce, hodina",154,La lezione inizia alle nove e finisce alle dieci.,Lekce začíná v devět a končí v deset.,ne,ne,f
pagare,platit,155,Posso pagare con la carta o in contanti?,Můžu zaplatit kartou nebo hotově?,ne,ne,
parola,slovo,156,"Non capisco questa parola, puoi spiegarmela?","Nerozumím tomuhle slovu, můžeš mi ho vysvětlit?",ne,ne,f
poi,potom / pak,157,"Prima mangiamo, poi andiamo al mercato.","Nejdřív se najíme, pak půjdeme na trh.",ne,ano,
pregare,"modlit se, prosit",158,"La prego, può ripetere più lentamente?","Prosím vás, můžete to zopakovat pomaleji?",ne,ano,
qua,tady,159,"Vieni qua un attimo, per favore.","Pojď sem na chvilku, prosím.",ne,ano,
restare,zůstat,160,Resto qui cinque minuti e poi vado via.,Zůstanu tady pět minut a pak odejdu.,ne,ne,
ricordare,"pamatovat si, připomenout si",161,Cerco di ricordare le parole con frasi semplici.,Snažím se pamatovat si slovíčka pomocí jednoduchých vět.,ne,ano,
stasera,dnes večer,162,Stasera mangiamo insieme e parliamo un po’.,Dnes večer se najíme spolu a trochu si popovídáme.,ne,ano,
subito,"hned, okamžitě",163,"Arrivo subito, aspetta un momento.","Hned přijdu, počkej chvilku.",ne,ano,
tornare,vrátit se,164,"Torno a casa dopo il lavoro, verso le sei.",Vrátím se domů po práci kolem šesté.,ne,ano,
treno,vlak,165,"Il treno parte alle sette, quindi usciamo presto.","Vlak odjíždí v sedm, tak vyjdeme brzy.",ne,ano,m
via,ulice,166,"Devo andare via adesso, a presto!","Musím teď jít pryč, brzy na viděnou!",ne,ne,
viale,"třída, alej",167,"Abito in un viale grande, pieno di alberi.",Bydlím na velké třídě plné stromů.,ne,ano,m
vocabolo,"slovíčko, výraz",168,"Questo vocabolo è difficile, ma lo ripeto ogni giorno.","Tohle slovíčko je těžké, ale opakuju ho každý den.",ne,ano,m
di solito,obvykle,169,"Di solito bevo un caffè al mattino, poi vado al lavoro.",Obvykle si ráno dám kávu a pak jdu do práce.,ne,ne,
macchina,"auto, vůz, stroj",170,"La macchina è dal meccanico, quindi oggi vado in treno.","Auto je u mechanika, takže dnes jedu vlakem.",ne,ano,f
quando,"kdy, když",171,"Quando ho tempo, faccio un esercizio di italiano.","Když mám čas, udělám si cvičení z italštiny.",ne,ano,
nemico,nepřítel,172,Il nemico non dice mai la verita.,Nepřítel nikdy neříká pravdu.,ne,ne,m
numero,číslo,173,"Scrivi il tuo numero qui, per favore.","Napiš sem svoje číslo, prosím.",ne,ne,m
occupato,obsazeno,174,Il bagno e occupato in questo momento.,Koupelna je teď obsazená.,ne,ano,
parlare,mluvit,175,Mi piace parlare italiano con gli amici.,Rád mluvím italsky s přáteli.,ne,ne,
permesso,"dovolení, svolení",176,Entro solo con il permesso del professore.,Vstoupím jen se svolením profesora.,ne,ano,m
po',trochu,177,"Sono un po' stanco, ma continuo a studiare.","Jsem trochu unavený, ale pokračuji ve studiu.",ne,ano,
poco,málo,178,Ho poco tempo prima della lezione.,Mám málo času před hodinou.,ne,ano,
poco fa,před chvílí,179,L'ho visto poco fa davanti alla stazione.,Viděl jsem ho před chvílí před nádražím.,ne,ano,
posto,místo,180,C'e un posto libero vicino alla finestra.,U okna je volné místo.,ne,ano,m
prendere,"vzít, brát",181,Devo prendere il treno delle sette.,Musím stihnout vlak v sedm.,ne,ano,
pronto,"připravený, hotový, haló, prosím?",182,"Pronto? Chi parla, per favore?","Haló? Kdo mluví, prosím?",ne,ano,
quale,který,183,Quale libro vuoi leggere oggi?,Kterou knihu chceš dnes číst?,ne,ano,
questo,tento,184,Questo esercizio e piu facile del primo.,Toto cvičení je lehčí než to první.,ne,ano,
rispondere,odpovědět,185,Puoi rispondere alla mia domanda?,Můžeš odpovědět na mou otázku?,ne,ano,
rivista,časopis,186,Compro una rivista italiana alla stazione.,Na nádraží si kupuji italský časopis.,ne,ano,f
romano,"Říman, římský",187,Conosco un collega romano molto simpatico.,Znám jednoho velmi sympatického kolegu z Říma.,ne,ne,m
russo,"Rus, ruský",188,"Il mio vicino e russo, ma parla bene italiano.","Můj soused je Rus, ale dobře mluví italsky.",ne,ne,m
scheda,"karta, lístek",189,Compilo la scheda prima di entrare in classe.,Vyplňuji kartu před vstupem do třídy.,ne,ano,f
scusare,"omluvit, promiňte",190,"Mi deve scusare, arrivo con cinque minuti di ritardo.","Musíte mě omluvit, přicházím o pět minut později.",ne,ne,
simpatico,sympatický,191,Il nuovo collega e molto simpatico.,Nový kolega je velmi sympatický.,ne,ne,
slovacco,"Slovák, slovenský",192,Il mio amico slovacco studia a Brno.,Můj slovenský kamarád studuje v Brně.,ne,ne,m
so,vím,193,"Non so la risposta, ma posso cercarla.","Neznám odpověď, ale můžu ji najít.",ne,ano,
sorpresa,překvapení,194,Ho una sorpresa per te dopo cena.,Po večeři pro tebe mám překvapení.,ne,ne,f
Spagna,Španělsko,195,Quest'estate andiamo in Spagna per due settimane.,Letos v létě jedeme do Španělska na dva týdny.,ne,ne,f
spremuta,čerstvá šťáva,196,A colazione bevo una spremuta d'arancia.,K snídani piju čerstvou pomerančovou šťávu.,ne,ano,f
te,"tebe, ti",197,"Aspetto te, non tuo fratello.","Čekám na tebe, ne na tvého bratra.",ne,ne,
tecnico,"technik, technický",198,Il tecnico arriva domani mattina per controllare il computer.,Technik přijde zítra ráno zkontrolovat počítač.,ne,ne,m
telefonico,telefonní,199,Ho un contatto telefonico a Roma.,Mám telefonní kontakt v Římě.,ne,ne,
trovare,najít,200,Spero di trovare presto le mie chiavi.,"Doufám, že brzy najdu své klíče.",ne,ano,
trovarsi,"nacházet se, být",201,La banca si trova vicino alla piazza.,Banka se nachází blízko náměstí.,ne,ano,
vaniglia,vanilka,202,Mi piace il gelato alla vaniglia.,Mám rád vanilkovou zmrzlinu.,ne,ne,f
vendere,"prodat, prodávat",203,Quel negozio vende libri usati.,Ten obchod prodává použité knihy.,ne,ano,
vino,víno,204,A cena bevo solo un bicchiere di vino.,K večeři piju jen jednu sklenku vína.,ne,ne,m
vincere,vyhrát,205,Vogliamo vincere questa partita.,Chceme vyhrát tento zápas.,ne,ne,
zero,nula,206,Oggi ho zero tempo libero.,Dnes mám nulový volný čas.,ne,ne,m
cena,večeře,207,"La cena e pronta, vieni a tavola.","Večeře je hotová, pojď ke stolu.",ne,ano,f
che,"jaký, který",208,Il libro che leggo è interessante. Che bella giornata!,"Kniha, kterou čtu, je zajímavá. Jaký krásný den!",ne,ano,
che cosa,co,209,Che cosa fai dopo il lavoro?,Co děláš po práci?,ne,ano,
chi,kdo,210,Chi e quella ragazza vicino alla porta?,Kdo je ta dívka u dveří?,ne,ano,
chiamare,"jmenovat se, volat, telefonovat",211,Ti chiamo stasera dopo cena.,Zavolám ti dnes večer po večeři.,ne,ano,
conoscere,"znát, poznat",212,Vorrei conoscere meglio i tuoi amici.,Chtěl bych lépe poznat tvoje přátele.,ne,ano,
di,"z, ze, od",213,Vengo di solito qui a piedi.,Sem obvykle chodím pěšky.,ne,ano,
dopo,"po, potom",214,A dopo.,Zatím.,ne,ano,
ecco,tady je; tady jsou,215,Ecco il tuo quaderno sul tavolo.,Tady je tvůj sešit na stole.,ne,ne,
essere,být,216,Essere puntuale e importante.,Být dochvilný je důležité.,ne,ano,
euro,euro,217,Questo libro costa dieci euro.,Tato kniha stojí deset eur.,ne,ne,m
fontana,"kašna, fontána",218,Ci vediamo vicino alla fontana in piazza.,Sejdeme se u kašny na náměstí.,ne,ne,f
fragile,křehký,219,"Attento, questo bicchiere e fragile.","Opatrně, tahle sklenice je křehká.",ne,ne,
francese,"Francouz, francouzský",220,Il nostro vicino francese cucina molto bene.,Náš francouzský soused vaří velmi dobře.,ne,ne,
francobollo,poštovní známka,221,Mi serve un francobollo per questa lettera.,Potřebuji poštovní známku na tento dopis.,ne,ne,m
gelato,zmrzlina,222,In estate mangio spesso un gelato al limone.,V létě často jím citronovou zmrzlinu.,ne,ne,m
giorno,den,223,Ogni giorno ripeto almeno dieci parole.,Každý den si opakuji alespoň deset slovíček.,ne,ne,m
gustoso,chutný,224,Questo sugo e semplice ma molto gustoso.,"Tato omáčka je jednoduchá, ale velmi chutná.",ne,ano,
inglese,"Angličan, anglický",225,Il professore inglese parla lentamente.,Ten anglický profesor mluví pomalu.,ne,ne,m
invitato,"pozvaný, host",226,Sono invitato a cena da amici domani.,Zítra jsem pozvaný na večeři k přátelům.,ne,ano,
italiano,"Ital, italský",227,Un amico italiano mi scrive ogni settimana.,Jeden italský kamarád mi píše každý týden.,ne,ne,
leggere,číst,228,Mi piace leggere prima di dormire.,Rád čtu před spaním.,ne,ano,
libero,"volný, svobodný",229,Sabato pomeriggio sono libero.,V sobotu odpoledne mám volno.,ne,ne,
limone,citron,230,Metto un po' di limone nel tè.,Dávám si trochu citronu do čaje.,ne,ne,m
minuto,minuta,231,"Aspetta un minuto, arrivo subito.","Počkej minutu, hned přijdu.",ne,ne,m
meno,méně,232,Oggi parlo meno del solito.,Dnes mluvím méně než obvykle.,ne,ano,
misto,"míchaný, smíšený",233,Prendo un'insalata mista per pranzo.,K obědu si dám míchaný salát.,ne,ano,
naturalmente,"přirozeně, samozřejmě",234,"Naturalmente, puoi sederti qui.","Samozřejmě, můžeš si sednout tady.",ne,ano,
altro,"jiný, další",235,Hai un altro quaderno nello zaino?,Máš v batohu ještě další sešit?,ne,ano,
arancia,pomeranč,236,Mangio un'arancia dopo pranzo.,Po obědě sním pomeranč.,ne,ano,f
banana,banán,237,A colazione prendo una banana e un caffè.,K snídani si dám banán a kávu.,ne,ne,f
bello,"krásný, hezký",238,Hai un vestito davvero bello.,Máš opravdu hezké šaty.,ne,ne,
benissimo,výborně,239,Parli benissimo italiano per essere all'inizio.,"Mluvíš výborně italsky na to, že jsi na začátku.",ne,ano,
bravo,"dobrý, šikovný",240,Sei bravo a spiegare le cose difficili.,Jsi šikovný ve vysvětlování těžkých věcí.,ne,ano,
buono,dobrý,241,Questo pane e molto buono.,Tenhle chléb je velmi dobrý.,ne,ne,
camera,pokoj,242,La mia camera e piccola ma comoda.,"Můj pokoj je malý, ale pohodlný.",ne,ano,f
ceco,"Čech, český",243,Un collega ceco mi aiuta con l'italiano.,Jeden český kolega mi pomáhá s italštinou.,ne,ne,m
nuotare,plavat,244,In estate mi piace nuotare nel lago.,V létě rád plavu v jezeře.,ne,ne,
pattinare,bruslit,245,D’inverno andiamo a pattinare ogni domenica.,V zimě chodíme bruslit každou neděli.,ne,ne,
calcio,"fotbal, vápník",246,Mio figlio gioca a calcio con gli amici.,Můj syn hraje s přáteli fotbal.,ne,ne,m
pescare,"lovit, rybařit",247,Mio nonno ama pescare al fiume.,Můj dědeček rád rybaří u řeky.,ne,ne,
pescato,"úlovek, ulovená ryba",248,Oggi il pescato del giorno è molto fresco.,Dnešní úlovek dne je velmi čerstvý.,ne,ne,m
autunno,podzim,249,In autunno le foglie cadono dagli alberi.,Na podzim padá listí ze stromů.,ne,ne,m
sciare,lyžovat,250,In montagna mi piace sciare.,Na horách rád lyžuji.,ne,ne,
settimana,týden,251,Lavoro cinque giorni alla settimana.,Pracuji pět dní v týdnu.,ne,ne,f
disegnare,kreslit,252,I bambini amano disegnare animali.,Děti rády kreslí zvířata.,ne,ne,
cucinare,vařit,253,Mi piace cucinare per la mia famiglia.,Rád vařím pro svou rodinu.,ne,ne,
fra,"mezi, za",254,Fra due giorni partiamo per l’Italia.,Za dva dny odjíždíme do Itálie.,ne,ano,
gli,"ti, ty",255,Gli telefono domani mattina.,Zítra ráno mu zavolám.,ne,ano,
