Order,IT,CZ,Sentence,CurrentFallbackStem,Priority,Category,SuggestedExistingStem,Note
260,cartolina,pohlednice,Ti mando una cartolina da Roma.,proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
279,aereo,letadlo,Preferiamo l'aereo.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
284,asciugamano,ručník,Ecco un asciugamano pulito.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
288,campeggio,kemp,Dov'è il campeggio?,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
296,cuore,srdce,"Mano fredda, cuore caldo.",proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
306,finestra,okno,La finestra è aperta.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
309,foto,"fotka, fotografie",Guardo la foto di Roma.,proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
327,mano,ruka,Una mano lava l'altra.,proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
329,mattina,ráno,Mercoledì mattina partiamo presto.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
332,nave,loď,Ci vado con la nave.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
338,problema,problém,C'è un piccolo problema.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
339,programma,program,Questo programma mi interessa molto.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
342,radio,"rádio, rozhlas",Ascolto la radio ogni mattina.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
349,sole,slunce,Niente di nuovo sotto il sole.,proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
359,vacanza,"dovolená, prázdniny",Dove andate in vacanza quest'anno?,proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
364,viaggio,cesta,Il viaggio in treno è lungo.,proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
366,volo,let,C'è un volo per Milano adesso?,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
367,vulcano,sopka,L'Etna è un vulcano.,proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
369,giovedì,čtvrtek,Ci vediamo giovedì sera.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
370,venerdì,pátek,Preferisci venerdì?,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
371,martedì,úterý,Lunedì o martedì.,proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
372,mercoledì,středa,Partiamo mercoledì mattina.,proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
374,domenica,neděle,Domenica partono per l'Italia.,proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
126,ospedale,nemocnice,Lavoro in ospedale e torno a casa la sera.,proverbs,A,mista_a_lokace,,Hledat konkretni asset nebo pridat alias na existujici obrazek.
131,stazione,"nádraží, stanice","La stazione è vicino, ci andiamo a piedi.",proverbs,A,mista_a_lokace,,Hledat konkretni asset nebo pridat alias na existujici obrazek.
144,albergo,hotel,Dormiamo in un albergo vicino alla stazione.,others,A,mista_a_lokace,,Hledat konkretni asset nebo pridat alias na existujici obrazek.
82,ora,hodina,Che ora è? Sono le tre.,proverbs,B,casove_pojmy,,"Vhodny konkretni obrazek muze pomoct, ale fallback neni kriticky spatny."
373,sabato,sobota,Ci vediamo sabato.,proverbs,B,casove_pojmy,,"Vhodny konkretni obrazek muze pomoct, ale fallback neni kriticky spatny."
102,guardare,"dívat se, sledovat, hlídat",Guardo un film e poi vado a dormire.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
112,insegnare,"učit, vyučovat",Lei insegna italiano a scuola.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
113,lavorare,pracovat,Lavoro in ospedale e torno a casa la sera.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
122,piacere,"líbit se, potěšení","Mi piace questo posto, è tranquillo e pulito.",verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
135,giocare,"hrát (hra, sport)",Mi piace giocare a calcio con gli amici la domenica.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
140,mangiare,jíst,"Mangiamo insieme dopo il lavoro, va bene?",verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
160,pregare,"modlit se, prosím","La prego, può ripetere più lentamente?",verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
192,scusare,"omluvit, promiňte","Mi deve scusare, arrivo con cinque minuti di ritardo.",verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
230,leggere,číst,Mi piace leggere prima di dormire.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
254,disegnare,kreslit,I bambini amano disegnare animali.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
255,cucinare,vařit,Mi piace cucinare per la mia famiglia.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
273,preferire,"preferovat, dávat přednost",Preferisco il tè al caffè.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
289,capire,"rozumět, chápat",Capisci quando il dottore parla italiano?,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
316,girare,"otočit, odbočit, zahnout",Poi girate a destra e dopo il ponte a sinistra.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
321,lavare,"umýt, prát",Una mano lava l'altra.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
344,seguire,"sledovat, následovat",Seguono sempre le gare di Formula Uno.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
345,sentire,"cítit, slyšet",Sento un rumore strano.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
361,vedere,vidět,Ci vediamo sabato.,verb,B,slovesa,,"Pokud existuje vhodny akcni obrazek, pridat alias; jinak muze zustat verb."
6,troppo,příliš / moc,Parli troppo in classe.,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
21,vorrei,chtěl bych,"Vorrei un caffè, per favore.",proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
23,sì,ano,"Sì, capisco.",others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
25,anche,také,Anche mio fratello studia.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
29,dove,kde,Dove abiti?,proverbs,C,abstraktni_nebo_popisna_slova,where,Doplnit jen pokud bude zjevny vhodny asset.
39,adesso,teď,Adesso andiamo a casa.,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
59,molto,velmi,Questo film è molto bello.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
66,sicuro,jistý,Non sono sicuro.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
67,certo,samozřejmě,"Certo, ti aiuto.",proverbs,C,abstraktni_nebo_popisna_slova,ofcourse,Doplnit jen pokud bude zjevny vhodny asset.
72,brutto,"špatný, ošklivý","Che brutto tempo oggi: piove, c’è vento e fa freddo.",proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
75,lontano,daleko,"Non andare troppo lontano, torniamo presto.",others,C,abstraktni_nebo_popisna_slova,far,Doplnit jen pokud bude zjevny vhodny asset.
78,vicino,blízko,"La stazione è vicino, andiamo a piedi.",others,C,abstraktni_nebo_popisna_slova,near,Doplnit jen pokud bude zjevny vhodny asset.
81,ora,"teď, nyní","Ora non posso parlare, ti chiamo dopo.",proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
96,ogni,každý,Ogni giorno bevo un caffè al mattino.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
111,allora,"tak, tedy, no tak, tehdy, v tom případě","Allora, cosa facciamo adesso?",proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
114,spesso,často,Lui arriva spesso in ritardo.,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
130,male,"špatně, zle, bolest","Oggi sto male, quindi resto a casa.",proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
133,allegro,veselý,Oggi sono allegro perché è una bella giornata.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
139,solito,obvyklý,Di solito bevo un caffè al mattino.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
143,insieme,"spolu, dohromady",Mettiamo tutto insieme sul tavolo.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
153,favore,laskavost,Mi fai un favore? Mi aiuti con questo.,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
159,poi,potom / pak,"Prima mangiamo, poi andiamo al mercato.",others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
165,subito,"hned, okamžitě","Arrivo subito, aspetta un momento.",proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
168,via,ulice,"Devo andare via adesso, a presto!",proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
173,quando,"kdy, když","Quando ho tempo, faccio un esercizio di italiano.",others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
180,poco,málo,Ho poco tempo prima della lezione.,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
185,quale,který,Quale libro vuoi leggere oggi?,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
186,questo,tento,Questo esercizio e piu facile del primo.,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
193,simpatico,sympatický,Il nuovo collega e molto simpatico.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
195,so,vím,"Non so la risposta, ma posso cercarla.",others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
199,te,"tebe, ti","Aspetto te, non tuo fratello.",proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
203,trovarsi,nacházet se; být,La banca si trova vicino alla piazza.,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
210,che,"jaký, který",Il libro che leggo è interessante. Che bella giornata!,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
212,chi,kdo,Chi e quella ragazza vicino alla porta?,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
217,ecco,tady je; tady jsou,Ecco il tuo quaderno sul tavolo.,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
222,francese,Francouz; francouzský,Il nostro vicino francese cucina molto bene.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
228,invitato,"pozvaný, host",Sono invitato a cena da amici domani.,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
229,italiano,"Ital, italský",Un amico italiano mi scrive ogni settimana.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
234,meno,méně,Oggi parlo meno del solito.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
235,misto,"míchaný, smíšený",Prendo un'insalata mista per pranzo.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
236,naturalmente,"přirozeně, samozřejmě","Naturalmente, puoi sederti qui.",proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
237,altro,"jiný, další",Hai un altro quaderno nello zaino?,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
241,benissimo,výborně,Parli benissimo italiano per essere all'inizio.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
257,gli,"mu, ji,  ti",Gli telefono domani mattina.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
263,davvero,"opravdu, skutečně, vážně",È davvero una bella città.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
264,che,že,Penso che hai ragione.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
267,purtroppo,bohužel,Purtroppo oggi non posso venire.,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
272,debole,"slabý, slabá",Sono ancora debole.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
278,abbastanza,"dost, docela",Il campeggio è abbastanza vicino.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
281,ancora,ještě,Non conosciamo ancora questa città.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
290,caro,drahý,"Ma l'aereo è troppo caro, no?",proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
291,certamente,"určitě, jistě","Certamente, ma non per molto tempo.",proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
292,chiamarsi,jmenovat se,Come si chiama la sorella di Luca?,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
298,difficile,"těžký, nesnadný",Deve essere difficile per uno straniero.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
303,elegante,elegantní,Luisa è molto elegante.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
304,facile,"lehký, snadný",Per me non è facile.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
305,fermarsi,"zdržet se, zastavit se",Vi fermate anche a Roma?,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
310,Francia,Francie,Partiamo per la Francia.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
315,Giovanni,Jan,Quando vengono gli amici di Giovanni?,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
317,Giulia,Julie,Viene anche Giulia?,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
320,là,tam,È là.,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
323,lentamente,pomalu,Il dottore non parla proprio lentamente.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
324,Luca,Lukáš,La sorella di Luca viene con me.,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
325,Luisa,Luisa,Luisa è molto elegante.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
326,lungo,dlouhý,Il viaggio in treno è lungo.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
328,Margherita,Markéta,Margherita viene con noi.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
330,me,"mně, mě, mi",Per me è lo stesso.,man,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
331,Milano,Milán,C'è un volo per Milano adesso?,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
335,Parigi,Paříž,Quanto costa il volo per Parigi?,others,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
340,proprio,"právě, zrovna",Perché proprio là?,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
343,scusarsi,omluvit se,Mi scuso per il ritardo.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
346,sentirsi,cítit se,Oggi non mi sento molto bene.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
352,stesso,"tentýž, stejný",Per me è lo stesso.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
357,tutti,všichni,Tutti sono pronti.,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
358,tutto,"všechno, celý",Va tutto bene?,proverbs,C,abstraktni_nebo_popisna_slova,,Doplnit jen pokud bude zjevny vhodny asset.
65,lui è / lei è,on je / ona je,"Lui è calmo, lei è allegra.",woman,C,fraze_a_vyrazy,,Fallback je prijatelny; konkretni obrazek jen volitelne.
211,che cosa,co,Che cosa fai dopo il lavoro?,others,C,fraze_a_vyrazy,,Fallback je prijatelny; konkretni obrazek jen volitelne.
365,vicino a,blízko,Il campeggio è vicino al ponte.,others,C,fraze_a_vyrazy,near,Fallback je prijatelny; konkretni obrazek jen volitelne.
2,su,na,Le chiavi sono su questo tavolo.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
3,su,o (na téma),Leggo un libro su Roma.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
17,E tu?,A ty?,Io sto bene. E tu?,man,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
24,io,já,Io studio italiano ogni giorno.,woman,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
27,o,nebo,Mangiamo a casa o fuori?,conjuction,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
28,e,a,Compro pane e latte.,proverbs,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
30,di dove,odkud,Di dove sei?,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
32,ho,mám,Ho due lezioni oggi.,others,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
34,hai,máš,Hai un minuto?,conjuction,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
42,tu,ty,Tu parli italiano bene.,man,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
47,mio,můj,Questo è il mio libro.,others,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
48,mia,moje,Questa è la mia borsa.,proverbs,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
49,tuo,tvůj,Dov'è il tuo telefono?,others,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
50,tua,tvá,La tua giacca è nuova.,proverbs,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
51,una,jedna (neurčitý člen),Una ragazza canta.,others,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
52,un,jeden (neurčitý člen),Un ragazzo legge.,others,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
63,sono,já jsem,Sono stanco oggi.,woman,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
64,sei,ty jsi,Sei molto gentile.,man,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
68,sempre,"pořád, vždycky",Arrivo sempre in orario.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
69,per niente,vůbec,Non è per niente difficile.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
70,ma,ale,"Vado fuori, ma piove.",conjuction,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
76,ci,tam,Ci vado domani. Ci sono.,others,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
77,ci,"nás, nám",Ci dai una mano? Ci vuole tempo.,others,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
103,per,pro,"Questo regalo è per te, buon compleanno!",preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
104,per,aby,Vado al supermercato per comprare il pane.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
124,come,"jak, jako",Come stai oggi? Hai dormito bene?,others,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
127,impegnata,zaneprázdněná,Lei è impegnata con il lavoro e non ha tempo.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
149,da,"od, z, u, k",Vengo da Praga e lavoro in ospedale.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
154,forse,možná,"Forse stasera piove, quindi resto a casa.",preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
164,stasera,dnes večer,Stasera mangiamo insieme e parliamo un po’.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
171,di solito,obvykle,"Di solito bevo un caffè al mattino, poi vado al lavoro.",preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
179,po',trochu,"Sono un po' stanco, ma continuo a studiare.",preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
209,cena,večeře,"La cena e pronta, vieni a tavola.",preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
215,di,"z, ze, od",Vengo di solito qui a piedi.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
216,dopo,"po, potom",A dopo.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
220,fontana,kašna; fontána,Ci vediamo vicino alla fontana in piazza.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
223,francobollo,poštovní známka,Mi serve un francobollo per questa lettera.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
256,fra,"mezi, za",Fra due giorni partiamo per l’Italia.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
258,quante,kolik,Quante persone arrivano stasera?,proverbs,D,gramatika_a_funkcni_slova,howmuch,Nechat fallback; konkretni obrazek ma maly prinos.
269,un po’,"trochu, trošku",Sono un po’ stanco.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
312,fretta,"spěch, in fretta rychle",Parli troppo in fretta.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
319,interessarsi di,zajímat se o,Loro s'interessano molto di automobilismo.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
333,niente,"nic, di niente není zač",Di niente.,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
336,perché,"proč, protože",Perché parti così presto?,preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
355,tempo,"čas, počasí","Certamente, ma non per molto tempo.",preposition,D,gramatika_a_funkcni_slova,,Nechat fallback; konkretni obrazek ma maly prinos.
