IT,CZ,Order,Sentence,SentenceT,L,HT,gender_it
abita,bydlí,34,Lui abita a Roma.,On bydlí v Římě.,ne,ne,
hai,máš,35,Hai un minuto?,Máš minutu?,ne,ano,
nipote,synovec,36,Il mio nipote gioca a calcio.,Můj synovec hraje fotbal.,ne,ano,m
nipote,neteř,37,La mia nipote suona il piano.,Moje neteř hraje na klavír.,ne,ne,f
figlia,dcera,38,Sua figlia legge un libro.,Jeho dcera čte knihu.,ne,ano,f
figlio,syn,39,Mio figlio va a scuola.,Můj syn chodí do školy.,ne,ano,m
adesso,teď,40,Adesso andiamo a casa.,Teď jdeme domů.,ne,ano,
zia,teta,41,Mia zia cucina bene.,Moje teta vaří dobře.,ne,ano,f
zio,strýc,42,Mio zio è molto simpatico.,Můj strýc je velmi sympatický.,ne,ano,m
tu,ty,43,Tu parli italiano bene.,Ty mluvíš italsky dobře.,ano,ne,
lui,on,44,Lui studia medicina.,On studuje medicínu.,ne,ano,
voi,vy,45,Voi siete pronti?,Vy jste připraveni?,ne,ano,
noi,my,46,Noi viviamo a Brno.,My žijeme v Brně.,ne,ano,
loro,"ony, oni",47,Loro studiano insieme.,Ony studují spolu.,ne,ne,
mio,můj,48,Questo è il mio libro.,To je moje kniha.,ano,ne,
mia,moje,49,Questa è la mia borsa.,To je moje taška.,ne,ne,
tuo,tvůj,50,Dov'è il tuo telefono?,Kde je tvůj telefon?,ne,ne,
tua,tvá,51,La tua giacca è nuova.,Tvá bunda je nová.,ne,ne,
una,jedna (neurčitý člen),52,Una ragazza canta.,Jedna dívka zpívá.,ano,ne,
un,jeden (neurčitý člen),53,Un ragazzo legge.,Jeden chlapec čte.,ne,ne,
sorella,sestra,54,Mia sorella è insegnante.,Moje sestra je učitelka.,ne,ano,f
fratello,bratr,55,Mio fratello è alto.,Můj bratr je vysoký.,ne,ne,m
madre,matka,56,Mia madre prepara la cena.,Moje matka připravuje večeři.,ano,ne,f
padre,otec,57,Mio padre guida la macchina.,Můj otec řídí auto.,ne,ne,m
nonna,babička,58,Mia nonna guarda la TV.,Moje babička se dívá na televizi.,ne,ano,f
nonno,dědeček,59,Mio nonno beve il tè.,Můj dědeček pije čaj.,ne,ne,m
molto,velmi,60,Questo film è molto bello.,Tento film je velmi krásný.,ano,ne,
divertente,zábavný,61,Il gioco è divertente.,Ta hra je zábavná.,ne,ano,
interessante,zajímavý,62,Il libro è interessante.,Ta kniha je zajímavá.,ano,ne,
cattivo,"zlý, protivný",63,Quel cane è cattivo.,Ten pes je zlý.,ne,ano,
sono,já jsem,64,Sono stanco oggi.,Dnes jsem unavený.,ne,ne,
sei,ty jsi,65,Sei molto gentile.,Ty jsi velmi milý.,ne,ne,
lui è / lei è,on je / ona je,66,"Lui è calmo, lei è allegra.","On je klidný, ona je veselá.",ne,ano,
sicuro,jistý,67,Non sono sicuro.,Nejsem si jistý.,ne,ano,
certo,samozřejmě,68,"Certo, ti aiuto.","Samozřejmě, pomohu ti.",ne,ano,
sempre,"pořád, vždycky",69,Arrivo sempre in orario.,Vždy přicházím včas.,ne,ne,
per niente,vůbec,70,Non è per niente difficile.,Není to vůbec těžké.,ne,ano,
ma,ale,71,"Vado fuori, ma piove.","Jdu ven, ale prší.",ne,ne,
giacca,sako,72,Dov’è la mia giacca?,Kde je moje bunda?,ne,ne,f
brutto,"špatný, ošklivý",73,"Che brutto tempo oggi: piove, c’è vento e fa freddo.","Dnes je hrozné počasí: prší, fouká a je zima.",ne,ano,
specchio,zrcadlo,74,Ogni mattina mi guardo nello specchio e mi pettino i capelli.,Každé ráno se dívám do zrcadla a češu si vlasy.,ne,ne,m
camicia,košile,75,Preferisci la camicia a righe o quella blu?,"Dáváš přednost pruhované košili, nebo té modré?",ne,ne,f
lontano,daleko,76,"Non andare troppo lontano, torniamo presto.","Nechoď moc daleko, brzy se vrátíme.",ne,ano,
ci,tam,77,Ci vado domani. Ci sono.,"Zítra tam půjdu. Jsou tam, existují.",ne,ano,
ci,"nás, nám",78,Ci dai una mano? Ci vuole tempo.,Pomůžeš nám? Chce to čas.,ne,ano,
vicino,blízko,79,"La stazione è vicino, andiamo a piedi.","Nádraží je blízko, půjdeme pěšky.",ne,ne,
vicino,soused,80,Il mio vicino è molto gentile.,Můj soused je moc milý.,ano,ne,m
uscita,východ,81,Dov’è l’uscita? Non la vedo.,Kde je východ? Nevidím ho.,ne,ne,f
ora,"teď, nyní",82,"Ora non posso parlare, ti chiamo dopo.","Teď nemůžu mluvit, zavolám ti později.",ano,ne,
ora,hodina,83,Che ora è? Sono le tre.,Kolik je hodin? Jsou tři.,ne,ano,f
cappotto,kabát,84,"Fa freddo oggi, quindi prendo il cappotto e la sciarpa.","Dnes je zima, tak si vezmu kabát a šálu.",ne,ano,m
maglione,svetr,85,"Il maglione è troppo grande, ma è molto comodo.","Svetr je moc velký, ale je hodně pohodlný.",ne,ano,m
gonna,sukně,86,Oggi indossa una gonna nera e una camicia bianca.,Dnes má na sobě černou sukni a bílou košili.,ne,ne,f
scontrino,účtenka,87,"Scusi, può farmi lo scontrino, per favore?","Promiňte, můžete mi vystavit účtenku, prosím?",ne,ano,m
cibo,jídlo,88,"Questo cibo è buono, ma un po’ salato.","Tohle jídlo je dobré, ale trochu slané.",ne,ano,m
regalo,dárek,89,Ho comprato un regalo per mia moglie.,Koupil jsem dárek pro svou manželku.,ne,ne,m
compleanno,narozeniny,90,Buon compleanno! Ti auguro tanta felicità.,Všechno nejlepší! Přeju ti hodně štěstí.,ne,ano,m
biscotto,sušenka,91,"Vorrei un caffè e un biscotto, per favore","Dal bych si kávu a sušenku, prosím.",ne,ano,m
piazza,náměstí,92,Ci vediamo in piazza alle cinque.,Sejdeme se na náměstí v pět.,ne,ne,f
lì,tam,93,"Sono lì, vicino alla porta.","Jsem tam, u dveří.",ne,ne,
giallo,žlutý,94,"Mi piace il colore giallo, soprattutto in estate.","Mám rád žlutou barvu, hlavně v létě.",ne,ano,
bagno,koupelna,95,Dov’è il bagno? Devo lavarmi le mani.,Kde je koupelna? Potřebuju si umýt ruce.,ne,ne,m
cane,pes,96,Porto il cane a fare una passeggiata ogni sera.,Beru psa na procházku každý večer.,ne,ne,m
ogni,každý,97,Ogni giorno bevo un caffè al mattino.,Každý den piju ráno kávu.,ne,ano,
caldo,teplý,98,Mi piace il tè caldo quando fuori piove.,"Mám rád teplý čaj, když venku prší.",ne,ne,
tedesco,"němec, němčina",99,Il mio collega è tedesco e vive vicino a Praga.,Můj kolega je Němec a bydlí poblíž Prahy.,ne,ne,
Lei,Vy,100,Lei parla inglese o tedesco?,Mluvíte anglicky nebo německy?,ne,ne,
lei,ona,101,Lei è molto gentile e parla tre lingue.,Ona je moc milá a mluví třemi jazyky.,ne,ne,
ragazza,dívka,102,Conosco una ragazza molto simpatica di Praga.,Znám jednu moc sympatickou holku z Prahy.,ne,ano,f
guardare,"dívat se, sledovat, hlídat",103,Guardo un film e poi vado a dormire.,Dívám se na film a pak jdu spát.,ne,ano,
per,pro,104,"Questo regalo è per te, buon compleanno!","Tenhle dárek je pro tebe, všechno nejlepší!",ne,ne,
per,aby,105,Vado al supermercato per comprare il pane.,"Jdu do supermarketu, abych koupil chleba.",ne,ano,
pompelmo,grep,106,"Il pompelmo è un po’ amaro, ma mi piace.","Grep je trochu hořký, ale chutná mi.",ne,ne,m
bicchiere,sklenice,107,"Vorrei un bicchiere d’acqua, per favore.","Dal bych si sklenici vody, prosím.",ne,ano,m
mirtilli,borůvky,108,A colazione mangio yogurt con i mirtilli.,Ke snídani jím jogurt s borůvkami.,ne,ano,m
mela,jablko,109,Compro mele e fragole al supermercato.,Kupuju jablka a jahody v supermarketu.,ne,ano,f
fragola,jahoda,110,Preferisci fragole o mirtilli?,"Dáváš přednost jahodám, nebo borůvkám?",ne,ano,f
éclair,zákusek,111,Je prends un éclair au chocolat après le repas.,Dám si čokoládový éclair po jídle.,ne,ano,m
allora,"tak, tedy, no tak, tehdy, v tom případě",112,"Allora, cosa facciamo adesso?","Tak, co budeme dělat teď?",ne,ano,
insegnare,"učit, vyučovat",113,Lei insegna italiano a scuola.,Ona učí italsky ve škole.,ne,ano,
lavorare,pracovat,114,Lavoro in ospedale e torno a casa la sera.,Pracuju v nemocnici a večer se vracím domů.,ne,ano,
spesso,často,115,Lui arriva spesso in ritardo.,On často chodí pozdě.,ne,ano,
ballare,tančit,116,Vuoi ballare con me stasera?,Chceš si se mnou dnes večer zatančit?,ne,ano,
storia,"historie, příběh",117,Raccontami una storia prima di dormire.,Povídej mi příběh před spaním.,ne,ne,f
brioche,"brioška, sladké pečivo",118,Prendo una brioche al cioccolato e un caffè.,Dám si čokoládovou briošku a kávu.,ne,ano,f
forno,trouba,119,"Metto la brioche nel forno per cinque minuti, così è calda.","Dám briošku na pět minut do trouby, aby byla teplá.",ne,ano,m
mercato,trh,120,Vado al mercato la mattina e compro frutta e verdura.,Ráno jdu na trh a koupím ovoce a zeleninu.,ne,ano,m
negozio,obchod,121,In quel negozio vendono scarpe e giacche molto belle.,V tom obchodě prodávají moc hezké boty a bundy.,ne,ne,m
panificio,pekárna,122,C’è un panificio vicino a casa e il pane è sempre caldo.,Je tu pekařství blízko domu a chleba je vždycky teplý.,ne,ano,m
piacere,"líbit se, potěšení",123,"Mi piace questo posto, è tranquillo e pulito.","Líbí se mi tohle místo, je klidné a čisté.",ne,ano,
grazie,děkuji,124,"Grazie per l’aiuto, sei molto gentile.","Díky za pomoc, jsi moc hodný.",ne,ano,
come,"jak, jako",125,Come stai oggi? Hai dormito bene?,Jak se dnes máš? Spal jsi dobře?,ne,ano,
ufficio,"kancelář, úřad",126,Oggi sono in ufficio fino alle cinque.,Dnes jsem v kanceláři do pěti.,ne,ano,m
ospedale,nemocnice,127,Lavoro in ospedale e torno a casa la sera.,Pracuju v nemocnici a večer jdu domů.,ne,ano,m
impegnata,zaneprázdněná,128,Lei è impegnata con il lavoro e non ha tempo.,Ona je zaneprázdněná prací a nemá čas.,ne,ano,
tutti i giorni,každý den,129,Tutti i giorni ripeto le parole per dieci minuti.,Každý den opakuju slovíčka deset minut.,ne,ano,
cuoca,kuchařka,130,"È una cuoca bravissima, ma oggi è molto stanca.","Je to výborná kuchařka, ale dnes je hodně unavená.",ne,ano,f
male,"špatně, zle, bolest",131,"Oggi sto male, quindi resto a casa.","Dnes se cítím špatně, tak zůstanu doma.",ne,ano,
stazione,"nádraží, stanice",132,"La stazione è vicino, ci andiamo a piedi.","Nádraží je blízko, půjdeme pěšky.",ne,ano,f
aiuto,pomoc,133,"Grazie per l’aiuto, ne avevo davvero bisogno.","Díky za pomoc, opravdu jsem ji potřeboval.",ne,ano,m
allegro,veselý,134,Oggi sono allegro perché è una bella giornata.,"Dnes jsem veselý, protože je krásný den.",ne,ano,
chiesa,kostel,135,"La chiesa è in piazza, vicino al palazzo.","Kostel je na náměstí, vedle paláce.",ne,ano,f
giocare,"hrát (hra, sport)",136,Mi piace giocare a calcio con gli amici la domenica.,Rád hraju fotbal s kamarády v neděli.,ne,ano,
estate,léto,137,Quest’estate vado in Italia con la famiglia.,Tohle léto jedu do Itálie s rodinou.,ne,ano,f
zaino,batoh,138,Metto i libri nello zaino e poi esco di casa.,Dám knihy do batohu a pak jdu z domu.,ne,ano,m
mese,měsíc,139,"Ci vediamo tra un mese, d’accordo?","Uvidíme se za měsíc, platí?",ne,ano,m
solito,obvyklý,140,Di solito bevo un caffè al mattino.,Obvykle piju ráno kávu.,ne,ano,
mangiare,jíst,141,"Mangiamo insieme dopo il lavoro, va bene?","Najíme se spolu po práci, platí?",ne,ne,
inverno,zima,142,D’inverno metto il cappotto ogni giorno.,V zimě si beru kabát každý den.,ne,ano,m
gatto,kočka,143,Il gatto dorme sul divano tutto il pomeriggio.,Kočka spí na gauči celé odpoledne.,ne,ano,m
insieme,"spolu, dohromady",144,Mettiamo tutto insieme sul tavolo.,Dáme všechno dohromady na stůl.,ne,ano,
albergo,hotel,145,Dormiamo in un albergo vicino alla stazione.,Spíme v hotelu blízko nádraží.,ne,ano,m
andare,jít / jet,146,Dove andate? In Italia. A Roma.,Kam jedete? Do Itálie. Do Říma.,ne,ne,
aspettare,čekat,147,Ti aspetto davanti al negozio alle cinque.,Počkám na tebe před obchodem v pět.,ne,ano,
casa,dům / domov,148,Oggi resto a casa perché sono stanco.,"Dnes zůstanu doma, protože jsem unavený.",ne,ano,f
cercare,hledat,149,"Cerco le chiavi, ma non le trovo.","Hledám klíče, ale nemůžu je najít.",ne,ano,
da,od / z / u / k,150,Vengo da Praga e lavoro in ospedale.,Jsem z Prahy a pracuju v nemocnici.,ne,ano,
domani,zítra,151,Domani ho una lezione e devo studiare.,Zítra mám lekci a musím se učit.,ne,ano,
domattina,zítra ráno,152,"Domattina parto presto, quindi vado a dormire.","Zítra ráno odjíždím brzy, takže jdu spát.",ne,ano,
esercizio,cvičení / úkol / trénink,153,Faccio un esercizio di italiano ogni giorno.,Dělám jedno cvičení z italštiny každý den.,ne,ano,m
favore,laskavost,154,Mi fai un favore? Mi aiuti con questo.,Uděláš mi laskavost? Pomůžeš mi s tím.,ne,ano,m
forse,možná,155,"Forse stasera piove, quindi resto a casa.","Možná dnes večer bude pršet, tak zůstanu doma.",ne,ano,
forza,"síla, no tak!",156,"Forza, andiamo! Siamo in ritardo.","No tak, jdeme! Jdeme pozdě.",ne,ano,f
lezione,lekce / hodina,157,La lezione inizia alle nove e finisce alle dieci.,Lekce začíná v devět a končí v deset.,ne,ano,f
pagare,platit,158,Posso pagare con la carta o in contanti?,Můžu zaplatit kartou nebo hotově?,ne,ano,
parola,slovo,159,"Non capisco questa parola, puoi spiegarmela?","Nerozumím tomuhle slovu, můžeš mi ho vysvětlit?",ne,ano,f
poi,potom / pak,160,"Prima mangiamo, poi andiamo al mercato.","Nejdřív se najíme, pak půjdeme na trh.",ne,ano,
pregare,"modlit se, prosím",161,"La prego, può ripetere più lentamente?","Prosím vás, můžete to zopakovat pomaleji?",ne,ano,
qua,tady,162,"Vieni qua un attimo, per favore.","Pojď sem na chvilku, prosím.",ne,ano,
restare,zůstat,163,Resto qui cinque minuti e poi vado via.,Zůstanu tady pět minut a pak odejdu.,ne,ano,
ricordare,pamatovat si / připomenout,164,Cerco di ricordare le parole con frasi semplici.,Snažím se pamatovat si slovíčka pomocí jednoduchých vět.,ne,ano,
stasera,dnes večer,165,Stasera mangiamo insieme e parliamo un po’.,Dnes večer se najíme spolu a trochu si popovídáme.,ne,ano,
subito,hned / okamžitě,166,"Arrivo subito, aspetta un momento.","Hned přijdu, počkej chvilku.",ne,ano,
tornare,vrátit se,167,"Torno a casa dopo il lavoro, verso le sei.",Vrátím se domů po práci kolem šesté.,ne,ano,
treno,vlak,168,"Il treno parte alle sette, quindi usciamo presto.","Vlak odjíždí v sedm, tak vyjdeme brzy.",ne,ano,m
via,ulice,169,"Devo andare via adesso, a presto!","Musím teď jít pryč, brzy na viděnou!",ne,ano,
viale,třída / alej,170,"Abito in un viale grande, pieno di alberi.",Bydlím na velké třídě plné stromů.,ne,ano,m
vocabolo,slovíčko / výraz,171,"Questo vocabolo è difficile, ma lo ripeto ogni giorno.","Tohle slovíčko je těžké, ale opakuju ho každý den.",ne,ano,m
di solito,obvykle,172,"Di solito bevo un caffè al mattino, poi vado al lavoro.",Obvykle si ráno dám kávu a pak jdu do práce.,ne,ano,
macchina,"auto, vůz, stroj",173,"La macchina è dal meccanico, quindi oggi vado in treno.","Auto je u mechanika, takže dnes jedu vlakem.",ne,ano,f
quando,"kdy, když",174,"Quando ho tempo, faccio un esercizio di italiano.","Když mám čas, udělám si cvičení z italštiny.",ne,ano,
nemico,nepřítel,175,Il nemico non dice mai la verita.,Nepřítel nikdy neříká pravdu.,ne,ano,m
numero,číslo,176,"Scrivi il tuo numero qui, per favore.","Napiš sem svoje číslo, prosím.",ne,ano,m
occupato,obsazeno; zaneprázdněný,177,Il bagno e occupato in questo momento.,Koupelna je teď obsazená.,ne,ano,
parlare,mluvit,178,Mi piace parlare italiano con gli amici.,Rád mluvím italsky s přáteli.,ne,ano,
permesso,dovolení; svolení,179,Entro solo con il permesso del professore.,Vstoupím jen se svolením profesora.,ne,ano,m
po',trochu,180,"Sono un po' stanco, ma continuo a studiare.","Jsem trochu unavený, ale pokračuji ve studiu.",ne,ano,
poco,málo,181,Ho poco tempo prima della lezione.,Mám málo času před hodinou.,ne,ano,
poco fa,před chvílí,182,L'ho visto poco fa davanti alla stazione.,Viděl jsem ho před chvílí před nádražím.,ne,ano,
posto,místo,183,C'e un posto libero vicino alla finestra.,U okna je volné místo.,ne,ano,m
prendere,vzít; brát,184,Devo prendere il treno delle sette.,Musím stihnout vlak v sedm.,ne,ano,
pronto,"připravený, hotový; haló, prosím?",185,"Pronto? Chi parla, per favore?","Haló? Kdo mluví, prosím?",ne,ano,
quale,který,186,Quale libro vuoi leggere oggi?,Kterou knihu chceš dnes číst?,ne,ano,
questo,tento,187,Questo esercizio e piu facile del primo.,Toto cvičení je lehčí než to první.,ne,ano,
rispondere,odpovědět,188,Puoi rispondere alla mia domanda?,Můžeš odpovědět na mou otázku?,ne,ano,
rivista,časopis,189,Compro una rivista italiana alla stazione.,Na nádraží si kupuji italský časopis.,ne,ano,f
romano,Říman; římský,190,Conosco un collega romano molto simpatico.,Znám jednoho velmi sympatického kolegu z Říma.,ne,ne,m
russo,Rus; ruský,191,"Il mio vicino e russo, ma parla bene italiano.","Můj soused je Rus, ale dobře mluví italsky.",ne,ne,m
scheda,karta; lístek,192,Compilo la scheda prima di entrare in classe.,Vyplňuji kartu před vstupem do třídy.,ne,ano,f
scusare,omluvit; promiňte,193,"Mi deve scusare, arrivo con cinque minuti di ritardo.","Musíte mě omluvit, přicházím o pět minut později.",ne,ano,
simpatico,sympatický,194,Il nuovo collega e molto simpatico.,Nový kolega je velmi sympatický.,ne,ano,
slovacco,Slovák; slovenský,195,Il mio amico slovacco studia a Brno.,Můj slovenský kamarád studuje v Brně.,ne,ne,m
so,vím,196,"Non so la risposta, ma posso cercarla.","Neznám odpověď, ale můžu ji najít.",ne,ano,
sorpresa,překvapení,197,Ho una sorpresa per te dopo cena.,Po večeři pro tebe mám překvapení.,ne,ano,f
Spagna,Španělsko,198,Quest'estate andiamo in Spagna per due settimane.,Letos v létě jedeme do Španělska na dva týdny.,ne,ne,f
spremuta,čerstvá šťáva,199,A colazione bevo una spremuta d'arancia.,K snídani piju čerstvou pomerančovou šťávu.,ne,ano,f
te,"tebe, ti",200,"Aspetto te, non tuo fratello.","Čekám na tebe, ne na tvého bratra.",ne,ne,
tecnico,technik; technický,201,Il tecnico arriva domani mattina per controllare il computer.,Technik přijde zítra ráno zkontrolovat počítač.,ne,ne,m
telefonico,telefonní,202,Ho un contatto telefonico a Roma.,Mám telefonní kontakt v Římě.,ne,ne,
trovare,najít,203,Spero di trovare presto le mie chiavi.,"Doufám, že brzy najdu své klíče.",ne,ano,
trovarsi,nacházet se; být,204,La banca si trova vicino alla piazza.,Banka se nachází blízko náměstí.,ne,ano,
vaniglia,vanilka,205,Mi piace il gelato alla vaniglia.,Mám rád vanilkovou zmrzlinu.,ne,ano,f
vendere,prodat; prodávat,206,Quel negozio vende libri usati.,Ten obchod prodává použité knihy.,ne,ano,
vino,víno,207,A cena bevo solo un bicchiere di vino.,K večeři piju jen jednu sklenku vína.,ne,ne,m
vincere,vyhrát,208,Vogliamo vincere questa partita.,Chceme vyhrát tento zápas.,ne,ano,
zero,nula,209,Oggi ho zero tempo libero.,Dnes mám nulový volný čas.,ne,ano,m
cena,večeře,210,"La cena e pronta, vieni a tavola.","Večeře je hotová, pojď ke stolu.",ne,ano,f
che,že; který,211,Penso che oggi resti a casa.,"Myslím, že dnes zůstane doma.",ne,ano,
che cosa,co,212,Che cosa fai dopo il lavoro?,Co děláš po práci?,ne,ano,
chi,kdo,213,Chi e quella ragazza vicino alla porta?,Kdo je ta dívka u dveří?,ne,ano,
chiamare,volat; jmenovat se,214,Ti chiamo stasera dopo cena.,Zavolám ti dnes večer po večeři.,ne,ne,
conoscere,znát; poznat,215,Vorrei conoscere meglio i tuoi amici.,Chtěl bych lépe poznat tvoje přátele.,ne,ano,
davvero,opravdu,216,Sei davvero pronto per l'esame?,Jsi opravdu připravený na zkoušku?,ne,ano,
di,z; ze; od,217,Vengo di solito qui a piedi.,Sem obvykle chodím pěšky.,ne,ano,
dopo,po; potom,218,Dopo la lezione andiamo a prendere un caffè.,Po hodině si půjdeme dát kávu.,ne,ano,
ecco,tady je; tady jsou,219,Ecco il tuo quaderno sul tavolo.,Tady je tvůj sešit na stole.,ne,ne,
essere,být,220,Essere puntuale e importante.,Být dochvilný je důležité.,ne,ano,
euro,euro,221,Questo libro costa dieci euro.,Tato kniha stojí deset eur.,ne,ne,m
fontana,kašna; fontána,222,Ci vediamo vicino alla fontana in piazza.,Sejdeme se u kašny na náměstí.,ne,ne,f
fragile,křehký,223,"Attento, questo bicchiere e fragile.","Opatrně, tahle sklenice je křehká.",ne,ne,
francese,Francouz; francouzský,224,Il nostro vicino francese cucina molto bene.,Náš francouzský soused vaří velmi dobře.,ne,ne,
francobollo,poštovní známka,225,Mi serve un francobollo per questa lettera.,Potřebuji poštovní známku na tento dopis.,ne,ano,m
gelato,zmrzlina,226,In estate mangio spesso un gelato al limone.,V létě často jím citronovou zmrzlinu.,ne,ano,m
giorno,den,227,Ogni giorno ripeto almeno dieci parole.,Každý den si opakuji alespoň deset slovíček.,ne,ano,m
gustoso,chutný,228,Questo sugo e semplice ma molto gustoso.,"Tato omáčka je jednoduchá, ale velmi chutná.",ne,ano,
inglese,Angličan; anglický,229,Il professore inglese parla lentamente.,Ten anglický profesor mluví pomalu.,ne,ne,m
invitato,pozvaný; host,230,Sono invitato a cena da amici domani.,Zítra jsem pozvaný na večeři k přátelům.,ne,ano,
italiano,Ital; italský,231,Un amico italiano mi scrive ogni settimana.,Jeden italský kamarád mi píše každý týden.,ne,ne,
leggere,číst,232,Mi piace leggere prima di dormire.,Rád čtu před spaním.,ne,ano,
libero,volný; svobodný,233,Sabato pomeriggio sono libero.,V sobotu odpoledne mám volno.,ne,ano,
limone,citron,234,Metto un po' di limone nel tè.,Dávám si trochu citronu do čaje.,ne,ne,m
minuto,minuta,235,"Aspetta un minuto, arrivo subito.","Počkej minutu, hned přijdu.",ne,ne,m
meno,méně,236,Oggi parlo meno del solito.,Dnes mluvím méně než obvykle.,ne,ano,
misto,míchaný; smíšený,237,Prendo un'insalata mista per pranzo.,K obědu si dám míchaný salát.,ne,ano,
naturalmente,přirozeně; samozřejmě,238,"Naturalmente, puoi sederti qui.","Samozřejmě, můžeš si sednout tady.",ne,ano,
altro,jiný; další,239,Hai un altro quaderno nello zaino?,Máš v batohu ještě další sešit?,ne,ano,
arancia,pomeranč,240,Mangio un'arancia dopo pranzo.,Po obědě sním pomeranč.,ne,ano,f
banana,banán,241,A colazione prendo una banana e un caffè.,K snídani si dám banán a kávu.,ne,ne,f
bello,krásný; hezký,242,Hai un vestito davvero bello.,Máš opravdu hezké šaty.,ne,ne,
benissimo,výborně,243,Parli benissimo italiano per essere all'inizio.,"Mluvíš výborně italsky na to, že jsi na začátku.",ne,ano,
bravo,dobrý; šikovný,244,Sei bravo a spiegare le cose difficili.,Jsi šikovný ve vysvětlování těžkých věcí.,ne,ano,
buono,dobrý,245,Questo pane e molto buono.,Tenhle chléb je velmi dobrý.,ne,ne,
camera,pokoj,246,La mia camera e piccola ma comoda.,"Můj pokoj je malý, ale pohodlný.",ne,ano,f
ceco,Čech; český,247,Un collega ceco mi aiuta con l'italiano.,Jeden český kolega mi pomáhá s italštinou.,ne,ne,m
