M,Order,InfIT,InfCZ,Ind1,Ind2,Ind3,IndP1,IndP2,IndP3,FS1,FS2,FS3,FSP1,FSP2,FSP3,Imp1,Imp2,Imp3,ImpP1,ImpP2,ImpP3
ne,12,dovere,muset,io devo,tu devi,lui/lei deve,noi dobbiamo,voi dovete,loro devono,io dovrò,tu dovrai,lui/lei dovrà,noi dovremo,voi dovrete,loro dovranno,io dovevo,tu dovevi,lui/lei doveva,noi dovevamo,voi dovevate,loro dovevano
ne,13,venire,přijít,io vengo,tu vieni,lui/lei viene,noi veniamo,voi venite,loro vengono,io verrò,tu verrai,lui/lei verrà,noi verremo,voi verrete,loro verranno,io venivo,tu venivi,lui/lei veniva,noi venivamo,voi venivate,loro venivano
ne,14,partire,odjet / odejít,io parto,tu parti,lui/lei parte,noi partiamo,voi partite,loro partono,io partirò,tu partirai,lui/lei partirà,noi partiremo,voi partirete,loro partiranno,io partivo,tu partivi,lui/lei partiva,noi partivamo,voi partivate,loro partivano
ne,15,capire,pochopit,io capisco,tu capisci,lui/lei capisce,noi capiamo,voi capite,loro capiscono,io capirò,tu capirai,lui/lei capirà,noi capiremo,voi capirete,loro capiranno,io capivo,tu capivi,lui/lei capiva,noi capivamo,voi capivate,loro capivano
ne,16,lavarsi,umývat se,io mi lavo,tu ti lavi,lui/lei si lava,noi ci laviamo,voi vi lavate,loro si lavano,io mi laverò,tu ti laverai,lui/lei si laverà,noi ci laveremo,voi vi laverete,loro si laveranno,io mi lavavo,tu ti lavavi,lui/lei si lavava,noi ci lavavamo,voi vi lavavate,loro si lavavano
ne,17,avere,mít,io ho,tu hai,lui/lei ha,noi abbiamo,voi avete,loro hanno,io avrò,tu avrai,lui/lei avrà,noi avremo,voi avrete,loro avranno,io avevo,tu avevi,lui/lei aveva,noi avevamo,voi avevate,loro avevano
ne,18,fare,dělat,io faccio,tu fai,lui/lei fa,noi facciamo,voi fate,loro fanno,io farò,tu farai,lui/lei farà,noi faremo,voi farete,loro faranno,io facevo,tu facevi,lui/lei faceva,noi facevamo,voi facevate,loro facevano
ne,19,stare,být / zůstávat,io sto,tu stai,lui/lei sta,noi stiamo,voi state,loro stanno,io starò,tu starai,lui/lei starà,noi staremo,voi starete,loro staranno,io stavo,tu stavi,lui/lei stava,noi stavamo,voi stavate,loro stavano
ano,20,cominciare,začít,io comincio,tu cominci,lui/lei comincia,noi cominciamo,voi cominciate,loro cominciano,io comincerò,tu comincerai,lui/lei comincerà,noi cominceremo,voi comincerete,loro cominceranno,io cominciavo,tu cominciavi,lui/lei cominciava,noi cominciavamo,voi cominciavate,loro cominciavano
ne,21,mangiare,jíst,io mangio,tu mangi,lui/lei mangia,noi mangiamo,voi mangiate,loro mangiano,io mangerò,tu mangerai,lui/lei mangerà,noi mangeremo,voi mangerete,loro mangeranno,io mangiavo,tu mangiavi,lui/lei mangiava,noi mangiavamo,voi mangiavate,loro mangiavano
ne,22,lasciare,nechat,io lascio,tu lasci,lui/lei lascia,noi lasciamo,voi lasciate,loro lasciano,io lascerò,tu lascerai,lui/lei lascerà,noi lasceremo,voi lascerete,loro lasceranno,io lasciavo,tu lasciavi,lui/lei lasciava,noi lasciavamo,voi lasciavate,loro lasciavano
ne,23,potere,moci,io posso,tu puoi,lui/lei può,noi possiamo,voi potete,loro possono,io potrò,tu potrai,lui/lei potrà,noi potremo,voi potrete,loro potranno,io potevo,tu potevi,lui/lei poteva,noi potevamo,voi potevate,loro potevano
ne,24,volere,chtít,io voglio,tu vuoi,lui/lei vuole,noi vogliamo,voi volete,loro vogliono,io vorrò,tu vorrai,lui/lei vorrà,noi vorremo,voi vorrete,loro vorranno,io volevo,tu volevi,lui/lei voleva,noi volevamo,voi volevate,loro volevano
ne,25,sapere,vědět,io so,tu sai,lui/lei sa,noi sappiamo,voi sapete,loro sanno,io saprò,tu saprai,lui/lei saprà,noi sapremo,voi saprete,loro sapranno,io sapevo,tu sapevi,lui/lei sapeva,noi sapevamo,voi sapevate,loro sapevano
ne,26,inviare,poslat,io invio,tu invii,lui/lei invia,noi inviamo,voi inviate,loro inviano,io invierò,tu invierai,lui/lei invierà,noi invieremo,voi invierete,loro invieranno,io inviavo,tu inviavi,lui/lei inviava,noi inviavamo,voi inviavate,loro inviavano
ne,27,dire,říct,io dico,tu dici,lui/lei dice,noi diciamo,voi dite,loro dicono,io dirò,tu dirai,lui/lei dirà,noi diremo,voi direte,loro diranno,io dicevo,tu dicevi,lui/lei diceva,noi dicevamo,voi dicevate,loro dicevano
ne,28,piacere,líbit se,io piaccio,tu piaci,lui/lei piace,noi piacciamo,voi piacete,loro piacciono,io piacerò,tu piacerai,lui/lei piacerà,noi piaceremo,voi piacerete,loro piaceranno,io piacevo,tu piacevi,lui/lei piaceva,noi piacevamo,voi piacevate,loro piacevano
ne,29,dare,dát,io do,tu dai,lui/lei dà,noi diamo,voi date,loro danno,io darò,tu darai,lui/lei darà,noi daremo,voi darete,loro daranno,io davo,tu davi,lui/lei dava,noi davamo,voi davate,loro davano
ne,30,tenere,držet,io tengo,tu tieni,lui/lei tiene,noi teniamo,voi tenete,loro tengono,io terrò,tu terrai,lui/lei terrà,noi terremo,voi terrete,loro terranno,io tenevo,tu tenevi,lui/lei teneva,noi tenevamo,voi tenevate,loro tenevano
ne,31,andarsene,odejít / zmizet,io me ne vado,tu te ne vai,lui/lei se ne va,noi ce ne andiamo,voi ve ne andate,loro se ne vanno,io me ne andrò,tu te ne andrai,lui/lei se ne andrà,noi ce ne andremo,voi ve ne andrete,loro se ne andranno,io me ne andavo,tu te ne andavi,lui/lei se ne andava,noi ce ne andavamo,voi ve ne andavate,loro se ne andavano
ne,32,uscire,vyjít / odejít,io esco,tu esci,lui/lei esce,noi usciamo,voi uscite,loro escono,io uscirò,tu uscirai,lui/lei uscirà,noi usciremo,voi uscirete,loro usciranno,io uscivo,tu uscivi,lui/lei usciva,noi uscivamo,voi uscivate,loro uscivano
ne,33,rimanere,zůstat,io rimango,tu rimani,lui/lei rimane,noi rimaniamo,voi rimanete,loro rimangono,io rimarrò,tu rimarrai,lui/lei rimarrà,noi rimarremo,voi rimarrete,loro rimarranno,io rimanevo,tu rimanevi,lui/lei rimaneva,noi rimanevamo,voi rimanevate,loro rimanevano
ne,34,vedere,vidět,io vedo,tu vedi,lui/lei vede,noi vediamo,voi vedete,loro vedono,io vedrò,tu vedrai,lui/lei vedrà,noi vedremo,voi vedrete,loro vedranno,io vedevo,tu vedevi,lui/lei vedeva,noi vedevamo,voi vedevate,loro vedevano
