date,part_a,part_b,part_c,full_text
2026-07-06,"Je pondělí 6. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je pondělí 6. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-07,"Je úterý 7. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je úterý 7. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-08,"Je středa 8. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je středa 8. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-09,"Je čtvrtek 9. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je čtvrtek 9. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-10,"Jano, Katko, hezký den. Dnes si dejte od angličtiny voraz. Užijte si den, odpočívejte. Jani, ty výsledky dvanáctého července budou OK. Mějte se a zase na slyšenou. Hůhůhů.","","","Jano, Katko, hezký den. Dnes si dejte od angličtiny voraz. Užijte si den, odpočívejte. Jani, ty výsledky dvanáctého července budou OK. Mějte se a zase na slyšenou. Hůhůhů."
2026-07-11,"Janičko, Katko, hezkou sobotu. Omlouvám se, 14. července jsou výsledky, to mi ujelo. Katko vy si užívejte rodiny a Jani ta ruka to je super, že nebolí... Hůhůhů.","","","Janičko, Katko, hezkou sobotu. Omlouvám se, 14. července jsou výsledky, to mi ujelo. Katko vy si užívejte rodiny a Jani ta ruka to je super, že nebolí... Hůhůhů."
2026-07-12,"Je neděle 12. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je neděle 12. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-13,"Dobrý den děvčata. Pan učitel vás zdraví ze země hor a luk - Rakouska. Krásné pondělí a dobré výsledky pro Janu, dobrou náladu pro Markétu i Katku. Hůhůhů.","","","Dobrý den děvčata. Pan učitel vás zdraví ze země hor a luk - Rakouska. Krásné pondělí a dobré výsledky pro Janu, dobrou náladu pro Markétu i Katku. Hůhůhů."
2026-07-14,"Je úterý 14. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je úterý 14. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-15,"Je středa 15. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je středa 15. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-16,"Dobré ráno studentky, pan učitel vás moc pozdravuje a doufá, že se máte dobře a nic a nikdo vás netrápí. Těší se, až se uvidíte. On chodí po horách a dnes má na starosti dvouletého Tomíka, takže to bude náročné. Mějte se krásně. Hůhůhů","","","Dobré ráno studentky, pan učitel vás moc pozdravuje a doufá, že se máte dobře a nic a nikdo vás netrápí. Těší se, až se uvidíte. On chodí po horách a dnes má na starosti dvouletého Tomíka, takže to bude náročné. Mějte se krásně. Hůhůhů"
2026-07-17,"Je pátek 17. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je pátek 17. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-18,"Je sobota 18. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je sobota 18. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-19,"Je neděle 19. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je neděle 19. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-20,"Milé dámy Katko a Jano, moc se omlouvám, nějak jsem k vám nestihla minulý týden zaletět. Moc gratuluji Katko k zasnoubení a Jani těší mě vaše výsledky. Krásný den přeju!!!","","","Milé dámy Katko a Jano, moc se omlouvám, nějak jsem k vám nestihla minulý týden zaletět. Moc gratuluji Katko k zasnoubení a Jani těší mě vaše výsledky. Krásný den přeju!!!"
2026-07-21,"Milé studentky, dnes prý máte konečně angličtinu. Tak ať se vám daří a hezký zbytek dne. Hůhůhů.","","","Milé studentky, dnes prý máte konečně angličtinu. Tak ať se vám daří a hezký zbytek dne. Hůhůhů."
2026-07-22,"Je středa 22. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je středa 22. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-23,"Je čtvrtek 23. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je čtvrtek 23. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-24,"Dobrý den Jano, Katko, Markéto dnes budete mít prý hodinu angličtiny. Ať se vám líbí a dopadne šťastně stejně jako přistání posádky Apola 11 do vod Tichého oceánu 24. července 1969. Lidé kteří poprvé stanuli na jiné planetě se tenkrát šťastně vrátili domů. Mějte se hezky, hůhůhů.","","","Dobrý den Jano, Katko, Markéto dnes budete mít prý hodinu angličtiny. Ať se vám líbí a dopadne šťastně stejně jako přistání posádky Apola 11 do vod Tichého oceánu 24. července 1969. Lidé kteří poprvé stanuli na jiné planetě se tenkrát šťastně vrátili domů. Mějte se hezky, hůhůhů."
2026-07-25,"Je sobota 25. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je sobota 25. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-26,"Je neděle 26. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je neděle 26. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
2026-07-27,"Dobrý den studentky angličtiny. Snad ruka tolik nebolí, šipky věřím, že byly fajn a ranní vstávání jedné z vás je méně náročné. Přeji Vám hezký den. Hůhůhů","","","Dobrý den studentky angličtiny. Snad ruka tolik nebolí, šipky věřím, že byly fajn a ranní vstávání jedné z vás je méně náročné. Přeji Vám hezký den. Hůhůhů"
2026-07-28,"Dobré ráno Jano, Katko, Markéto. Tak už se nám léto vrací zase v plné síle. Užijte si sluníčka, ale nezapomínejte na pitný režim a na angličtinu. V roce 1945 v mlze narazilo letadlo do mrakodrapu v USA. Zahynulo 14 lidí. Spadl výtah, ale stal se zázrak. Betty Oliverová přežila 300 metrový pád výtahu. Přeji také šťastný den. Hůhůhů.","","","Dobré ráno Jano, Katko, Markéto. Tak už se nám léto vrací zase v plné síle. Užijte si sluníčka, ale nezapomínejte na pitný režim a na angličtinu. V roce 1945 v mlze narazilo letadlo do mrakodrapu v USA. Zahynulo 14 lidí. Spadl výtah, ale stal se zázrak. Betty Oliverová přežila 300 metrový pád výtahu. Přeji také šťastný den. Hůhůhů."
2026-07-29,"Krásné ráno a srdečné pozdravení vám všem! Přeji vám dobrou náladu, hodně zdraví a příjemný den. A teď jedna zajímavost: právě 29. července roku 1958 byl v USA podepsán zákon, díky kterému vznikla vesmírná organizace NASA. Ta potom pomohla lidem dostat se až na Měsíc. Zkuste si dnes procvičit pár slov anglicky. Mějte se krásně. Hůhůhů.","","","Krásné ráno a srdečné pozdravení vám všem! Přeji vám dobrou náladu, hodně zdraví a příjemný den. A teď jedna zajímavost: právě 29. července roku 1958 byl v USA podepsán zákon, díky kterému vznikla vesmírná organizace NASA. Ta potom pomohla lidem dostat se až na Měsíc. Zkuste si dnes procvičit pár slov anglicky. Mějte se krásně. Hůhůhů."
2026-07-30,"Dobré ráno slečny. Dnes si užijeme horka, já budu radši spát! Zajímavost: V roce 1971 v tento den přistálo na měsíci Apolo 15, David Scott a James Irwin jezdili poprvé na Měsíci speciálním lunárním autem. Krásný de. Hůhůhů.","","","Dobré ráno slečny. Dnes si užijeme horka, já budu radši spát! Zajímavost: V roce 1971 v tento den přistálo na měsíci Apolo 15, David Scott a James Irwin jezdili poprvé na Měsíci speciálním lunárním autem. Krásný de. Hůhůhů."
2026-07-31,"Dobrý den soví přítelkyně. Nahrávám tento vzkaz a jdu spát do jeskyně, snad mě ochrání před tím vedrem. Roku 1715 se potopily španělské lodě co vezly poklad z Ameriky do Evropy. Zahynulo 1000 lidí a část pokladu se našla až po 200 letech. Pobřeží, kde se potopily, se jmenuje: Treasure Coast – Pobřeží pokladů. Hezký den. Hůhůhů.","","","Dobrý den soví přítelkyně. Nahrávám tento vzkaz a jdu spát do jeskyně, snad mě ochrání před tím vedrem. Roku 1715 se potopily španělské lodě co vezly poklad z Ameriky do Evropy. Zahynulo 1000 lidí a část pokladu se našla až po 200 letech. Pobřeží, kde se potopily, se jmenuje: Treasure Coast – Pobřeží pokladů. Hezký den. Hůhůhů."
2026-08-01,"Dobrý den, děvčata.","Právě 1. srpna 1876 se Colorado stalo 38. státem USA. Protože Spojené státy tehdy slavily sto let, dostalo přezdívku Stát století.","Užijte si dnešního dne. Hůhůhů.","Dobrý den, děvčata. Právě 1. srpna 1876 se Colorado stalo 38. státem USA. Protože Spojené státy tehdy slavily sto let, dostalo přezdívku Stát století. Užijte si dnešního dne. Hůhůhů."
