EN,CZ,Sentence,SentenceT
twelve,dvanáct,There are twelve months in a year.,V roce je dvanáct měsíců.
up,nahoru,Look up at the sky.,Podívej se nahoru na oblohu.
us,nás; nám,Please come with us.,Prosím pojď s námi.
want,chtít,I want to help my friend.,Chci pomoci svému kamarádovi.
watch,sledovat; dívat se,Watch me cross the bridge.,"Dívej se, jak přecházím most."
we,my,We are good friends.,Jsme dobří kamarádi.
what,co; jaký,What is in your bag?,Co je ve tvé tašce?
who,kdo,Who wants to go first?,Kdo chce jít první?
whole,celý,We spend the whole day together.,Trávíme spolu celý den.
why,proč,Why is the door closed?,Proč jsou dveře zavřené?
wide,široký,The river is very wide.,Řeka je velmi široká.
will,budu; bude; budoucí čas,I will help you tomorrow.,Zítra ti pomohu.
wish,přát si; přát,I wish you a happy birthday.,Přeji ti všechno nejlepší k narozeninám.
with,s,Come with me.,Pojď se mnou.
worry,dělat si starosti,Do not worry about the rain.,Nedělej si starosti s deštěm.
year,rok,A year has twelve months.,Rok má dvanáct měsíců.
yes,ano,"Yes, I can help you.","Ano, mohu ti pomoci."
yet,ještě; zatím,We are not ready yet.,Ještě nejsme připraveni.
you,ty; vy,You are my friend.,Ty jsi můj kamarád.
your,tvůj; váš,Is this your book?,Je to tvoje kniha?
