Lekce;Otázka;Kladná odpověď;Záporná odpověď
be;Is it at home?;Yes, it is.;No, it isn't.
be;Is your mom at home?;Yes, she is.;No, she isn't.
be;Are you in Prague now?;Yes, I am.;No, I'm not.
be;Is she tired?;Yes, she is.;No, she's not.
be;Am I happy?;Yes, you are.;No, you aren't.
be;Is he at school?;Yes, he is.;No, he isn't.
be;Are we at home?;Yes, we are.;No, we aren't.
be;Are you in the garden?;Yes, I am.;No, I'm not.
be;Is the sky blue?;Yes, it is.;No, it isn't.
be;Are they in the city?;Yes, they are.;No, they're not.
be;Is the window open?;Yes, it is.;No, it isn't.
be;Is he your friend?;Yes, he is.;No, he isn't.
be;Are we friends?;Yes, we are.;No, we aren't.
be;Are you at school?;Yes, I am.;No, I'm not.
be;Is the dog black?;Yes, it is.;No, it's not.
be;Is your sister small?;Yes, she is.;No, she isn't.
be;Are they happy?;Yes, they are.;No, they aren't.
be;Is he in the city?;Yes, he is.;No, he isn't.
be;Am I in the garden?;Yes, you are.;No, you aren't.
be;Is she small?;Yes, she is.;No, she isn't.
be;Is she seven years old?;Yes, she is.;No, she's not.
be;Are you in the city today?;Yes, I am.;No, I'm not.
be;Is it green?;Yes, it is.;No, it isn't.
be;Is the cake good?;Yes, it is.;No, it's not.
be;Are you tired?;Yes, I am.;No, I'm not.
be;Is his father a teacher?;Yes, he is.;No, he's not.
be;Are you my friend?;Yes, I am.;No, I'm not.
be;Are we in the city now?;Yes, we are.;No, we aren't.
be;Is it red?;Yes, it is.;No, it isn't.
be;Is the radio on?;Yes, it is.;No, it isn't.
be;Is the dog in the garden?;Yes, it is.;No, it isn't.
be;Is her dress pink?;Yes, it is.;No, it isn't.
be;Are we happy?;Yes, we are.;No, we aren't.
be;Am I at home?;Yes, you are.;No, you aren't.
be;Is it pink?;Yes, it is.;No, it's not.
be;Are you good students?;Yes, we are.;No, we aren't.
be;Am I a good student?;Yes, you are.;No, you aren't.
be;Is the cat in the garden?;Yes, it is.;No, it isn't.
be;Are we ten years old?;Yes, we are.;No, we're not.
be;Are you ten years old?;Yes, I am.;No, I'm not.
be;Are they old?;Yes, they are.;No, they aren't.
be;Are you students?;Yes, we are.;No, we aren't.
be;Is he five years old?;Yes, he is.;No, he isn't.
be;Is Prague a big city?;Yes, it is.;No, it isn't.
have;Do I have a dog?;Yes, you do.;No, you don't.
have;Do you have a book?;Yes, I do.;No, I don't.
have;Does he have a bike?;Yes, he does.;No, he doesn't.
have;Does she have a cat?;Yes, she does.;No, she doesn't.
have;Does it have four legs?;Yes, it does.;No, it doesn't.
have;Do we have a lesson now?;Yes, we do.;No, we don't.
have;Do you have a nice teacher?;Yes, we do.;No, we don't.
have;Do they have a car?;Yes, they do.;No, they don't.
go;Do I go to school?;Yes, you do.;No, you don't.
go;Do you go home now?;Yes, I do.;No, I don't.
go;Does he go to work?;Yes, he does.;No, he doesn't.
go;Does she go to Prague today?;Yes, she does.;No, she doesn't.
go;Does it go fast?;Yes, it does.;No, it doesn't.
go;Do we go to the city?;Yes, we do.;No, we don't.
go;Do you go to the garden now?;Yes, we do.;No, we don't.
go;Do they go to school?;Yes, they do.;No, they don't.
