ES,CZ,Order,Sentence,SentenceT,L
cuarto 1 / 4,místnost,42,"Es cuarto 1, ni más ni menos.","Je to místnost, ani víc, ani míň.",ne
cuarto 1 / 4,pokoj,43,Hoy digo: cuarto 1.,Dnes říkám: pokoj.,ne
tercio 1 / 3,třetina,44,En la lista está el número tercio 1.,V seznamu je číslo třetina.,ne
tercio 1 / 3,třetí,45,El número es tercio 1.,Číslo je třetí.,ne
la mitad 1 / 2,polovina,46,En el mapa aparece la mitad 1.,Na mapě je polovina.,ne
la mitad 1 / 2,půlka,47,"Aquí está la mitad 1, justo delante.","Tady je půlka, přímo před námi.",ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/6,48,,"En la lista está el número sexto., V seznamu je číslo 1.",ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/7,49,,"El número es sexto., Číslo je 1.",ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/8,50,,"Es sexto, ni más ni menos., Je to 1, ani víc, ani míň.",ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/9,51,Hoy digo: sexto.,Dnes říkám: 1.,ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/11,52,,"En la lista está el número sexto., V seznamu je číslo 1.",ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/12,53,,"El número es sexto., Číslo je 1.",ne
"decimotercera parte, decimocuarta parte, vigésima parte",1/13,54,A veces decimotercera parte sorprende.,Někdy překvapí tohle: 1.,ne
"decimotercera parte, decimocuarta parte, vigésima parte",1/14,55,Ahora mismo pienso en decimotercera parte.,Teď myslím na tohle: 1.,ne
"decimotercera parte, decimocuarta parte, vigésima parte",1/20,56,Hoy hablamos de decimotercera parte un momento.,Dnes chvíli mluvíme o tomhle: 1.,ne
"trigésimo, cuadragésimo, cincuentena (quincuagésimo)",1/30,57,,"Hoy el día está trigésimo., Dnes je den 1.",ne
"trigésimo, cuadragésimo, cincuentena (quincuagésimo)",1/40,58,,"Su voz suena trigésimo., Jeho/její hlas zní 1.",ne
"trigésimo, cuadragésimo, cincuentena (quincuagésimo)",1/50,59,,"El paisaje es trigésimo., Krajina je 1.",ne
el vale,poukaz,60,Hoy vemos el vale por primera vez.,Dnes poprvé vidíme poukaz.,ne
el vale,stvrzenka,61,En el mapa aparece el vale.,Na mapě je stvrzenka.,ne
el vale,účtenka,62,"Aquí está el vale, justo delante.","Tady je účtenka, přímo před námi.",ne
el vale,platí,63,En la caja hay el vale.,V krabici je platí.,ne
el vale,souhlasím,64,Necesito el vale para este trabajo.,Na tuhle práci potřebuji souhlasím.,ne
el vale,měj se,65,Hoy vemos el vale por primera vez.,Dnes poprvé vidíme měj se.,ne
"pasajero, -ra",cestující,66,Este lugar parece pasajero.,Tohle místo je cestující.,ne
"pasajero, -ra",pasažér,67,,"Hoy el día está pasajero., Dnes je den pasažér.",ne
"pasajero, -ra",pomíjivý,68,Su voz suena pasajero.,Jeho/její hlas zní pomíjivý.,ne
"pasajero, -ra",prchavý,69,El paisaje es pasajero.,Krajina je prchavý.,ne
sí,ano,70,Ahora mismo pienso en sí.,Teď myslím na tohle: ano.,ne
si,jestliže,71,Hoy hablamos de si un momento.,Dnes chvíli mluvíme o tomhle: jestliže.,ne
si,pokud,72,si es importante para este tema.,pokud je důležité pro tohle téma.,ne
si,kdyby,73,"Sin si, todo cambia.",Bez tohohle se všechno mění: kdyby.,ne
por si nada,jakoby nic,74,A veces por si nada sorprende.,Někdy překvapí tohle: jakoby nic.,ne
por si acaso,v případě,75,Ahora mismo pienso en por si acaso.,Teď myslím na tohle: v případě.,ne
por si acaso,že / pro všechny případy / kdyby náhodou,76,Hoy hablamos de por si acaso un momento.,Dnes chvíli mluvíme o tomhle: že.,ne
no,ne,77,Hoy el día está no.,Dnes je den ne.,ne
el,určitý člen,78,"Sin el, todo cambia.",Bez tohohle se všechno mění: určitý člen.,ne
él,on (zájmeno),79,A veces él sorprende.,Někdy překvapí tohle: on.,ne
"joven, el / la joven",mladý,80,Ahora mismo pienso en joven.,Teď myslím na tohle: mladý.,ne
"joven, el / la joven",chlapec/děvče,81,Hoy hablamos de joven un momento.,Dnes chvíli mluvíme o tomhle: chlapec.,ne
la juventud,mládí,82,"Aquí está la juventud, justo delante.","Tady je mládí, přímo před námi.",ne
hablar,mluvit,83,Me gusta hablar cuando tengo tiempo.,"Když mám čas, baví mě mluvit.",ne
el lápiz (lápices),tužka,84,Necesito el lápiz para este trabajo.,Na tuhle práci potřebuji tužka.,ne
la lata / dar (la) lata a algn,plechovka,85,Hoy vemos la lata por primera vez.,Dnes poprvé vidíme plechovka.,ne
la lata / dar (la) lata a algn,nuda / být pro někoho nudné,86,En el mapa aparece la lata.,Na mapě je nuda.,ne
la bandera,vlajka,87,"Aquí está la bandera, justo delante.","Tady je vlajka, přímo před námi.",ne
el chicle,žvýkačka,88,En la caja hay el chicle.,V krabici je žvýkačka.,ne
el bolso,kabelka,89,Necesito el bolso para este trabajo.,Na tuhle práci potřebuji kabelka.,ne
el bolso,kapsa,90,Hoy vemos el bolso por primera vez.,Dnes poprvé vidíme kapsa.,ne
la bolsa,taška,91,En el mapa aparece la bolsa.,Na mapě je taška.,ne
la bolsa,brašna,92,"Aquí está la bolsa, justo delante.","Tady je brašna, přímo před námi.",ne
la bolsa,burza,93,En la caja hay la bolsa.,V krabici je burza.,ne
el saludo,pozdrav,94,Necesito el saludo para este trabajo.,Na tuhle práci potřebuji pozdrav.,ne
hola,ahoj,95,Ahora mismo me siento hola.,Teď se cítím ahoj.,ne
hola,nazdar (při setkání),96,Este lugar parece hola.,Tohle místo je nazdar.,ne
hola,vyjádření údivu ...,97,Hoy el día está hola.,Dnes je den vyjádření údivu ....,ne
inglés,angličtina,98,"Sin inglés, todo cambia.",Bez tohohle se všechno mění: angličtina.,ne
el bolígrafo,pero na psaní,99,Necesito el bolígrafo para este trabajo.,Na tuhle práci potřebuji pero na psaní.,ne
la víctima,obět,100,Hoy vemos la víctima por primera vez.,Dnes poprvé vidíme obět.,ne
el fútbol,fotbal,101,En el mapa aparece el fútbol.,Na mapě je fotbal.,ne
el interés,zájem,102,"Aquí está el interés, justo delante.","Tady je zájem, přímo před námi.",ne
el pescado,ryba,103,En la caja hay el pescado.,V krabici je ryba.,ne
el pescado,rybí maso,104,Necesito el pescado para este trabajo.,Na tuhle práci potřebuji rybí maso.,ne
el helado,zmrzlina,105,Hoy vemos el helado por primera vez.,Dnes poprvé vidíme zmrzlina.,ne
el helado,zmrzlý,106,En el mapa aparece el helado.,Na mapě je zmrzlý.,ne
el helado,chladný,107,"Aquí está el helado, justo delante.","Tady je chladný, přímo před námi.",ne
el helado,studený,108,En la caja hay el helado.,V krabici je studený.,ne
el helado,mražený,109,Necesito el helado para este trabajo.,Na tuhle práci potřebuji mražený.,ne
la gracia,děkuji,110,Hoy vemos la gracia por primera vez.,Dnes poprvé vidíme děkuji.,ne
la gracia,milost,111,En el mapa aparece la gracia.,Na mapě je milost.,ne
la gracia,půvab,112,"Aquí está la gracia, justo delante.","Tady je půvab, přímo před námi.",ne
mucho,hodně,113,Su voz suena mucho.,Jeho/její hlas zní hodně.,ne
mucho,velmi,114,El paisaje es mucho.,Krajina je velmi.,ne
mucho,moc,115,Ahora mismo me siento mucho.,Teď se cítím moc.,ne
mucho,dloho,116,Este lugar parece mucho.,Tohle místo je dloho.,ne
mucho,dlouhá doba,117,Hoy el día está mucho.,Dnes je den dlouhá doba.,ne
Mucho gusto. / Encantado / Encantada.,Těší mě. při představování,118,"Sin Mucho gusto., todo cambia.",Bez tohohle se všechno mění: Těší mě. při představování.,ne
Buenos días!,Dobrý den! pozdrav,119,A veces Buenos días! sorprende.,Někdy překvapí tohle: Dobrý den! pozdrav.,ne
Buenas noches / tardes!,Dobrou noc!/Dobrý večer!,120,Ahora mismo pienso en Buenas noches.,Teď myslím na tohle: Dobrou noc!.,ne
grande,velký,121,Este lugar parece grande.,Tohle místo je velký.,ne
grande,vysoký,122,Hoy el día está grande.,Dnes je den vysoký.,ne
grande,dospělý,123,Su voz suena grande.,Jeho/její hlas zní dospělý.,ne
alto,vysoký,124,El paisaje es alto.,Krajina je vysoký.,ne
alto,vznešený,125,Ahora mismo me siento alto.,Teď se cítím vznešený.,ne
alto,nahlas,126,Este lugar parece alto.,Tohle místo je nahlas.,ne
alto,hlasitě,127,Hoy el día está alto.,Dnes je den hlasitě.,ne
bajo,malý,128,Su voz suena bajo.,Jeho/její hlas zní malý.,ne
bajo,nízký,129,El paisaje es bajo.,Krajina je nízký.,ne
bajo,skloněný,130,Ahora mismo me siento bajo.,Teď se cítím skloněný.,ne
bajo,ubohý,131,Este lugar parece bajo.,Tohle místo je ubohý.,ne
bajo,potichu,132,Hoy el día está bajo.,Dnes je den potichu.,ne
el hombre,člověk,133,En la caja hay el hombre.,V krabici je člověk.,ne
el hombre,muž,134,Necesito el hombre para este trabajo.,Na tuhle práci potřebuji muž.,ne
el hombre,Člověče! Ty bláho!,135,Hoy vemos el hombre por primera vez.,Dnes poprvé vidíme Člověče! Ty bláho!.,ne
El hombre propone y Dios dispone.,Člověk míní,136,En el mapa aparece El hombre propone y Dios dispone..,Na mapě je Člověk míní.,ne
El hombre propone y Dios dispone.,pánbůh mění.,137,"Aquí está El hombre propone y Dios dispone., justo delante.","Tady je pánbůh mění., přímo před námi.",ne
proponer (se),navrhnout (předsevzít si),138,Me gusta proponer cuando tengo tiempo.,"Když mám čas, baví mě navrhnout.",ne
disponer,rozhodnout,139,Vamos a disponer un momento.,Pojďme rozhodnout na chvilku.,ne
disponer,nařídit,140,Intento disponer mejor cada día.,Snažím se nařídit každý den lépe.,ne
disponer,uspořádat,141,"Quiero disponer hoy, sin prisa.","Dnes chci uspořádat, bez spěchu.",ne
disponer,rozestavit,142,Necesito disponer antes de salir.,Potřebuji rozestavit před odchodem.,ne
disponer,přichystat,143,Me gusta disponer cuando tengo tiempo.,"Když mám čas, baví mě přichystat.",ne
yo,já,144,El paisaje es yo.,Krajina je já.,ne
yo que tú,já na tvém místě,145,Ahora mismo pienso en yo que tú.,Teď myslím na tohle: já na tvém místě.,ne
yo que tú,já být tebou,146,Hoy hablamos de yo que tú un momento.,Dnes chvíli mluvíme o tomhle: já být tebou.,ne
tú,ty,147,tú es importante para este tema.,ty je důležité pro tohle téma.,ne
tú,tykat,148,"Sin tú, todo cambia.",Bez tohohle se všechno mění: tykat.,ne
"vosotros, -tras",vy,149,El paisaje es vosotros.,Krajina je vy.,ne
"ellos, -llas",oni,150,Ahora mismo me siento ellos.,Teď se cítím oni.,ne
"ellos, -llas",ony,151,Este lugar parece ellos.,Tohle místo je ony.,ne
ella,ona,152,Hoy el día está ella.,Dnes je den ona.,ne
ello (eso),ono,153,Su voz suena ello.,Jeho/její hlas zní ono.,ne
ello (eso),to,154,El paisaje es ello.,Krajina je to.,ne
¡Vaya con Dios!,Bůh vás provázej!,155,Ahora mismo pienso en ¡Vaya con Dios!.,Teď myslím na tohle: Bůh vás provázej!.,ne
vaya,to je,156,Este lugar parece vaya.,Tohle místo je to je.,ne
vaya,ale,157,Hoy el día está vaya.,Dnes je den ale.,ne
vaya,no tohle,158,Su voz suena vaya.,Jeho/její hlas zní no tohle.,ne
con,s,159,A veces con sorprende.,Někdy překvapí tohle: s.,ne
con,se,160,Ahora mismo pienso en con.,Teď myslím na tohle: se.,ne
con,v,161,Hoy hablamos de con un momento.,Dnes chvíli mluvíme o tomhle: v.,ne
con,za,162,con es importante para este tema.,za je důležité pro tohle téma.,ne
"habla con Lola, escribe con lápiz",mluví s Lolou,163,"Sin habla con Lola, todo cambia.",Bez tohohle se všechno mění: mluví s Lolou.,ne
"habla con Lola, escribe con lápiz",píše tužkou,164,A veces habla con Lola sorprende.,Někdy překvapí tohle: píše tužkou.,ne
"amigo, -ga",přítel (kyně),165,Ahora mismo me siento amigo.,Teď se cítím přítel.,ne
"amigo, -ga",kamarád (ka),166,Este lugar parece amigo.,Tohle místo je kamarád.,ne
¡Querido amigo!,Drahý příteli! v dopise,167,¡Querido amigo! es importante para este tema.,Drahý příteli! v dopise je důležité pro tohle téma.,ne
"querido, -da",chtěný,168,Su voz suena querido.,Jeho/její hlas zní chtěný.,ne
"querido, -da",milovaný,169,El paisaje es querido.,Krajina je milovaný.,ne
"querido, -da",drahoušek,170,Ahora mismo me siento querido.,Teď se cítím drahoušek.,ne
"querido, -da",zlatíčko,171,Este lugar parece querido.,Tohle místo je zlatíčko.,ne
adiós,rozloučení,172,adiós es importante para este tema.,rozloučení je důležité pro tohle téma.,ne
adiós,nashledanou,173,"Sin adiós, todo cambia.",Bez tohohle se všechno mění: nashledanou.,ne
adiós,ahoj,174,A veces adiós sorprende.,Někdy překvapí tohle: ahoj.,ne
¡Hasta la vista! (luego),Na viděnou,175,Ahora mismo pienso en ¡Hasta la vista!.,Teď myslím na tohle: Na viděnou.,ne
¡Hasta la vista! (luego),na shledanou.,176,Hoy hablamos de ¡Hasta la vista! un momento.,Dnes chvíli mluvíme o tomhle: na shledanou..,ne
luego,pak,177,Hoy el día está luego.,Dnes je den pak.,ne
luego,potom,178,Su voz suena luego.,Jeho/její hlas zní potom.,ne
la vista / la visión,zrak,179,Necesito la vista para este trabajo.,Na tuhle práci potřebuji zrak.,ne
la vista / la visión,pohled,180,Hoy vemos la vista por primera vez.,Dnes poprvé vidíme pohled.,ne
la vista / la visión,vidění / zrak,181,En el mapa aparece la vista.,Na mapě je vidění.,ne
hasta,až do,182,Hoy el día está hasta.,Dnes je den až do.,ne
hasta,dokonce,183,Su voz suena hasta.,Jeho/její hlas zní dokonce.,ne
hasta,za chvíli,184,El paisaje es hasta.,Krajina je za chvíli.,ne
hasta,ahoj příště,185,Ahora mismo me siento hasta.,Teď se cítím ahoj příště.,ne
Hasta mañana.,nashledanou zítra,186,Hoy hablamos de Hasta mañana. un momento.,Dnes chvíli mluvíme o tomhle: nashledanou zítra.,ne
el mañana / la mañana / pasado mañana,zítra,187,"Aquí está el mañana, justo delante.","Tady je zítra, přímo před námi.",ne
el mañana / la mañana / pasado mañana,zítřek / ráno,188,En la caja hay el mañana.,V krabici je zítřek.,ne
el mañana / la mañana / pasado mañana,jitro / pozítří,189,Necesito el mañana para este trabajo.,Na tuhle práci potřebuji jitro.,ne
nada (de nada),nic,190,Ahora mismo me siento nada.,Teď se cítím nic.,ne
nada (de nada),vůbec ne (není zač),191,Este lugar parece nada.,Tohle místo je vůbec ne.,ne
Yo soy,Já jsem ...,192,Yo soy es importante para este tema.,Já jsem ... je důležité pro tohle téma.,ne
"gato, -ta",kocour,193,Su voz suena gato.,Jeho/její hlas zní kocour.,ne
"gato, -ta",kočka,194,El paisaje es gato.,Krajina je kočka.,ne
"perro, -rra",pes,195,Ahora mismo me siento perro.,Teď se cítím pes.,ne
"perro, -rra",fena,196,Este lugar parece perro.,Tohle místo je fena.,ne
"zorro, -rra",lišák,197,,"Hoy el día está zorro., Dnes je den lišák.",ne
"zorro, -rra",liška,198,Su voz suena zorro.,Jeho/její hlas zní liška.,ne
"zorro, -rra",mazaný,199,El paisaje es zorro.,Krajina je mazaný.,ne
la cabra,koza,200,Hoy vemos la cabra por primera vez.,Dnes poprvé vidíme koza.,ne
"cerdo, -da",prase,201,Este lugar parece cerdo.,Tohle místo je prase.,ne
"cerdo, -da",čuně,202,,"Hoy el día está cerdo., Dnes je den čuně.",ne
"cerdo, -da",špinavý,203,Su voz suena cerdo.,Jeho/její hlas zní špinavý.,ne
"cerdo, -da",sprosťák,204,El paisaje es cerdo.,Krajina je sprosťák.,ne
"cerdo, -da",hrubý,205,Ahora mismo me siento cerdo.,Teď se cítím hrubý.,ne
la vaca,kráva,206,En el mapa aparece la vaca.,Na mapě je kráva.,ne
la vaca,hovězí maso,207,"Aquí está la vaca, justo delante.","Tady je hovězí maso, přímo před námi.",ne
"el ratón, la ratona (casera)",myš (domácí),208,,"En la caja hay el ratón., V krabici je myš.",ne
la gallina / el gallo,slepice,209,Necesito la gallina para este trabajo.,Na tuhle práci potřebuji slepice.,ne
la gallina / el gallo,bačkora,210,Hoy vemos la gallina por primera vez.,Dnes poprvé vidíme bačkora.,ne
la gallina / el gallo,zbabělý,211,En el mapa aparece la gallina.,Na mapě je zbabělý.,ne
la gallina / el gallo,poseroutka / kohout,212,"Aquí está la gallina, justo delante.","Tady je poseroutka, přímo před námi.",ne
el pollo,kuře,213,En la caja hay el pollo.,V krabici je kuře.,ne
el pollo,ptáče,214,Necesito el pollo para este trabajo.,Na tuhle práci potřebuji ptáče.,ne
el pollo,mládě,215,Hoy vemos el pollo por primera vez.,Dnes poprvé vidíme mládě.,ne
el pollo,zajíček (kluk),216,En el mapa aparece el pollo.,Na mapě je zajíček.,ne
el pato,kachna,217,"Aquí está el pato, justo delante.","Tady je kachna, přímo před námi.",ne
el pato,kačer,218,En la caja hay el pato.,V krabici je kačer.,ne
el pato,nemotorný,219,Necesito el pato para este trabajo.,Na tuhle práci potřebuji nemotorný.,ne
el pato,nešikovný,220,Hoy vemos el pato por primera vez.,Dnes poprvé vidíme nešikovný.,ne
el pato,lenoch,221,En el mapa aparece el pato.,Na mapě je lenoch.,ne
el pato,flákač,222,"Aquí está el pato, justo delante.","Tady je flákač, přímo před námi.",ne
la oca,husa,223,En la caja hay la oca.,V krabici je husa.,ne
el loro / el papagayo,papoušek,224,Necesito el loro para este trabajo.,Na tuhle práci potřebuji papoušek.,ne
"blanco, -ca",bílý,225,Ahora mismo me siento blanco.,Teď se cítím bílý.,ne
"blanco, -ca",běloch,226,Este lugar parece blanco.,Tohle místo je běloch.,ne
"negro, -ra",černý,227,,"Hoy el día está negro., Dnes je den černý.",ne
"negro, -ra",tmavý,228,Su voz suena negro.,Jeho/její hlas zní tmavý.,ne
verde / verdoso = nazelenalý,zelený,229,El paisaje es verde.,Krajina je zelený.,ne
verde / verdoso = nazelenalý,syrový,230,Ahora mismo me siento verde.,Teď se cítím syrový.,ne
verde / verdoso = nazelenalý,v začátcích,231,Este lugar parece verde.,Tohle místo je v začátcích.,ne
verde / verdoso = nazelenalý,nezralý,232,Hoy el día está verde.,Dnes je den nezralý.,ne
verde / verdoso = nazelenalý,nezkušený,233,Su voz suena verde.,Jeho/její hlas zní nezkušený.,ne
verde / verdoso = nazelenalý,oplzlý,234,El paisaje es verde.,Krajina je oplzlý.,ne
azul,modrý,235,Ahora mismo pienso en azul.,Teď myslím na tohle: modrý.,ne
azul,obloha,236,Hoy hablamos de azul un momento.,Dnes chvíli mluvíme o tomhle: obloha.,ne
"amarillo, -lla",žlutý,237,,"Hoy el día está amarillo., Dnes je den žlutý.",ne
"amarillo, -lla",bulvární,238,Su voz suena amarillo.,Jeho/její hlas zní bulvární.,ne
"rojo, -ja",červený,239,El paisaje es rojo.,Krajina je červený.,ne
"rojo, -ja",rudý,240,Ahora mismo me siento rojo.,Teď se cítím rudý.,ne
"rojo, -ja",komunistický,241,Este lugar parece rojo.,Tohle místo je komunistický.,ne
"rojo, -ja",rezavý,242,,"Hoy el día está rojo., Dnes je den rezavý.",ne
"rosado, -a",růžový,243,Su voz suena rosado.,Jeho/její hlas zní růžový.,ne
marrón / pardo,hnědý,244,A veces marrón sorprende.,Někdy překvapí tohle: hnědý.,ne
gris,šedý,245,Ahora mismo pienso en gris.,Teď myslím na tohle: šedý.,ne
"naranja, naranjado, anaranjado",oranžový,246,Este lugar parece naranja.,Tohle místo je oranžový.,ne
"morado, morada",fialový,247,,"Hoy el día está morado., Dnes je den fialový.",ne
violeta,světle fialový,248,Su voz suena violeta.,Jeho/její hlas zní světle fialový.,ne
violeta,fialka,249,El paisaje es violeta.,Krajina je fialka.,ne
el ayer,včera,250,Hoy vemos el ayer por primera vez.,Dnes poprvé vidíme včera.,ne
el ayer,včerejšek,251,En el mapa aparece el ayer.,Na mapě je včerejšek.,ne
el ayer,minulost,252,"Aquí está el ayer, justo delante.","Tady je minulost, přímo před námi.",ne
el futuro,budoucnost,253,En la caja hay el futuro.,V krabici je budoucnost.,ne
el futuro,budoucí,254,Necesito el futuro para este trabajo.,Na tuhle práci potřebuji budoucí.,ne
el futuro,příští,255,Hoy vemos el futuro por primera vez.,Dnes poprvé vidíme příští.,ne
decidir / decisivo,rozhodnout (se) / rozhodující,256,"Quiero decidir hoy, sin prisa.","Dnes chci rozhodnout, bez spěchu.",ne
aprender,(na) učit se,257,Necesito aprender antes de salir.,Potřebuji učit se před odchodem.,ne
aprender,zapamatovat si,258,Me gusta aprender cuando tengo tiempo.,"Když mám čas, baví mě zapamatovat si.",ne
saber,vědět,259,Vamos a saber un momento.,Pojďme vědět na chvilku.,ne
saber,znát,260,Intento saber mejor cada día.,Snažím se znát každý den lépe.,ne
saber,moci,261,"Quiero saber hoy, sin prisa.","Dnes chci moci, bez spěchu.",ne
saber,umět,262,Necesito saber antes de salir.,Potřebuji umět před odchodem.,ne
saber,chutnat,263,Me gusta saber cuando tengo tiempo.,"Když mám čas, baví mě chutnat.",ne
posible,možný,264,El paisaje es posible.,Krajina je možný.,ne
posible,pravděpodobný,265,Ahora mismo me siento posible.,Teď se cítím pravděpodobný.,ne
ser,být,266,"Quiero ser hoy, sin prisa.","Dnes chci být, bez spěchu.",ne
ser,existovat,267,Necesito ser antes de salir.,Potřebuji existovat před odchodem.,ne
ser,vyskytovat se,268,Me gusta ser cuando tengo tiempo.,"Když mám čas, baví mě vyskytovat se.",ne
"yo soy, nosotros somos",jsem,269,A veces yo soy sorprende.,Někdy překvapí tohle: jsem.,ne
"yo soy, nosotros somos",jsme,270,Ahora mismo pienso en yo soy.,Teď myslím na tohle: jsme.,ne
"tú eres, vosotros sois",jsi,271,,"Hoy hablamos de tú eres un momento., Dnes chvíli mluvíme o tomhle: jsi.",ne
"tú eres, vosotros sois",jste,272,,"tú eres es importante para este tema., jste je důležité pro tohle téma.",ne
"él es, ellos son",je,273,,"Él me lo dio y yo le di las gracias., On mi to dal a já jsem mu poděkoval.",ne
"él es, ellos son",jsou,274,,"Él me lo dio y yo le di las gracias., On mi to dal a já jsem mu poděkoval.",ne
esperar,doufat,275,Intento esperar mejor cada día.,Snažím se doufat každý den lépe.,ne
esperar,věřit,276,"Quiero esperar hoy, sin prisa.","Dnes chci věřit, bez spěchu.",ne
esperar,čekat,277,Necesito esperar antes de salir.,Potřebuji čekat před odchodem.,ne
esperar,očekávat,278,Me gusta esperar cuando tengo tiempo.,"Když mám čas, baví mě očekávat.",ne
bastante,dost,279,El paisaje es bastante.,Krajina je dost.,ne
bastante,dostatečně,280,Ahora mismo me siento bastante.,Teď se cítím dostatečně.,ne
bastante,akorát,281,Este lugar parece bastante.,Tohle místo je akorát.,ne
diligente,pečlivý,282,Hoy el día está diligente.,Dnes je den pečlivý.,ne
diligente,snaživý,283,Su voz suena diligente.,Jeho/její hlas zní snaživý.,ne
diligente,pilný,284,El paisaje es diligente.,Krajina je pilný.,ne
diligente,rychlý,285,Ahora mismo me siento diligente.,Teď se cítím rychlý.,ne
diligente,hbitý,286,Este lugar parece diligente.,Tohle místo je hbitý.,ne
diligente,pohotový,287,Hoy el día está diligente.,Dnes je den pohotový.,ne
en,v,288,"Sin en, todo cambia.",Bez tohohle se všechno mění: v.,ne
en,ve (místně),289,A veces en sorprende.,Někdy překvapí tohle: ve.,ne
vive en Madrid,žije v Madridu,290,Ahora mismo pienso en vive en Madrid.,Teď myslím na tohle: žije v Madridu.,ne
y,a,291,Hoy hablamos de y un momento.,Dnes chvíli mluvíme o tomhle: a.,ne
y,i,292,y es importante para este tema.,i je důležité pro tohle téma.,ne
recientemente,nedávno,293,Habla recientemente y todos entienden.,Mluví nedávno a všichni rozumí.,ne
comprar,(za)koupit,294,Vamos a comprar un momento.,Pojďme koupit na chvilku.,ne
comprar,kupovat,295,Intento comprar mejor cada día.,Snažím se kupovat každý den lépe.,ne
comprar,podplatit,296,"Quiero comprar hoy, sin prisa.","Dnes chci podplatit, bez spěchu.",ne
la motocicleta (la moto),motorka,297,"Aquí está la motocicleta, justo delante.","Tady je motorka, přímo před námi.",ne
la motocicleta (la moto),motocykl,298,En la caja hay la motocicleta.,V krabici je motocykl.,ne
escribir,psát,299,Vamos a escribir un momento.,Pojďme psát na chvilku.,ne
