ES,CZ,Order,Sentence,SentenceT,L
quinto 1 / 5,pětina,39,El profesor explica que el número quinto es clave en este ejemplo y por eso debemos fijarnos bien.,"Učitel vysvětluje, že číslo pětina je v tomto příkladu klíčové, a proto mu musíme věnovat pozornost.",ne
cuarto 1 / 4,čtvrtina,40,"Cuando reviso la tarea en casa, escribo con cuidado el número cuarto para evitar errores simples.","Když doma kontroluji úkol, píšu číslo čtvrtina pečlivě, abych se vyhnul jednoduchým chybám.",ne
cuarto 1 / 4,čtvrtý,41,En la prueba de hoy veo el número cuarto en varias preguntas y me ayuda reconocerlo rápido.,V dnešním testu vidím číslo čtvrtý v několika otázkách a pomáhá mi ho rychle rozpoznat.,ne
cuarto 1 / 4,místnost,42,En el ejercicio de matemáticas aparece el número cuarto y lo usamos para calcular el resultado final.,V matematickém cvičení se objevuje číslo místnost a používáme ho pro výpočet konečného výsledku.,ne
cuarto 1 / 4,pokoj,43,Hoy en clase repetimos el número cuarto varias veces para recordarlo bien en la parte oral.,"Dnes ve třídě několikrát opakujeme číslo pokoj, abychom si ho dobře zapamatovali v ústní části.",ne
tercio 1 / 3,třetina,44,"Cuando reviso la tarea en casa, escribo con cuidado el número tercio para evitar errores simples.","Když doma kontroluji úkol, píšu číslo třetina pečlivě, abych se vyhnul jednoduchým chybám.",ne
tercio 1 / 3,třetí,45,"Cuando reviso la tarea en casa, escribo con cuidado el número tercio para evitar errores simples.","Když doma kontroluji úkol, píšu číslo třetí pečlivě, abych se vyhnul jednoduchým chybám.",ne
la mitad 1 / 2,polovina,46,"Cuando reviso la tarea en casa, escribo con cuidado el número la mitad para evitar errores simples.","Když doma kontroluji úkol, píšu číslo polovina pečlivě, abych se vyhnul jednoduchým chybám.",ne
la mitad 1 / 2,půlka,47,El profesor explica que el número la mitad es clave en este ejemplo y por eso debemos fijarnos bien.,"Učitel vysvětluje, že číslo půlka je v tomto příkladu klíčové, a proto mu musíme věnovat pozornost.",ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/6,48,Hoy en clase repetimos el número sexto varias veces para recordarlo bien en la parte oral.,"Dnes ve třídě několikrát opakujeme číslo 1, abychom si ho dobře zapamatovali v ústní části.",ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/7,49,El profesor explica que el número sexto es clave en este ejemplo y por eso debemos fijarnos bien.,"Učitel vysvětluje, že číslo 1 je v tomto příkladu klíčové, a proto mu musíme věnovat pozornost.",ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/8,50,En la prueba de hoy veo el número sexto en varias preguntas y me ayuda reconocerlo rápido.,V dnešním testu vidím číslo 1 v několika otázkách a pomáhá mi ho rychle rozpoznat.,ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/9,51,El profesor explica que el número sexto es clave en este ejemplo y por eso debemos fijarnos bien.,"Učitel vysvětluje, že číslo 1 je v tomto příkladu klíčové, a proto mu musíme věnovat pozornost.",ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/11,52,Hoy en clase repetimos el número sexto varias veces para recordarlo bien en la parte oral.,"Dnes ve třídě několikrát opakujeme číslo 1, abychom si ho dobře zapamatovali v ústní části.",ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/12,53,En la prueba de hoy veo el número sexto en varias preguntas y me ayuda reconocerlo rápido.,V dnešním testu vidím číslo 1 v několika otázkách a pomáhá mi ho rychle rozpoznat.,ne
"decimotercera parte, decimocuarta parte, vigésima parte",1/13,54,"En una conversación normal uso decimotercera parte, porque esta estructura suena natural y se entiende fácilmente.","V běžném rozhovoru používám 1, protože tato struktura zní přirozeně a snadno se jí rozumí.",ne
"decimotercera parte, decimocuarta parte, vigésima parte",1/14,55,"En una conversación normal uso decimotercera parte, porque esta estructura suena natural y se entiende fácilmente.","V běžném rozhovoru používám 1, protože tato struktura zní přirozeně a snadno se jí rozumí.",ne
"decimotercera parte, decimocuarta parte, vigésima parte",1/20,56,"La expresión decimotercera parte parece difícil al principio, pero con práctica diaria sale de forma automática.","Výraz 1 vypadá ze začátku těžce, ale s každodenním tréninkem jde automaticky.",ne
"trigésimo, cuadragésimo, cincuentena (quincuagésimo)",1/30,57,Hoy escucho trigésimo en un diálogo del curso y luego intento repetir la misma idea con mis palabras.,Dnes slyším 1 v dialogu z kurzu a potom se snažím stejnou myšlenku zopakovat vlastními slovy.,ne
"trigésimo, cuadragésimo, cincuentena (quincuagésimo)",1/40,58,"En este contexto digo trigésimo, porque es la forma más habitual entre hablantes nativos.","V tomto kontextu říkám 1, protože je to mezi rodilými mluvčími nejběžnější forma.",ne
"trigésimo, cuadragésimo, cincuentena (quincuagésimo)",1/50,59,"La expresión trigésimo parece difícil al principio, pero con práctica diaria sale de forma automática.","Výraz 1 vypadá ze začátku těžce, ale s každodenním tréninkem jde automaticky.",ne
el vale,poukaz,60,"Cuando estudio en casa, repito la palabra el vale en voz alta para mejorar mi pronunciación.","Když se učím doma, opakuji slovo poukaz nahlas, abych zlepšil výslovnost.",ne
el vale,stvrzenka,61,En clase escribimos la palabra el vale en diferentes ejemplos para verla en situaciones reales.,"Ve třídě zapisujeme slovo stvrzenka do různých příkladů, abychom ho viděli v reálných situacích.",ne
el vale,účtenka,62,Durante la conversación escucho la palabra el vale varias veces y así recuerdo mejor su significado.,"Během rozhovoru slyším slovo účtenka několikrát, a tak si lépe pamatuji jeho význam.",ne
el vale,platí,63,Durante la conversación escucho la palabra el vale varias veces y así recuerdo mejor su significado.,"Během rozhovoru slyším slovo platí několikrát, a tak si lépe pamatuji jeho význam.",ne
el vale,souhlasím,64,En clase escribimos la palabra el vale en diferentes ejemplos para verla en situaciones reales.,"Ve třídě zapisujeme slovo souhlasím do různých příkladů, abychom ho viděli v reálných situacích.",ne
el vale,měj se,65,"En el texto de hoy aparece la palabra el vale, y después la usamos en una frase completa con contexto.",V dnešním textu se objevuje slovo měj se a potom ho používáme v celé větě s kontextem.,ne
"pasajero, -ra",cestující,66,"La expresión pasajero parece difícil al principio, pero con práctica diaria sale de forma automática.","Výraz cestující vypadá ze začátku těžce, ale s každodenním tréninkem jde automaticky.",ne
"pasajero, -ra",pasažér,67,Para el examen oral preparo una frase completa con pasajero y así hablo con más seguridad.,"Na ústní zkoušku si připravuji celou větu s pasažér, a tím mluvím jistěji.",ne
"pasajero, -ra",pomíjivý,68,"La expresión pasajero parece difícil al principio, pero con práctica diaria sale de forma automática.","Výraz pomíjivý vypadá ze začátku těžce, ale s každodenním tréninkem jde automaticky.",ne
"pasajero, -ra",prchavý,69,"La expresión pasajero parece difícil al principio, pero con práctica diaria sale de forma automática.","Výraz prchavý vypadá ze začátku těžce, ale s každodenním tréninkem jde automaticky.",ne
sí,ano,70,"Sí, claro, esta vez entiendo la pregunta completa y puedo responder de forma clara y tranquila.","Ano, jasně, tentokrát celé otázce rozumím a mohu odpovědět jasně a v klidu.",ne
si,jestliže,71,"Cuando escucho español en audio, reconozco si y entiendo mejor el sentido de la frase.","Když poslouchám španělštinu v audiu, poznám jestliže a lépe chápu smysl celé věty.",ne
si,pokud,72,"En casa practico con ejemplos donde aparece si, y así lo uso con más confianza.","Doma trénuji na příkladech, kde se objevuje pokud, a díky tomu ho používám s větší jistotou.",ne
si,kdyby,73,"Cuando escucho español en audio, reconozco si y entiendo mejor el sentido de la frase.","Když poslouchám španělštinu v audiu, poznám kdyby a lépe chápu smysl celé věty.",ne
por si nada,jakoby nic,74,"La expresión por si nada parece difícil al principio, pero con práctica diaria sale de forma automática.","Výraz jakoby nic vypadá ze začátku těžce, ale s každodenním tréninkem jde automaticky.",ne
por si acaso,v případě,75,"Cuando practicamos en parejas, aparece por si acaso varias veces y eso me ayuda a recordarlo sin esfuerzo.","Když procvičujeme ve dvojicích, v případě se objevuje několikrát a to mi pomáhá zapamatovat si to bez námahy.",ne
por si acaso,že / pro všechny případy / kdyby náhodou,76,"En este contexto digo por si acaso, porque es la forma más habitual entre hablantes nativos.","V tomto kontextu říkám že, protože je to mezi rodilými mluvčími nejběžnější forma.",ne
no,ne,77,"En esta lección el resultado suena no, aunque al principio parecía bastante complicado.","V této lekci výsledek zní ne, i když na začátku vypadal docela složitě.",ne
el,určitý člen,78,"En esta unidad la palabra el es importante, porque aparece en varios ejercicios de comprensión.","V této lekci je slovo určitý člen důležité, protože se objevuje v několika cvičeních na porozumění.",ne
él,on (zájmeno),79,"Él organiza su día con calma, llega a tiempo y siempre termina primero las tareas importantes.","On si den klidně organizuje, přichází včas a vždy nejdřív dokončí důležité úkoly.",ne
"joven, el / la joven",mladý,80,Hoy escucho joven en un diálogo del curso y luego intento repetir la misma idea con mis palabras.,Dnes slyším mladý v dialogu z kurzu a potom se snažím stejnou myšlenku zopakovat vlastními slovy.,ne
"joven, el / la joven",chlapec/děvče,81,"Cuando practicamos en parejas, aparece joven varias veces y eso me ayuda a recordarlo sin esfuerzo.","Když procvičujeme ve dvojicích, chlapec se objevuje několikrát a to mi pomáhá zapamatovat si to bez námahy.",ne
la juventud,mládí,82,En clase escribimos la palabra la juventud en diferentes ejemplos para verla en situaciones reales.,"Ve třídě zapisujeme slovo mládí do různých příkladů, abychom ho viděli v reálných situacích.",ne
hablar,mluvit,83,"Cuando trabajo en parejas, intento hablar sin prisa para hablar con más precisión.","Když pracuji ve dvojici, snažím se mluvit bez spěchu, abych mluvil přesněji.",ne
el lápiz (lápices),tužka,84,"En este contexto digo el lápiz, porque es la forma más habitual entre hablantes nativos.","V tomto kontextu říkám tužka, protože je to mezi rodilými mluvčími nejběžnější forma.",ne
la lata / dar (la) lata a algn,plechovka,85,"La expresión la lata parece difícil al principio, pero con práctica diaria sale de forma automática.","Výraz plechovka vypadá ze začátku těžce, ale s každodenním tréninkem jde automaticky.",ne
la lata / dar (la) lata a algn,nuda / být pro někoho nudné,86,Hoy escucho la lata en un diálogo del curso y luego intento repetir la misma idea con mis palabras.,Dnes slyším nuda v dialogu z kurzu a potom se snažím stejnou myšlenku zopakovat vlastními slovy.,ne
la bandera,vlajka,87,En clase escribimos la palabra la bandera en diferentes ejemplos para verla en situaciones reales.,"Ve třídě zapisujeme slovo vlajka do různých příkladů, abychom ho viděli v reálných situacích.",ne
el chicle,žvýkačka,88,En clase escribimos la palabra el chicle en diferentes ejemplos para verla en situaciones reales.,"Ve třídě zapisujeme slovo žvýkačka do různých příkladů, abychom ho viděli v reálných situacích.",ne
el bolso,kabelka,89,Mi profesora recomienda usar la palabra el bolso en frases largas para entenderla con más precisión.,"Moje učitelka doporučuje používat slovo kabelka v delších větách, abychom mu rozuměli přesněji.",ne
el bolso,kapsa,90,En clase escribimos la palabra el bolso en diferentes ejemplos para verla en situaciones reales.,"Ve třídě zapisujeme slovo kapsa do různých příkladů, abychom ho viděli v reálných situacích.",ne
la bolsa,taška,91,Mi profesora recomienda usar la palabra la bolsa en frases largas para entenderla con más precisión.,"Moje učitelka doporučuje používat slovo taška v delších větách, abychom mu rozuměli přesněji.",ne
la bolsa,brašna,92,Mi profesora recomienda usar la palabra la bolsa en frases largas para entenderla con más precisión.,"Moje učitelka doporučuje používat slovo brašna v delších větách, abychom mu rozuměli přesněji.",ne
la bolsa,burza,93,Durante la conversación escucho la palabra la bolsa varias veces y así recuerdo mejor su significado.,"Během rozhovoru slyším slovo burza několikrát, a tak si lépe pamatuji jeho význam.",ne
el saludo,pozdrav,94,"En el texto de hoy aparece la palabra el saludo, y después la usamos en una frase completa con contexto.",V dnešním textu se objevuje slovo pozdrav a potom ho používáme v celé větě s kontextem.,ne
hola,ahoj,95,"Después de revisar los detalles, la situación parece más hola y todo queda mucho más claro.",Po kontrole detailů situace působí více ahoj a všechno je mnohem jasnější.,ne
hola,nazdar (při setkání),96,La explicación final es tan hola que todos en clase entienden la idea sin dificultad.,"Závěrečné vysvětlení je tak nazdar, že všichni ve třídě chápou myšlenku bez potíží.",ne
hola,vyjádření údivu ...,97,La explicación final es tan hola que todos en clase entienden la idea sin dificultad.,"Závěrečné vysvětlení je tak vyjádření údivu, že všichni ve třídě chápou myšlenku bez potíží.",ne
inglés,angličtina,98,Hoy uso la palabra inglés en una frase completa para recordar mejor su significado y su uso real.,"Dnes používám slovo angličtina v celé větě, abych si lépe zapamatoval jeho význam i skutečné použití.",ne
el bolígrafo,pero na psaní,99,Durante la conversación escucho la palabra el bolígrafo varias veces y así recuerdo mejor su significado.,"Během rozhovoru slyším slovo pero na psaní několikrát, a tak si lépe pamatuji jeho význam.",ne
la víctima,obět,100,Mi profesora recomienda usar la palabra la víctima en frases largas para entenderla con más precisión.,"Moje učitelka doporučuje používat slovo obět v delších větách, abychom mu rozuměli přesněji.",ne
el fútbol,fotbal,101,"Cuando estudio en casa, repito la palabra el fútbol en voz alta para mejorar mi pronunciación.","Když se učím doma, opakuji slovo fotbal nahlas, abych zlepšil výslovnost.",ne
el interés,zájem,102,"Cuando estudio en casa, repito la palabra el interés en voz alta para mejorar mi pronunciación.","Když se učím doma, opakuji slovo zájem nahlas, abych zlepšil výslovnost.",ne
el pescado,ryba,103,Mi profesora recomienda usar la palabra el pescado en frases largas para entenderla con más precisión.,"Moje učitelka doporučuje používat slovo ryba v delších větách, abychom mu rozuměli přesněji.",ne
el pescado,rybí maso,104,"Cuando estudio en casa, repito la palabra el pescado en voz alta para mejorar mi pronunciación.","Když se učím doma, opakuji slovo rybí maso nahlas, abych zlepšil výslovnost.",ne
el helado,zmrzlina,105,Durante la conversación escucho la palabra el helado varias veces y así recuerdo mejor su significado.,"Během rozhovoru slyším slovo zmrzlina několikrát, a tak si lépe pamatuji jeho význam.",ne
el helado,zmrzlý,106,Mi profesora recomienda usar la palabra el helado en frases largas para entenderla con más precisión.,"Moje učitelka doporučuje používat slovo zmrzlý v delších větách, abychom mu rozuměli přesněji.",ne
el helado,chladný,107,"Cuando estudio en casa, repito la palabra el helado en voz alta para mejorar mi pronunciación.","Když se učím doma, opakuji slovo chladný nahlas, abych zlepšil výslovnost.",ne
el helado,studený,108,"En esta unidad la palabra el helado es importante, porque aparece en varios ejercicios de comprensión.","V této lekci je slovo studený důležité, protože se objevuje v několika cvičeních na porozumění.",ne
el helado,mražený,109,"Cuando estudio en casa, repito la palabra el helado en voz alta para mejorar mi pronunciación.","Když se učím doma, opakuji slovo mražený nahlas, abych zlepšil výslovnost.",ne
la gracia,děkuji,110,En clase escribimos la palabra la gracia en diferentes ejemplos para verla en situaciones reales.,"Ve třídě zapisujeme slovo děkuji do různých příkladů, abychom ho viděli v reálných situacích.",ne
la gracia,milost,111,"En esta unidad la palabra la gracia es importante, porque aparece en varios ejercicios de comprensión.","V této lekci je slovo milost důležité, protože se objevuje v několika cvičeních na porozumění.",ne
la gracia,půvab,112,Durante la conversación escucho la palabra la gracia varias veces y así recuerdo mejor su significado.,"Během rozhovoru slyším slovo půvab několikrát, a tak si lépe pamatuji jeho význam.",ne
mucho,hodně,113,"Después de revisar los detalles, la situación parece más mucho y todo queda mucho más claro.",Po kontrole detailů situace působí více hodně a všechno je mnohem jasnější.,ne
mucho,velmi,114,La explicación final es tan mucho que todos en clase entienden la idea sin dificultad.,"Závěrečné vysvětlení je tak velmi, že všichni ve třídě chápou myšlenku bez potíží.",ne
mucho,moc,115,"Cuando comparo las opciones, esta me parece más mucho para resolver el problema correctamente.","Když porovnávám možnosti, tato mi připadá více moc pro správné řešení problému.",ne
mucho,dloho,116,"Cuando comparo las opciones, esta me parece más mucho para resolver el problema correctamente.","Když porovnávám možnosti, tato mi připadá více dloho pro správné řešení problému.",ne
mucho,dlouhá doba,117,"Después de revisar los detalles, la situación parece más mucho y todo queda mucho más claro.",Po kontrole detailů situace působí více dlouhá doba a všechno je mnohem jasnější.,ne
Mucho gusto. / Encantado / Encantada.,Těší mě. při představování,118,"En una conversación normal uso Mucho gusto, porque esta estructura suena natural y se entiende fácilmente.","V běžném rozhovoru používám Těší mě. při představování, protože tato struktura zní přirozeně a snadno se jí rozumí.",ne
Buenos días!,Dobrý den! pozdrav,119,"En el diálogo de hoy aparece Buenos días!, y después intento usarlo de forma natural en mi respuesta.",V dnešním dialogu se objevuje Dobrý den! pozdrav a potom se ho snažím přirozeně použít ve své odpovědi.,ne
Buenas noches / tardes!,Dobrou noc!/Dobrý večer!,120,"Cuando practicamos en parejas, aparece Buenas noches varias veces y eso me ayuda a recordarlo sin esfuerzo.","Když procvičujeme ve dvojicích, Dobrou noc! se objevuje několikrát a to mi pomáhá zapamatovat si to bez námahy.",ne
grande,velký,121,"Mi profesora recomienda escribir grande en frases largas, porque así la palabra se fija mejor.","Moje učitelka doporučuje psát velký do delších vět, protože se tak slovo lépe upevní.",ne
grande,vysoký,122,"En casa practico con ejemplos donde aparece grande, y así lo uso con más confianza.","Doma trénuji na příkladech, kde se objevuje vysoký, a díky tomu ho používám s větší jistotou.",ne
grande,dospělý,123,"Mi profesora recomienda escribir grande en frases largas, porque así la palabra se fija mejor.","Moje učitelka doporučuje psát dospělý do delších vět, protože se tak slovo lépe upevní.",ne
alto,vysoký,124,"Hoy me siento bastante alto, pero sigo trabajando con calma para terminar todo a tiempo.","Dnes se cítím docela vysoký, ale dál pracuji v klidu, abych vše dokončil včas.",ne
alto,vznešený,125,La explicación final es tan alto que todos en clase entienden la idea sin dificultad.,"Závěrečné vysvětlení je tak vznešený, že všichni ve třídě chápou myšlenku bez potíží.",ne
alto,nahlas,126,"En el diálogo de hoy una reacción parece alto, y por eso comentamos su significado juntos.","V dnešním dialogu jedna reakce působí nahlas, a proto společně probíráme její význam.",ne
alto,hlasitě,127,"Cuando comparo las opciones, esta me parece más alto para resolver el problema correctamente.","Když porovnávám možnosti, tato mi připadá více hlasitě pro správné řešení problému.",ne
bajo,malý,128,"En esta lección el resultado suena bajo, aunque al principio parecía bastante complicado.","V této lekci výsledek zní malý, i když na začátku vypadal docela složitě.",ne
bajo,nízký,129,"Hoy me siento bastante bajo, pero sigo trabajando con calma para terminar todo a tiempo.","Dnes se cítím docela nízký, ale dál pracuji v klidu, abych vše dokončil včas.",ne
bajo,skloněný,130,La explicación final es tan bajo que todos en clase entienden la idea sin dificultad.,"Závěrečné vysvětlení je tak skloněný, že všichni ve třídě chápou myšlenku bez potíží.",ne
bajo,ubohý,131,"En esta lección el resultado suena bajo, aunque al principio parecía bastante complicado.","V této lekci výsledek zní ubohý, i když na začátku vypadal docela složitě.",ne
bajo,potichu,132,"Hoy me siento bastante bajo, pero sigo trabajando con calma para terminar todo a tiempo.","Dnes se cítím docela potichu, ale dál pracuji v klidu, abych vše dokončil včas.",ne
el hombre,člověk,133,"Cuando estudio en casa, repito la palabra el hombre en voz alta para mejorar mi pronunciación.","Když se učím doma, opakuji slovo člověk nahlas, abych zlepšil výslovnost.",ne
el hombre,muž,134,Durante la conversación escucho la palabra el hombre varias veces y así recuerdo mejor su significado.,"Během rozhovoru slyším slovo muž několikrát, a tak si lépe pamatuji jeho význam.",ne
el hombre,Člověče! Ty bláho!,135,"En el texto de hoy aparece la palabra el hombre, y después la usamos en una frase completa con contexto.",V dnešním textu se objevuje slovo Člověče! Ty bláho! a potom ho používáme v celé větě s kontextem.,ne
El hombre propone y Dios dispone.,Člověk míní,136,Hoy escucho El hombre propone y Dios dispone en un diálogo del curso y luego intento repetir la misma idea con mis palabras.,Dnes slyším Člověk míní v dialogu z kurzu a potom se snažím stejnou myšlenku zopakovat vlastními slovy.,ne
El hombre propone y Dios dispone.,pánbůh mění.,137,Para el examen oral preparo una frase completa con El hombre propone y Dios dispone y así hablo con más seguridad.,"Na ústní zkoušku si připravuji celou větu s pánbůh mění, a tím mluvím jistěji.",ne
proponer (se),navrhnout (předsevzít si),138,"Aunque hoy estoy cansado, quiero proponer bien en este ejercicio para fijar la estructura.","I když jsem dnes unavený, chci v tomto cvičení dobře navrhnout, abych si upevnil danou strukturu.",ne
disponer,rozhodnout,139,"Cuando trabajo en parejas, intento disponer sin prisa para hablar con más precisión.","Když pracuji ve dvojici, snažím se rozhodnout bez spěchu, abych mluvil přesněji.",ne
disponer,nařídit,140,"Cuando trabajo en parejas, intento disponer sin prisa para hablar con más precisión.","Když pracuji ve dvojici, snažím se nařídit bez spěchu, abych mluvil přesněji.",ne
disponer,uspořádat,141,"No es fácil disponer al principio, pero con práctica constante cada semana se vuelve más natural.","Na začátku není snadné uspořádat, ale s pravidelným tréninkem je to každý týden přirozenější.",ne
