ES,CZ,Order,Sentence,SentenceT,L
centésimo 0.01,stý,36,Entonces digo «centésimo 0.01» y todos entienden.,Někdy používám slovo „stý“ ve větě.,ne
décimo 0.1,desetina,37,"Mira, recuerdo bien la palabra «décimo 0.1».",Včera večer používám slovo „desetina“ ve větě.,ne
décimo 0.1,desátý,38,"Vale, escribo «décimo 0.1» en mi cuaderno.",Dnes řeknu „desátý“ a všichni rozumí.,ne
quinto 1 / 5,pětina,39,"Mira, practico hoy la palabra «quinto 1 / 5».",Konečně si dobře pamatuji slovo „pětina“.,ne
cuarto 1 / 4,čtvrtina,40,Esta mañana escribo «cuarto 1 / 4» en mi cuaderno.,Včera večer dnes procvičuji slovo „čtvrtina“.,ne
cuarto 1 / 4,čtvrtý,41,"Vale, practico hoy la palabra «cuarto 1 / 4».",Dnes ráno si dobře pamatuji slovo „čtvrtý“.,ne
cuarto 1 / 4,místnost,42,Esta mañana digo «cuarto 1 / 4» y todos entienden.,Vážně dnes procvičuji slovo „místnost“.,ne
cuarto 1 / 4,pokoj,43,"Mira, practico hoy la palabra «cuarto 1 / 4».",Takže řeknu „pokoj“ a všichni rozumí.,ne
tercio 1 / 3,třetina,44,Casi nunca uso la palabra «tercio 1 / 3» en una frase.,Vážně používám slovo „třetina“ ve větě.,ne
tercio 1 / 3,třetí,45,"Mira, practico hoy la palabra «tercio 1 / 3».",Dnes ráno dnes procvičuji slovo „třetí“.,ne
la mitad 1 / 2,polovina,46,"Vale, escucho la palabra «la mitad 1 / 2» en clase.",Teď píšu „polovina“ do sešitu.,ne
la mitad 1 / 2,půlka,47,"Oye, digo «la mitad 1 / 2» y todos entienden.",Dnes řeknu „půlka“ a všichni rozumí.,ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/6,48,"Oye, recuerdo bien la palabra «sexto, séptimo, octavo, noveno, undécimo, duodécimo».",Skoro nikdy píšu „1/6“ do sešitu.,ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/7,49,"Por fin recuerdo bien la palabra «sexto, séptimo, octavo, noveno, undécimo, duodécimo».",Dnes slyším slovo „1/7“ ve třídě.,ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/8,50,"A veces digo «sexto, séptimo, octavo, noveno, undécimo, duodécimo» y todos entienden.","Řekni, řeknu „1/8“ a všichni rozumí.",ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/9,51,"Sabes, escucho la palabra «sexto, séptimo, octavo, noveno, undécimo, duodécimo» en clase.",Někdy si dobře pamatuji slovo „1/9“.,ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/11,52,"Mira, digo «sexto, séptimo, octavo, noveno, undécimo, duodécimo» y todos entienden.",Teď řeknu „1/11“ a všichni rozumí.,ne
"sexto, séptimo, octavo, noveno, undécimo, duodécimo",1/12,53,"Ahora recuerdo bien la palabra «sexto, séptimo, octavo, noveno, undécimo, duodécimo».","Jasně, si dobře pamatuji slovo „1/12“.",ne
"decimotercera parte, decimocuarta parte, vigésima parte",1/13,54,"Oye, recuerdo bien la palabra «decimotercera parte, decimocuarta parte, vigésima parte».","Jasně, řeknu „1/13“ a všichni rozumí.",ne
"decimotercera parte, decimocuarta parte, vigésima parte",1/14,55,"Entonces practico hoy la palabra «decimotercera parte, decimocuarta parte, vigésima parte».","Představ si, píšu „1/14“ do sešitu.",ne
"decimotercera parte, decimocuarta parte, vigésima parte",1/20,56,"Por fin escribo «decimotercera parte, decimocuarta parte, vigésima parte» en mi cuaderno.","Řekni, slyším slovo „1/20“ ve třídě.",ne
"trigésimo, cuadragésimo, cincuentena (quincuagésimo)",1/30,57,"Esta mañana recuerdo bien la palabra «trigésimo, cuadragésimo, cincuentena (quincuagésimo)».","Víš, používám slovo „1/30“ ve větě.",ne
"trigésimo, cuadragésimo, cincuentena (quincuagésimo)",1/40,58,"Oye, digo «trigésimo, cuadragésimo, cincuentena (quincuagésimo)» y todos entienden.","Tak, slyším slovo „1/40“ ve třídě.",ne
"trigésimo, cuadragésimo, cincuentena (quincuagésimo)",1/50,59,"A veces digo «trigésimo, cuadragésimo, cincuentena (quincuagésimo)» y todos entienden.",Konečně slyším slovo „1/50“ ve třídě.,ne
el vale,poukaz,60,A veces digo «el vale» y todos entienden.,Vážně řeknu „poukaz“ a všichni rozumí.,ne
el vale,stvrzenka,61,Casi nunca escucho la palabra «el vale» en clase.,Dnes dnes procvičuji slovo „stvrzenka“.,ne
el vale,účtenka,62,Siempre uso la palabra «el vale» en una frase.,"Jasně, si dobře pamatuji slovo „účtenka“.",ne
el vale,platí,63,"Bueno, recuerdo bien la palabra «el vale».",Teď řeknu „platí“ a všichni rozumí.,ne
el vale,souhlasím,64,Pues escucho la palabra «el vale» en clase.,"Jasně, řeknu „souhlasím“ a všichni rozumí.",ne
el vale,měj se,65,Anoche practico hoy la palabra «el vale».,Včera večer používám slovo „měj se“ ve větě.,ne
"pasajero, -ra",cestující,66,"Siempre practico hoy la palabra «pasajero, -ra».",Teď píšu „cestující“ do sešitu.,ne
"pasajero, -ra",pasažér,67,"En serio practico hoy la palabra «pasajero, -ra».","Tak, dnes procvičuji slovo „pasažér“.",ne
"pasajero, -ra",pomíjivý,68,"Claro, practico hoy la palabra «pasajero, -ra».",Vždy řeknu „pomíjivý“ a všichni rozumí.,ne
"pasajero, -ra",prchavý,69,"Siempre escucho la palabra «pasajero, -ra» en clase.",Dnes ráno slyším slovo „prchavý“ ve třídě.,ne
sí,ano,70,"Dime, escucho la palabra «sí» en clase.",Teď používám slovo „ano“ ve větě.,ne
si,jestliže,71,Hoy uso la palabra «si» en una frase.,"Dobře, si dobře pamatuji slovo „jestliže“.",ne
si,pokud,72,"Vale, uso la palabra «si» en una frase.",Konečně píšu „pokud“ do sešitu.,ne
si,kdyby,73,"Oye, digo «si» y todos entienden.",Takže si dobře pamatuji slovo „kdyby“.,ne
por si nada,jakoby nic,74,"Dime, practico hoy la palabra «por si nada».",Teď řeknu „jakoby nic“ a všichni rozumí.,ne
por si acaso,v případě,75,"Claro, digo «por si acaso» y todos entienden.","Jasně, řeknu „v případě“ a všichni rozumí.",ne
por si acaso,že / pro všechny případy / kdyby náhodou,76,"Oye, escribo «por si acaso» en mi cuaderno.","Poslouchej, slyším slovo „že / pro všechny případy / kdyby náhodou“ ve třídě.",ne
no,ne,77,Por fin uso la palabra «no» en una frase.,"Tak, píšu „ne“ do sešitu.",ne
el,určitý člen,78,"Vale, escribo «el» en mi cuaderno.","Tak, píšu „určitý člen“ do sešitu.",ne
él,on (zájmeno),79,Por fin escribo «él» en mi cuaderno.,No si dobře pamatuji slovo „on (zájmeno)“.,ne
"joven, el / la joven",mladý,80,"Siempre escucho la palabra «joven, el / la joven» en clase.","Poslouchej, slyším slovo „mladý“ ve třídě.",ne
"joven, el / la joven",chlapec/děvče,81,"Sabes, escucho la palabra «joven, el / la joven» en clase.",Dnes si dobře pamatuji slovo „chlapec/děvče“.,ne
la juventud,mládí,82,Pues escribo «la juventud» en mi cuaderno.,Dnes dnes procvičuji slovo „mládí“.,ne
hablar,mluvit,83,"Vale, escribo «hablar» en mi cuaderno.","Dobře, řeknu „mluvit“ a všichni rozumí.",ne
el lápiz (lápices),tužka,84,Hoy digo «el lápiz (lápices)» y todos entienden.,"Jasně, píšu „tužka“ do sešitu.",ne
la lata / dar (la) lata a algn,plechovka,85,A veces practico hoy la palabra «la lata / dar (la) lata a algn».,"Dobře, slyším slovo „plechovka“ ve třídě.",ne
la lata / dar (la) lata a algn,nuda / být pro někoho nudné,86,Por fin uso la palabra «la lata / dar (la) lata a algn» en una frase.,Včera večer řeknu „nuda / být pro někoho nudné“ a všichni rozumí.,ne
la bandera,vlajka,87,Casi nunca escribo «la bandera» en mi cuaderno.,Někdy používám slovo „vlajka“ ve větě.,ne
el chicle,žvýkačka,88,Ahora escucho la palabra «el chicle» en clase.,No používám slovo „žvýkačka“ ve větě.,ne
el bolso,kabelka,89,"Vale, digo «el bolso» y todos entienden.",Včera večer píšu „kabelka“ do sešitu.,ne
el bolso,kapsa,90,"Vale, recuerdo bien la palabra «el bolso».",Dnes ráno používám slovo „kapsa“ ve větě.,ne
la bolsa,taška,91,"Claro, recuerdo bien la palabra «la bolsa».","Poslouchej, dnes procvičuji slovo „taška“.",ne
la bolsa,brašna,92,Pues digo «la bolsa» y todos entienden.,"Tak, dnes procvičuji slovo „brašna“.",ne
la bolsa,burza,93,"Oye, recuerdo bien la palabra «la bolsa».","Víš, řeknu „burza“ a všichni rozumí.",ne
el saludo,pozdrav,94,A veces practico hoy la palabra «el saludo».,Dnes ráno dnes procvičuji slovo „pozdrav“.,ne
hola,ahoj,95,De repente digo «hola» y todos entienden.,Dnes ráno si dobře pamatuji slovo „ahoj“.,ne
hola,nazdar (při setkání),96,"Mira, practico hoy la palabra «hola».","Představ si, řeknu „nazdar (při setkání)“ a všichni rozumí.",ne
hola,vyjádření údivu ...,97,"Oye, digo «hola» y todos entienden.","Jasně, slyším slovo „vyjádření údivu ...“ ve třídě.",ne
inglés,angličtina,98,Entonces escribo «inglés» en mi cuaderno.,"Dobře, slyším slovo „angličtina“ ve třídě.",ne
el bolígrafo,pero na psaní,99,A veces uso la palabra «el bolígrafo» en una frase.,Dnes slyším slovo „pero na psaní“ ve třídě.,ne
la víctima,obět,100,"Vale, escucho la palabra «la víctima» en clase.","Poslouchej, slyším slovo „obět“ ve třídě.",ne
el fútbol,fotbal,101,"Bueno, escucho la palabra «el fútbol» en clase.",No řeknu „fotbal“ a všichni rozumí.,ne
el interés,zájem,102,Casi nunca practico hoy la palabra «el interés».,Teď řeknu „zájem“ a všichni rozumí.,ne
el pescado,ryba,103,"Claro, practico hoy la palabra «el pescado».","Představ si, slyším slovo „ryba“ ve třídě.",ne
el pescado,rybí maso,104,Hoy uso la palabra «el pescado» en una frase.,No dnes procvičuji slovo „rybí maso“.,ne
el helado,zmrzlina,105,"Mira, practico hoy la palabra «el helado».","Představ si, slyším slovo „zmrzlina“ ve třídě.",ne
el helado,zmrzlý,106,Siempre practico hoy la palabra «el helado».,Někdy píšu „zmrzlý“ do sešitu.,ne
el helado,chladný,107,Entonces escribo «el helado» en mi cuaderno.,Dnes píšu „chladný“ do sešitu.,ne
el helado,studený,108,"Vale, escucho la palabra «el helado» en clase.",No dnes procvičuji slovo „studený“.,ne
el helado,mražený,109,Por fin digo «el helado» y todos entienden.,Dnes slyším slovo „mražený“ ve třídě.,ne
la gracia,děkuji,110,Por fin recuerdo bien la palabra «la gracia».,"Poslouchej, píšu „děkuji“ do sešitu.",ne
la gracia,milost,111,"Mira, practico hoy la palabra «la gracia».",Najednou řeknu „milost“ a všichni rozumí.,ne
la gracia,půvab,112,Ahora practico hoy la palabra «la gracia».,Skoro nikdy řeknu „půvab“ a všichni rozumí.,ne
mucho,hodně,113,Siempre uso la palabra «mucho» en una frase.,"Víš, píšu „hodně“ do sešitu.",ne
mucho,velmi,114,"Bueno, practico hoy la palabra «mucho».","Řekni, píšu „velmi“ do sešitu.",ne
mucho,moc,115,Anoche recuerdo bien la palabra «mucho».,Včera večer si dobře pamatuji slovo „moc“.,ne
mucho,dloho,116,"Dime, escribo «mucho» en mi cuaderno.","Dobře, používám slovo „dloho“ ve větě.",ne
mucho,dlouhá doba,117,Esta mañana uso la palabra «mucho» en una frase.,No slyším slovo „dlouhá doba“ ve třídě.,ne
Mucho gusto. / Encantado / Encantada.,Těší mě. při představování,118,"Vale, uso la palabra «Mucho gusto. / Encantado / Encantada.» en una frase.","Představ si, používám slovo „Těší mě. při představování“ ve větě.",ne
Buenos días!,Dobrý den! pozdrav,119,Pues recuerdo bien la palabra «Buenos días!».,Skoro nikdy dnes procvičuji slovo „Dobrý den! pozdrav“.,ne
Buenas noches / tardes!,Dobrou noc!/Dobrý večer!,120,"Mira, digo «Buenas noches / tardes!» y todos entienden.",Teď řeknu „Dobrou noc!/Dobrý večer!“ a všichni rozumí.,ne
grande,velký,121,Entonces uso la palabra «grande» en una frase.,No dnes procvičuji slovo „velký“.,ne
grande,vysoký,122,"Claro, recuerdo bien la palabra «grande».",Najednou používám slovo „vysoký“ ve větě.,ne
grande,dospělý,123,"Dime, uso la palabra «grande» en una frase.",Vážně píšu „dospělý“ do sešitu.,ne
alto,vysoký,124,Ahora escribo «alto» en mi cuaderno.,Takže řeknu „vysoký“ a všichni rozumí.,ne
alto,vznešený,125,A veces practico hoy la palabra «alto».,Takže řeknu „vznešený“ a všichni rozumí.,ne
alto,nahlas,126,Esta mañana practico hoy la palabra «alto».,Dnes používám slovo „nahlas“ ve větě.,ne
alto,hlasitě,127,Por fin recuerdo bien la palabra «alto».,"Jasně, řeknu „hlasitě“ a všichni rozumí.",ne
bajo,malý,128,"Vale, uso la palabra «bajo» en una frase.",Takže používám slovo „malý“ ve větě.,ne
bajo,nízký,129,En serio recuerdo bien la palabra «bajo».,Konečně si dobře pamatuji slovo „nízký“.,ne
bajo,skloněný,130,Pues escribo «bajo» en mi cuaderno.,Konečně píšu „skloněný“ do sešitu.,ne
bajo,ubohý,131,Anoche escribo «bajo» en mi cuaderno.,"Jasně, slyším slovo „ubohý“ ve třídě.",ne
bajo,potichu,132,Hoy digo «bajo» y todos entienden.,Včera večer píšu „potichu“ do sešitu.,ne
el hombre,člověk,133,Pues recuerdo bien la palabra «el hombre».,Vždy píšu „člověk“ do sešitu.,ne
el hombre,muž,134,Esta mañana recuerdo bien la palabra «el hombre».,Konečně slyším slovo „muž“ ve třídě.,ne
el hombre,Člověče! Ty bláho!,135,"Imagínate, practico hoy la palabra «el hombre».","Tak, slyším slovo „Člověče! Ty bláho!“ ve třídě.",ne
El hombre propone y Dios dispone.,Člověk míní,136,Entonces recuerdo bien la palabra «El hombre propone y Dios dispone.».,Konečně píšu „Člověk míní“ do sešitu.,ne
El hombre propone y Dios dispone.,pánbůh mění.,137,Por fin recuerdo bien la palabra «El hombre propone y Dios dispone.».,Dnes ráno dnes procvičuji slovo „pánbůh mění.“.,ne
proponer (se),navrhnout (předsevzít si),138,Hoy recuerdo bien la palabra «proponer (se)».,"Představ si, slyším slovo „navrhnout (předsevzít si)“ ve třídě.",ne
disponer,rozhodnout,139,"Sabes, digo «disponer» y todos entienden.","Jasně, používám slovo „rozhodnout“ ve větě.",ne
disponer,nařídit,140,Casi nunca escribo «disponer» en mi cuaderno.,Včera večer řeknu „nařídit“ a všichni rozumí.,ne
disponer,uspořádat,141,Anoche digo «disponer» y todos entienden.,Vždy si dobře pamatuji slovo „uspořádat“.,ne
disponer,rozestavit,142,Esta mañana recuerdo bien la palabra «disponer».,"Dobře, si dobře pamatuji slovo „rozestavit“.",ne
disponer,přichystat,143,Pues escribo «disponer» en mi cuaderno.,Najednou dnes procvičuji slovo „přichystat“.,ne
yo,já,144,Esta mañana recuerdo bien la palabra «yo».,"Představ si, řeknu „já“ a všichni rozumí.",ne
yo que tú,já na tvém místě,145,"Sabes, digo «yo que tú» y todos entienden.","Dobře, dnes procvičuji slovo „já na tvém místě“.",ne
yo que tú,já být tebou,146,"Mira, digo «yo que tú» y todos entienden.","Hele, řeknu „já být tebou“ a všichni rozumí.",ne
tú,ty,147,"Sabes, escribo «tú» en mi cuaderno.",Konečně píšu „ty“ do sešitu.,ne
tú,tykat,148,"Vale, digo «tú» y todos entienden.",Vždy slyším slovo „tykat“ ve třídě.,ne
"vosotros, -tras",vy,149,"Bueno, practico hoy la palabra «vosotros, -tras».","Dobře, slyším slovo „vy“ ve třídě.",ne
"ellos, -llas",oni,150,"Por fin escribo «ellos, -llas» en mi cuaderno.",Vážně si dobře pamatuji slovo „oni“.,ne
"ellos, -llas",ony,151,"Mira, escribo «ellos, -llas» en mi cuaderno.",Někdy píšu „ony“ do sešitu.,ne
ella,ona,152,Casi nunca practico hoy la palabra «ella».,Včera večer si dobře pamatuji slovo „ona“.,ne
ello (eso),ono,153,"Mira, digo «ello (eso)» y todos entienden.","Dobře, řeknu „ono“ a všichni rozumí.",ne
ello (eso),to,154,"Imagínate, uso la palabra «ello (eso)» en una frase.","Víš, používám slovo „to“ ve větě.",ne
¡Vaya con Dios!,Bůh vás provázej!,155,"Claro, practico hoy la palabra «¡Vaya con Dios!».",Vždy slyším slovo „Bůh vás provázej!“ ve třídě.,ne
vaya,to je,156,En serio recuerdo bien la palabra «vaya».,Skoro nikdy si dobře pamatuji slovo „to je“.,ne
vaya,ale,157,"Sabes, recuerdo bien la palabra «vaya».",Někdy řeknu „ale“ a všichni rozumí.,ne
vaya,no tohle,158,"Sabes, practico hoy la palabra «vaya».","Tak, píšu „no tohle“ do sešitu.",ne
con,s,159,Ahora escribo «con» en mi cuaderno.,Konečně používám slovo „s“ ve větě.,ne
con,se,160,"Sabes, recuerdo bien la palabra «con».",Skoro nikdy používám slovo „se“ ve větě.,ne
con,v,161,Casi nunca escribo «con» en mi cuaderno.,Vždy používám slovo „v“ ve větě.,ne
con,za,162,A veces recuerdo bien la palabra «con».,"Tak, používám slovo „za“ ve větě.",ne
"habla con Lola, escribe con lápiz",mluví s Lolou,163,"Vale, escucho la palabra «habla con Lola, escribe con lápiz» en clase.","Dobře, používám slovo „mluví s Lolou“ ve větě.",ne
"habla con Lola, escribe con lápiz",píše tužkou,164,"Ahora uso la palabra «habla con Lola, escribe con lápiz» en una frase.",Dnes používám slovo „píše tužkou“ ve větě.,ne
"amigo, -ga",přítel (kyně),165,"Claro, escribo «amigo, -ga» en mi cuaderno.","Poslouchej, používám slovo „přítel (kyně)“ ve větě.",ne
"amigo, -ga",kamarád (ka),166,"Pues uso la palabra «amigo, -ga» en una frase.",Teď slyším slovo „kamarád (ka)“ ve třídě.,ne
¡Querido amigo!,Drahý příteli! v dopise,167,En serio escribo «¡Querido amigo!» en mi cuaderno.,"Jasně, si dobře pamatuji slovo „Drahý příteli! v dopise“.",ne
"querido, -da",chtěný,168,"Hoy escucho la palabra «querido, -da» en clase.",Dnes používám slovo „chtěný“ ve větě.,ne
"querido, -da",milovaný,169,"A veces recuerdo bien la palabra «querido, -da».","Poslouchej, píšu „milovaný“ do sešitu.",ne
"querido, -da",drahoušek,170,"Imagínate, uso la palabra «querido, -da» en una frase.",Teď slyším slovo „drahoušek“ ve třídě.,ne
"querido, -da",zlatíčko,171,"De repente escucho la palabra «querido, -da» en clase.","Dobře, řeknu „zlatíčko“ a všichni rozumí.",ne
adiós,rozloučení,172,"Mira, uso la palabra «adiós» en una frase.",Najednou používám slovo „rozloučení“ ve větě.,ne
adiós,nashledanou,173,Anoche practico hoy la palabra «adiós».,"Tak, slyším slovo „nashledanou“ ve třídě.",ne
adiós,ahoj,174,"Oye, escribo «adiós» en mi cuaderno.","Dobře, používám slovo „ahoj“ ve větě.",ne
¡Hasta la vista! (luego),Na viděnou,175,De repente recuerdo bien la palabra «¡Hasta la vista! (luego)».,Skoro nikdy slyším slovo „Na viděnou“ ve třídě.,ne
¡Hasta la vista! (luego),na shledanou.,176,"Dime, uso la palabra «¡Hasta la vista! (luego)» en una frase.",Konečně používám slovo „na shledanou.“ ve větě.,ne
luego,pak,177,A veces uso la palabra «luego» en una frase.,"Tak, si dobře pamatuji slovo „pak“.",ne
luego,potom,178,"Vale, uso la palabra «luego» en una frase.","Víš, píšu „potom“ do sešitu.",ne
la vista / la visión,zrak,179,"Imagínate, escribo «la vista / la visión» en mi cuaderno.","Poslouchej, si dobře pamatuji slovo „zrak“.",ne
la vista / la visión,pohled,180,Anoche practico hoy la palabra «la vista / la visión».,Někdy slyším slovo „pohled“ ve třídě.,ne
la vista / la visión,vidění / zrak,181,Entonces escucho la palabra «la vista / la visión» en clase.,Někdy řeknu „vidění / zrak“ a všichni rozumí.,ne
hasta,až do,182,En serio recuerdo bien la palabra «hasta».,Najednou píšu „až do“ do sešitu.,ne
hasta,dokonce,183,"Sabes, digo «hasta» y todos entienden.",No píšu „dokonce“ do sešitu.,ne
hasta,za chvíli,184,"Oye, uso la palabra «hasta» en una frase.",Včera večer řeknu „za chvíli“ a všichni rozumí.,ne
hasta,ahoj příště,185,Siempre uso la palabra «hasta» en una frase.,Konečně slyším slovo „ahoj příště“ ve třídě.,ne
Hasta mañana.,nashledanou zítra,186,"Dime, digo «Hasta mañana.» y todos entienden.",Konečně slyším slovo „nashledanou zítra“ ve třídě.,ne
el mañana / la mañana / pasado mañana,zítra,187,"Claro, escribo «el mañana / la mañana / pasado mañana» en mi cuaderno.","Tak, používám slovo „zítra“ ve větě.",ne
el mañana / la mañana / pasado mañana,zítřek / ráno,188,"Mira, escribo «el mañana / la mañana / pasado mañana» en mi cuaderno.","Poslouchej, píšu „zítřek / ráno“ do sešitu.",ne
el mañana / la mañana / pasado mañana,jitro / pozítří,189,"Sabes, escribo «el mañana / la mañana / pasado mañana» en mi cuaderno.","Řekni, používám slovo „jitro / pozítří“ ve větě.",ne
nada (de nada),nic,190,"Oye, escucho la palabra «nada (de nada)» en clase.",Skoro nikdy píšu „nic“ do sešitu.,ne
nada (de nada),vůbec ne (není zač),191,"Imagínate, digo «nada (de nada)» y todos entienden.",Najednou slyším slovo „vůbec ne (není zač)“ ve třídě.,ne
Yo soy,Já jsem ...,192,Siempre digo «Yo soy» y todos entienden.,"Tak, dnes procvičuji slovo „Já jsem ...“.",ne
"gato, -ta",kocour,193,"Vale, escucho la palabra «gato, -ta» en clase.",Skoro nikdy si dobře pamatuji slovo „kocour“.,ne
"gato, -ta",kočka,194,"Imagínate, practico hoy la palabra «gato, -ta».","Jasně, řeknu „kočka“ a všichni rozumí.",ne
"perro, -rra",pes,195,"Casi nunca uso la palabra «perro, -rra» en una frase.","Dobře, si dobře pamatuji slovo „pes“.",ne
"perro, -rra",fena,196,"En serio uso la palabra «perro, -rra» en una frase.","Hele, píšu „fena“ do sešitu.",ne
"zorro, -rra",lišák,197,"Siempre escucho la palabra «zorro, -rra» en clase.","Představ si, dnes procvičuji slovo „lišák“.",ne
"zorro, -rra",liška,198,"De repente uso la palabra «zorro, -rra» en una frase.",Dnes dnes procvičuji slovo „liška“.,ne
"zorro, -rra",mazaný,199,"Siempre escucho la palabra «zorro, -rra» en clase.",Vždy si dobře pamatuji slovo „mazaný“.,ne
la cabra,koza,200,"Bueno, practico hoy la palabra «la cabra».",Někdy řeknu „koza“ a všichni rozumí.,ne
"cerdo, -da",prase,201,"Imagínate, escribo «cerdo, -da» en mi cuaderno.",Teď si dobře pamatuji slovo „prase“.,ne
"cerdo, -da",čuně,202,"Por fin escucho la palabra «cerdo, -da» en clase.","Jasně, používám slovo „čuně“ ve větě.",ne
"cerdo, -da",špinavý,203,"Esta mañana escucho la palabra «cerdo, -da» en clase.",Konečně slyším slovo „špinavý“ ve třídě.,ne
"cerdo, -da",sprosťák,204,"Dime, digo «cerdo, -da» y todos entienden.",Najednou používám slovo „sprosťák“ ve větě.,ne
"cerdo, -da",hrubý,205,"Oye, practico hoy la palabra «cerdo, -da».",Konečně si dobře pamatuji slovo „hrubý“.,ne
la vaca,kráva,206,"Claro, escribo «la vaca» en mi cuaderno.",Teď slyším slovo „kráva“ ve třídě.,ne
la vaca,hovězí maso,207,"Sabes, escucho la palabra «la vaca» en clase.","Hele, píšu „hovězí maso“ do sešitu.",ne
"el ratón, la ratona (casera)",myš (domácí),208,"Dime, escucho la palabra «el ratón, la ratona (casera)» en clase.","Představ si, slyším slovo „myš (domácí)“ ve třídě.",ne
la gallina / el gallo,slepice,209,"Vale, digo «la gallina / el gallo» y todos entienden.",Skoro nikdy slyším slovo „slepice“ ve třídě.,ne
