OKRUH,CZ,FR,IT,ES,EN
Zvířata,Želvá,Tortue,Tartaruga,Tortuga,Turtle
Zvířata,Myš,Souris,Topo,Ratón,Mouse
Zvířata,Potkan,Rat,Ratto,Rata,Rat
Zelenina a ovoce,Jablko,Pomme,Mela,Manzana,Apple
Zelenina a ovoce,Hruška,Poire,Pera,Pera,Pear
Zelenina a ovoce,Banán,Banane,Banana,Plátano,Banana
Zelenina a ovoce,Pomeranč,Orange,Arancia,Naranja,Orange
Zelenina a ovoce,Citron,Citron,Limone,Limón,Lemon
Zelenina a ovoce,Jahoda,Fraise,Fragola,Fresa,Strawberry
Zelenina a ovoce,Třešně,Cerise,Ciliegia,Cereza,Cherry
Zelenina a ovoce,Hrozny,Raisin,Uva,Uva,Grapes
Zelenina a ovoce,Meloun,Melon,Melone,Melón,Melon
Zelenina a ovoce,Broskev,Pêche,Pesca,Melocotón,Peach
Zelenina a ovoce,Švestka,Prune,Prugna,Ciruela,Plum
Zelenina a ovoce,Ananas,Ananas,Ananas,Piña,Pineapple
Zelenina a ovoce,Mango,Mangue,Mango,Mango,Mango
Zelenina a ovoce,Avokádo,Avocat,Avocado,Aguacate,Avocado
Zelenina a ovoce,Rajče,Tomate,Pomodoro,Tomate,Tomato
Zelenina a ovoce,Okurka,Concombre,Cetriolo,Pepino,Cucumber
Zelenina a ovoce,Mrkev,Carotte,Carota,Zanahoria,Carrot
Zelenina a ovoce,Brambor,Pomme de terre,Patata,Patata,Potato
Zelenina a ovoce,Cibule,Oignon,Cipolla,Cebolla,Onion
Zelenina a ovoce,Česnek,Ail,Aglio,Ajo,Garlic
Zelenina a ovoce,Paprika,Poivron,Peperone,Pimiento,Bell pepper
Zelenina a ovoce,Špenát,Épinards,Spinaci,Espinaca,Spinach
Zelenina a ovoce,Hlávkový salát,Laitue,Lattuga,Lechuga,Lettuce
Zelenina a ovoce,Zelí,Chou,Cavolo,Col,Cabbage
Zelenina a ovoce,Brokolice,Brocoli,Broccoli,Brócoli,Broccoli
Zelenina a ovoce,Květák,Chou-fleur,Cavolfiore,Coliflor,Cauliflower
Zelenina a ovoce,Hrášek,Petits pois,Piselli,Guisantes,Peas
Zelenina a ovoce,Fazole,Haricots,Fagioli,Judías,Beans
Zelenina a ovoce,Kukuřice,Maïs,Mais,Maíz,Corn
Zelenina a ovoce,Dýně,Citrouille,Zucca,Calabaza,Pumpkin
Ptáci,Vrabec,Moineau,Passero,Gorrión,Sparrow
Ptáci,Kos,Merle,Merlo,Mirlo,Blackbird
Ptáci,Vlaštovka,Hirondelle,Rondine,Golondrina,Swallow
Ptáci,Holub,Pigeon,Piccione,Paloma,Pigeon
Ptáci,Sova,Hibou,Gufo,Búho,Owl
Ptáci,Orel,Aigle,Aquila,Águila,Eagle
Ptáci,Jestřáb,Faucon,Falco,Halcón,Hawk
Ptáci,Čáp,Cigogne,Cicogna,Cigüeña,Stork
Ptáci,Labuť,Cygne,Cigno,Cisne,Swan
Ptáci,Kachna,Canard,Anatra,Pato,Duck
Ptáci,Husa,Oie,Oca,Ganso,Goose
Ptáci,Krocan,Dindon,Tacchino,Pavo,Turkey
Ptáci,Páv,Paon,Pavone,Pavo real,Peacock
Ptáci,Papoušek,Perroquet,Pappagallo,Loro,Parrot
Ptáci,Plameňák,Flamant,Fenicottero,Flamenco,Flamingo
Ptáci,Tučňák,Manchot,Pinguino,Pingüino,Penguin
Ptáci,Pštros,Autruche,Struzzo,Avestruz,Ostrich
Ptáci,Pelikán,Pélican,Pellicano,Pelícano,Pelican
Ptáci,Čáp bílý,Cigogne blanche,Cicogna bianca,Cigüeña blanca,White stork
Ptáci,Kulík,Vanneau,Pavoncella,Avefría,Lapwing
Ptáci,Datel,Pic,Picchio,Pájaro carpintero,Woodpecker
Ptáci,Kukačka,Coucou,Cuculo,Cucú,Cuckoo
Ptáci,Skřivan,Alouette,Allodola,Alondra,Lark
Ptáci,Slavík,Rossignol,Usignolo,Ruiseñor,Nightingale
Ptáci,Konipas,Bergeronnette,Ballerina,Lavandera,Wagtail
Ptáci,Čížek,Chardonneret,Cardellino,Jilguero,Goldfinch
Ptáci,Sýkora,Mésange,Cinciallegra,Carbonero,Tit
Ptáci,Pěnkava,Pinson,Fringuello,Pinzón,Finch
Ptáci,Špačci,Étourneau,Storno,Estornino,Starling
Ptáci,Vrána,Corneille,Cornacchia,Corneja,Crow
Rostliny,Růže,Rose,Rosa,Rosa,Rose
Rostliny,Tulipán,Tulipe,Tulipano,Tulipán,Tulip
Rostliny,Slunečnice,Tournesol,Girasole,Girasol,Sunflower
Rostliny,Sedmikráska,Marguerite,Margherita,Margarita,Daisy
Rostliny,Pampeliška,Pissenlit,Tarassaco,Diente de león,Dandelion
Rostliny,Kopřiva,Ortie,Ortica,Ortiga,Nettle
Rostliny,Fialka,Violette,Violetta,Violeta,Violet
Rostliny,Levandule,Lavande,Lavanda,Lavanda,Lavender
Rostliny,Máta,Menthe,Menta,Menta,Mint
Rostliny,Bazalka,Basilic,Basilico,Albahaca,Basil
Rostliny,Rozmarýn,Romarin,Rosmarino,Romero,Rosemary
Rostliny,Tymián,Thym,Timo,Tomillo,Thyme
Rostliny,Dub,Chêne,Quercia,Roble,Oak
Rostliny,Bříza,Bouleau,Betulla,Abedul,Birch
Rostliny,Borovice,Pin,Pino,Pino,Pine
Rostliny,Smrk,Épicéa,Abete,Abeto,Spruce
Rostliny,Lípa,Tilleul,Tiglio,Tilo,Linden
Rostliny,Jasan,Frêne,Frassino,Fresno,Ash
Rostliny,Javor,Érable,Acero,Arce,Maple
Rostliny,Topol,Peuplier,Pioppo,Álamo,Poplar
Rostliny,Bambus,Bambou,Bambù,Bambú,Bamboo
Rostliny,Kaktus,Cactus,Cactus,Cactus,Cactus
Rostliny,Palma,Palmier,Palma,Palma,Palm tree
Rostliny,Kapradí,Fougère,Felce,Helecho,Fern
Rostliny,Mech,Mousse,Muschio,Musgo,Moss
Rostliny,Trávník,Gazon,Prato,Césped,Lawn
Rostliny,Ostružiník,Ronce,Rovo,Zarza,Blackberry bush
Rostliny,Bez černý,Sureau,Sambuco,Saúco,Elder
Rostliny,Šípkový keř,Églantier,Rosa canina,Rosal silvestre,Wild rose
Rostliny,Přeslička,Prêle,Equiseto,Cola de caballo,Horsetail
