CZ,FR,IT,ES,EN
zebra,zèbre,zebra,cebra,zebra
opice,singe,scimmia,mono,monkey
medvěd,ours,orso,oso,bear
vlk,loup,lupo,lobo,wolf
liška,renard,volpe,zorro,fox
jelen,cerf,cervo,ciervo,deer
zajíc,lièvre,lepre,liebre,hare
delfín,dauphin,delfino,delfín,dolphin
velryba,baleine,balena,ballena,whale
žralok,requin,squalo,tiburón,shark
had,serpent,serpente,serpiente,snake
krokodýl,crocodile,coccodrillo,cocodrilo,crocodile
želva,tortue,tartaruga,tortuga,turtle
jablko,pomme,mela,manzana,apple
hruška,poire,pera,pera,pear
banán,banane,banana,plátano,banana
pomeranč,orange,arancia,naranja,orange
mandarinka,mandarine,mandarino,mandarina,mandarin
citron,citron,limone,limón,lemon
jahoda,fraise,fragola,fresa,strawberry
malina,framboise,lampone,frambuesa,raspberry
borůvka,myrtille,mirtillo,arándano,blueberry
hrozny,raisin,uva,uvas,grapes
třešeň,cerise,ciliegia,cereza,cherry
švestka,prune,prugna,ciruela,plum
broskev,pêche,pesca,melocotón,peach
meruňka,abricot,albicocca,albaricoque,apricot
ananas,ananas,ananas,piña,pineapple
meloun,pastèque,anguria,sandía,watermelon
kiwi,kiwi,kiwi,kiwi,kiwi
mango,mangue,mango,mango,mango
rajče,tomate,pomodoro,tomate,tomato
okurka,concombre,cetriolo,pepino,cucumber
mrkev,carotte,carota,zanahoria,carrot
brambora,pomme de terre,patata,patata,potato
cibule,oignon,cipolla,cebolla,onion
česnek,ail,aglio,ajo,garlic
paprika,poivron,peperone,pimiento,bell pepper
salát,laitue,lattuga,lechuga,lettuce
zelí,chou,cavolo,col,cabbage
květák,chou-fleur,cavolfiore,coliflor,cauliflower
brokolice,brocoli,broccolo,brócoli,broccoli
hrášek,petits pois,piselli,guisantes,peas
vrabec,moineau,passero,gorrión,sparrow
holub,pigeon,piccione,paloma,pigeon
vlaštovka,hirondelle,rondine,golondrina,swallow
čáp,cigogne,cicogna,cigüeña,stork
racek,mouette,gabbiano,gaviota,seagull
labuť,cygne,cigno,cisne,swan
orel,aigle,aquila,águila,eagle
sokol,faucon,falco,halcón,falcon
jestřáb,épervier,sparviero,gavilán,hawk
sova,hibou,gufo,búho,owl
datel,pic,picchio,pájaro carpintero,woodpecker
kos,merle,merlo,mirlo,blackbird
drozd,grive,tordo,zorzal,thrush
slavík,rossignol,usignolo,ruiseñor,nightingale
kukačka,coucou,cuculo,cuco,cuckoo
kavka,choucas,taccola,grajilla,jackdaw
vrána,corneille,cornacchia,corneja,crow
havran,corbeau,corvo,cuervo,raven
straka,pie,gazza,urraca,magpie
sojka,geai,ghiandaia,arrendajo,jay
krkavec,grand corbeau,corvo imperiale,cuervo común,common raven
káně,buse,poiana,busardo,buzzard
bažant,faisan,fagiano,faisán,pheasant
křepelka,caille,quaglia,codorniz,quail
koroptev,perdrix,pernice,perdiz,partridge
kachna,canard,anatra,pato,duck
husa,oie,oca,ganso,goose
kohout,coq,gallo,gallo,rooster
páv,paon,pavone,pavo real,peacock
tučňák,manchot,pinguino,pingüino,penguin
dub,chêne,quercia,roble,oak
buk,hêtre,faggio,haya,beech
bříza,bouleau,betulla,abedul,birch
javor,érable,acero,arce,maple
lípa,tilleul,tiglio,tilo,linden
smrk,épicéa,abete rosso,abeto,spruce
borovice,pin,pino,pino,pine
jedle,sapin,abete,abeto,fir
modřín,mélèze,larice,larice,larch
vrba,saule,salice,sauce,willow
topol,peuplier,pioppo,álamo,poplar
kaštan,châtaignier,castagno,castaño,chestnut tree
akát,acacia,acacia,acacia,acacia
olše,aulne,ontano,aliso,alder
habr,charme,carpino,carpe,hornbeam
jeřáb,sorbier,sorbo,serbal,rowan
jalovec,genévrier,ginepro,enebro,juniper
růže,rose,rosa,rosa,rose
tulipán,tulipe,tulipano,tulipán,tulip
slunečnice,tournesol,girasole,girasol,sunflower
pampeliška,pissenlit,tarassaco,diente de león,dandelion
kopřiva,ortie,ortica,ortiga,nettle
heřmánek,camomille,camomilla,manzanilla,chamomile
levandule,lavande,lavanda,lavanda,lavender
máta,menthe,menta,menta,mint
bazalka,basilic,basilico,albahaca,basil
petržel,persil,prezzemolo,perejil,parsley
pšenice,blé,grano,trigo,wheat
kukuřice,maïs,mais,maíz,corn
kapradina,fougère,felce,helecho,fern
