CZ,FR,IT,ES,EN
Kůň,Cheval,Cavallo,Caballo,Horse
Kráva,Vache,Mucca,Vaca,Cow
Prase,Cochon,Maiale,Cerdo,Pig
Ovce,Mouton,Pecora,Oveja,Sheep
Koza,Chèvre,Capra,Cabra,Goat
Slepice,Poule,Gallina,Gallina,Chicken
Kachna,Canard,Anatra,Pato,Duck
Husa,Oie,Oca,Ganso,Goose
Králík,Lapin,Coniglio,Conejo,Rabbit
Myš,Souris,Topo,Ratón,Mouse
Krysa,Rat,Ratto,Rata,Rat
Lev,Lion,Leone,León,Lion
Tygr,Tigre,Tigre,Tigre,Tiger
Slon,Éléphant,Elefante,Elefante,Elephant
Žirafa,Girafe,Giraffa,Jirafa,Giraffe
Zebra,Zèbre,Zebra,Cebra,Zebra
Opice,Singe,Scimmia,Mono,Monkey
Medvěd,Ours,Orso,Oso,Bear
Vlk,Loup,Lupo,Lobo,Wolf
Liška,Renard,Volpe,Zorro,Fox
Jelen,Cerf,Cervo,Ciervo,Deer
Zajíc,Lièvre,Lepre,Liebre,Hare
Delfín,Dauphin,Delfino,Delfín,Dolphin
Velryba,Baleine,Balena,Ballena,Whale
Žralok,Requin,Squalo,Tiburón,Shark
Had,Serpent,Serpente,Serpiente,Snake
Krokodýl,Crocodile,Coccodrillo,Cocodrilo,Crocodile
Želva,Tortue,Tartaruga,Tortuga,Turtle
Jablko,Pomme,Mela,Manzana,Apple
Hruška,Poire,Pera,Pera,Pear
Banán,Banane,Banana,Plátano,Banana
Pomeranč,Orange,Arancia,Naranja,Orange
Mandarinka,Mandarine,Mandarino,Mandarina,Mandarin
Citron,Citron,Limone,Limón,Lemon
Jahoda,Fraise,Fragola,Fresa,Strawberry
Malina,Framboise,Lampone,Frambuesa,Raspberry
Borůvka,Myrtille,Mirtillo,Arándano,Blueberry
Hrozny,Raisin,Uva,Uvas,Grapes
Třešeň,Cerise,Ciliegia,Cereza,Cherry
Švestka,Prune,Prugna,Ciruela,Plum
Broskev,Pêche,Pesca,Melocotón,Peach
Meruňka,Abricot,Albicocca,Albaricoque,Apricot
Ananas,Ananas,Ananas,Piña,Pineapple
Meloun,Pastèque,Anguria,Sandía,Watermelon
Kiwi,Kiwi,Kiwi,Kiwi,Kiwi
Mango,Mangue,Mango,Mango,Mango
Rajče,Tomate,Pomodoro,Tomate,Tomato
Okurka,Concombre,Cetriolo,Pepino,Cucumber
Mrkev,Carotte,Carota,Zanahoria,Carrot
Brambora,Pomme de terre,Patata,Patata,Potato
Cibule,Oignon,Cipolla,Cebolla,Onion
Česnek,Ail,Aglio,Ajo,Garlic
Paprika,Poivron,Peperone,Pimiento,Bell pepper
Salát,Laitue,Lattuga,Lechuga,Lettuce
Zelí,Chou,Cavolo,Col,Cabbage
Květák,Chou-fleur,Cavolfiore,Coliflor,Cauliflower
Brokolice,Brocoli,Broccolo,Brócoli,Broccoli
Hrášek,Petits pois,Piselli,Guisantes,Peas
Vrabec,Moineau,Passero,Gorrión,Sparrow
Holub,Pigeon,Piccione,Paloma,Pigeon
Vlaštovka,Hirondelle,Rondine,Golondrina,Swallow
Čáp,Cigogne,Cicogna,Cigüeña,Stork
Racek,Mouette,Gabbiano,Gaviota,Seagull
Labuť,Cygne,Cigno,Cisne,Swan
Orel,Aigle,Aquila,Águila,Eagle
Sokol,Faucon,Falco,Halcón,Falcon
Jestřáb,Épervier,Sparviero,Gavilán,Hawk
Sova,Hibou,Gufo,Búho,Owl
Datel,Pic,Picchio,Pájaro carpintero,Woodpecker
Kos,Merle,Merlo,Mirlo,Blackbird
Drozd,Grive,Tordo,Zorzal,Thrush
Slavík,Rossignol,Usignolo,Ruiseñor,Nightingale
Kukačka,Coucou,Cuculo,Cuco,Cuckoo
Kavka,Choucas,Taccola,Grajilla,Jackdaw
Vrána,Corneille,Cornacchia,Corneja,Crow
Havran,Corbeau,Corvo,Cuervo,Raven
Straka,Pie,Gazza,Urraca,Magpie
Sojka,Geai,Ghiandaia,Arrendajo,Jay
Krkavec,Grand corbeau,Corvo imperiale,Cuervo común,Common raven
Káně,Buse,Poiana,Busardo,Buzzard
Bažant,Faisan,Fagiano,Faisán,Pheasant
Křepelka,Caille,Quaglia,Codorniz,Quail
Koroptev,Perdrix,Pernice,Perdiz,Partridge
Kachna,Canard,Anatra,Pato,Duck
Husa,Oie,Oca,Ganso,Goose
Kohout,Coq,Gallo,Gallo,Rooster
Páv,Paon,Pavone,Pavo real,Peacock
Tučňák,Manchot,Pinguino,Pingüino,Penguin
Dub,Chêne,Quercia,Roble,Oak
Buk,Hêtre,Faggio,Haya,Beech
Bříza,Bouleau,Betulla,Abedul,Birch
Javor,Érable,Acero,Arce,Maple
Lípa,Tilleul,Tiglio,Tilo,Linden
Smrk,Épicéa,Abete rosso,Abeto,Spruce
Borovice,Pin,Pino,Pino,Pine
Jedle,Sapin,Abete,Abeto,Fir
Modřín,Mélèze,Larice,Larice,Larch
Vrba,Saule,Salice,Sauce,Willow
Topol,Peuplier,Pioppo,Álamo,Poplar
Kaštan,Châtaignier,Castagno,Castaño,Chestnut tree
Akát,Acacia,Acacia,Acacia,Acacia
Olše,Aulne,Ontano,Aliso,Alder
Habr,Charme,Carpino,Carpe,Hornbeam
Jeřáb,Sorbier,Sorbo,Serbal,Rowan
Jalovec,Genévrier,Ginepro,Enebro,Juniper
Růže,Rose,Rosa,Rosa,Rose
Tulipán,Tulipe,Tulipano,Tulipán,Tulip
Slunečnice,Tournesol,Girasole,Girasol,Sunflower
Pampeliška,Pissenlit,Tarassaco,Diente de león,Dandelion
Kopřiva,Ortie,Ortica,Ortiga,Nettle
Heřmánek,Camomille,Camomilla,Manzanilla,Chamomile
Levandule,Lavande,Lavanda,Lavanda,Lavender
Máta,Menthe,Menta,Menta,Mint
Bazalka,Basilic,Basilico,Albahaca,Basil
Petržel,Persil,Prezzemolo,Perejil,Parsley
Pšenice,Blé,Grano,Trigo,Wheat
Kukuřice,Maïs,Mais,Maíz,Corn
Kapradina,Fougère,Felce,Helecho,Fern
