CZ,FR,IT,ES,EN
Kůň,Cheval,Cavallo,Caballo,Horse
Kráva,Vache,Mucca,Vaca,Cow
Prase,Cochon,Maiale,Cerdo,Pig
Lev,Lion,Leone,León,Lion
Tygr,Tigre,Tigre,Tigre,Tiger
Slon,Éléphant,Elefante,Elefante,Elephant
Medvěd,Ours,Orso,Oso,Bear
Vlk,Loup,Lupo,Lobo,Wolf
Liška,Renard,Volpe,Zorro,Fox
Zajíc,Lièvre,Lepre,Liebre,Hare
Myš,Souris,Topo,Ratón,Mouse
Žirafa,Girafe,Giraffa,Jirafa,Giraffe
Opice,Singe,Scimmia,Mono,Monkey
Had,Serpent,Serpente,Serpiente,Snake
Želva,Tortue,Tartaruga,Tortuga,Turtle
Ryba,Poisson,Pesce,Pez,Fish
Žralok,Requin,Squalo,Tiburón,Shark
Velryba,Baleine,Balena,Ballena,Whale
Ovce,Mouton,Pecora,Oveja,Sheep
Krysa,Rat,Ratto,Rata,Rat
Jelen,Cerf,Cervo,Ciervo,Deer
Veverka,Écureuil,Scoiattolo,Ardilla,Squirrel
Králík,Lapin,Coniglio,Conejo,Rabbit
Osel,Âne,Asino,Burro,Donkey
Velbloud,Chameau,Cammello,Camello,Camel
Klokan,Kangourou,Canguro,Canguro,Kangaroo
Netopýr,Chauve-souris,Pipistrello,Murciélago,Bat
Pavouk,Araignée,Ragno,Araña,Spider
Jablko,Pomme,Mela,Manzana,Apple
Hruška,Poire,Pera,Pera,Pear
Banan,Banane,Banana,Plátano,Banana
Pomeranč,Orange,Arancia,Naranja,Orange
Jahoda,Fraise,Fragola,Fresa,Strawberry
Brambora,Pomme de terre,Patata,Patata,Potato
Rajče,Tomate,Pomodoro,Tomate,Tomato
Mrkev,Carotte,Carota,Zanahoria,Carrot
Cibule,Oignon,Cipolla,Cebolla,Onion
Česnek,Ail,Aglio,Ajo,Garlic
Okurka,Concombre,Cetriolo,Pepino,Cucumber
Paprika,Poivron,Peperone,Pimiento,Pepper
Brokolice,Brocoli,Broccoli,Brócoli,Broccoli
Květák,Chou-fleur,Cavolfiore,Coliflor,Cauliflower
Zelí,Chou,Cavolo,Col,Cabbage
Salát,Laitue,Lattuga,Lechuga,Lettuce
Hrášek,Petit pois,Pisello,Guisante,Pea
Kukuřice,Maïs,Mais,Maíz,Corn
Lilek,Aubergine,Melanzana,Berenjena,Eggplant
Cuketa,Courgette,Zucchina,Calabacín,Zucchini
Celer,Céleri,Sedano,Apio,Celery
Špenát,Épinard,Spinaci,Espinaca,Spinach
Hrozny,Raisin,Uva,Uva,Grapes
Meloun,Pastèque,Anguria,Sandía,Watermelon
Citron,Citron,Limone,Limón,Lemon
Broskev,Pêche,Pesca,Melocotón,Peach
Meruňka,Abricot,Albicocca,Albaricoque,Apricot
Třešeň,Cerise,Ciliegia,Cerezo,Cherry
Švestka,Prune,Prugna,Ciruela,Plum
Malina,Framboise,Lampone,Frambuesa,Raspberry
Borůvka,Myrtille,Mirtillo,Arándano,Blueberry
Orel,Aigle,Aquila,Águila,Eagle
Sokol,Faucon,Falco,Halcón,Falcon
Sova,Hibou,Gufo,Búho,Owl
Vrabec,Moineau,Passero,Gorrión,Sparrow
Kos,Merle,Merlo,Mirlo,Blackbird
Vlaštovka,Hirondelle,Rondine,Golondrina,Swallow
Čáp,Cigogne,Cicogna,Cigüeña,Stork
Labuť,Cygne,Cigno,Cisne,Swan
Kachna,Canard,Anatra,Pato,Duck
Husa,Oie,Oca,Ganso,Goose
Slepice,Poule,Gallina,Gallina,Hen
Kohout,Coq,Gallo,Gallo,Rooster
Papoušek,Perroquet,Pappagallo,Loro,Parrot
Tučňák,Manchot,Pinguino,Pingüino,Penguin
Pštros,Autruche,Struzzo,Avestruz,Ostrich
Holub,Pigeon,Piccione,Paloma,Pigeon
Vrána,Corneille,Cornacchia,Cuervo,Crow
Havran,Corbeau,Corvo,Cuervo,Raven
Datel,Pic vert,Picchio,Pájaro carpintero,Woodpecker
Sýkora,Mésange,Cinciallegra,Carbonero,Tit
Slavík,Rossignol,Usignolo,Ruiseñor,Nightingale
Ledňáček,Martin-pêcheur,Martin pescatore,Martín pescador,Kingfisher
Racek,Goéland,Gabbiano,Gaviota,Gull
Pelikán,Pélican,Pellicano,Pelícano,Pelican
Plameňák,Flamant rose,Fenicottero,Flamenco,Flamingo
Krkavec,Grand corbeau,Corvo imperiale,Cuervo,Raven
Kukačka,Coucou,Cuculo,Cuco,Cuckoo
Bažant,Faisan,Fagiano,Faisán,Pheasant
Páv,Paon,Pavone,Pavo real,Peacock
Káně,Buse,Poiana,Busardo,Buzzard
Sup,Vautour,Avvoltoio,Buitre,Vulture
Růže,Rose,Rosa,Rosa,Rose
Tulipán,Tulipe,Tulipano,Tulipán,Tulip
Sedmikráska,Marguerite,Margherita,Margarita,Daisy
Slunečnice,Tournesol,Girasole,Girasol,Sunflower
Levandule,Lavande,Lavanda,Lavanda,Lavender
Dub,Chêne,Quercia,Roble,Oak
Buk,Hêtre,Faggio,Haya,Beech
Bříza,Bouleau,Betulla,Abedul,Birch
Lípa,Tilleul,Tiglio,Tilo,Linden
Smrk,Épicéa,Abete rosso,Pícea,Spruce
Jedle,Sapin,Abete,Abeto,Fir
Borovice,Pin,Pino,Pino,Pine
Modřín,Mélèze,Larice,Alerce,Larch
Tráva,Herbe,Erba,Hierba,Grass
Mech,Mousse,Muschio,Musgo,Moss
Kapradí,Fougère,Felce,Helecho,Fern
Kopřiva,Ortie,Ortica,Ortiga,Nettle
Pampeliška,Pissenlit,Dente di leone,Diente de león,Dandelion
Heřmánek,Camomille,Camomilla,Manzanilla,Chamomile
Mák,Coquelicot,Papavero,Amapola,Poppy
Narcis,Narcisse,Narciso,Narciso,Daffodil
Orchidej,Orchidée,Orchidea,Orquídea,Orchid
Lilie,Lys,Giglio,Lirio,Lily
Fialka,Violette,Viola,Violeta,Violet
Jasmín,Jasmin,Gelsomino,Jazmín,Jasmine
Kaktus,Cactus,Cactus,Cactus,Cactus
Rákos,Roseau,Canna,Caña,Reed
Ostružiník,Ronce,Rovo,Zarza,Bramble
Javor,Érable,Acero,Arce,Maple
Olše,Aulne,Ontano,Aliso,Alder
Vrba,Saule,Salice,Sauce,Willow
