Id,InfFR,Tense,Number,Person,Pronoun,Form,Sentence,SentenceT
v006-14,aller,present,P,2,vous,allez,Vous allez à la poste.,Vy jdete na poštu.
v006-15,aller,present,P,2,vous,allez,Vous allez au musée.,Vy jdete do muzea.
v006-16,aller,present,P,3,ils,vont,Ils vont à l'hôpital.,Oni jdou do nemocnice.
v006-17,aller,present,P,3,elles,vont,Elles vont à la boulangerie.,Ony jdou do pekárny.
v006-18,aller,present,P,3,ils,vont,Ils vont au zoo.,Oni jdou do zoo.
v007-01,voir,present,S,1,je,vois,Je vois un chat.,Já vidím kočku.
v007-02,voir,present,S,1,je,vois,Je vois un chien.,Já vidím psa.
v007-03,voir,present,S,1,je,vois,Je vois un oiseau.,Já vidím ptáka.
v007-04,voir,present,S,2,tu,vois,Tu vois la mer.,Ty vidíš moře.
v007-05,voir,present,S,2,tu,vois,Tu vois une montagne.,Ty vidíš horu.
v007-06,voir,present,S,2,tu,vois,Tu vois un bateau.,Ty vidíš loď.
v007-07,voir,present,S,3,il,voit,Il voit une voiture rouge.,On vidí červené auto.
v007-08,voir,present,S,3,elle,voit,Elle voit un vélo bleu.,Ona vidí modré kolo.
v007-09,voir,present,S,3,il,voit,Il voit un grand arbre.,On vidí velký strom.
v007-10,voir,present,P,1,nous,voyons,Nous voyons le soleil.,My vidíme slunce.
v007-11,voir,present,P,1,nous,voyons,Nous voyons la lune.,My vidíme měsíc.
v007-12,voir,present,P,1,nous,voyons,Nous voyons les étoiles.,My vidíme hvězdy.
v007-13,voir,present,P,2,vous,voyez,Vous voyez un pont.,Vy vidíte most.
v007-14,voir,present,P,2,vous,voyez,Vous voyez une rivière.,Vy vidíte řeku.
v007-15,voir,present,P,2,vous,voyez,Vous voyez une petite maison.,Vy vidíte malý dům.
v007-16,voir,present,P,3,ils,voient,Ils voient un train.,Oni vidí vlak.
v007-17,voir,present,P,3,elles,voient,Elles voient un avion.,Ony vidí letadlo.
v007-18,voir,present,P,3,ils,voient,Ils voient des fleurs.,Oni vidí květiny.
v008-01,vouloir,present,S,1,je,veux,Je veux un café.,Já chci kávu.
v008-02,vouloir,present,S,1,je,veux,Je veux un thé.,Já chci čaj.
v008-03,vouloir,present,S,1,je,veux,Je veux un verre d'eau.,Já chci sklenici vody.
v008-04,vouloir,present,S,2,tu,veux,Tu veux du pain.,Ty chceš chleba.
v008-05,vouloir,present,S,2,tu,veux,Tu veux une pomme.,Ty chceš jablko.
v008-06,vouloir,present,S,2,tu,veux,Tu veux une soupe.,Ty chceš polévku.
v008-07,vouloir,present,S,3,il,veut,Il veut un billet.,On chce lístek.
v008-08,vouloir,present,S,3,elle,veut,Elle veut une chambre.,Ona chce pokoj.
v008-09,vouloir,present,S,3,il,veut,Il veut une table.,On chce stůl.
v008-10,vouloir,present,P,1,nous,voulons,Nous voulons lire un livre.,My chceme číst knihu.
v008-11,vouloir,present,P,1,nous,voulons,Nous voulons voir la mer.,My chceme vidět moře.
v008-12,vouloir,present,P,1,nous,voulons,Nous voulons apprendre le français.,My chceme učit se francouzsky.
v008-13,vouloir,present,P,2,vous,voulez,Vous voulez jouer au tennis.,Vy chcete hrát tenis.
v008-14,vouloir,present,P,2,vous,voulez,Vous voulez rester ici.,Vy chcete zůstat tady.
v008-15,vouloir,present,P,2,vous,voulez,Vous voulez partir maintenant.,Vy chcete odejít teď.
v008-16,vouloir,present,P,3,ils,veulent,Ils veulent acheter une voiture.,Oni chtějí koupit auto.
v008-17,vouloir,present,P,3,elles,veulent,Elles veulent manger une pizza.,Ony chtějí jíst pizzu.
v008-18,vouloir,present,P,3,ils,veulent,Ils veulent faire une pause.,Oni chtějí udělat si přestávku.
v009-01,venir,present,S,1,je,viens,Je viens de l'école.,Já přicházím ze školy.
v009-02,venir,present,S,1,je,viens,Je viens du travail.,Já přicházím z práce.
v009-03,venir,present,S,1,je,viens,Je viens du jardin.,Já přicházím ze zahrady.
v009-04,venir,present,S,2,tu,viens,Tu viens du parc.,Ty přicházíš z parku.
v009-05,venir,present,S,2,tu,viens,Tu viens de la gare.,Ty přicházíš z nádraží.
v009-06,venir,present,S,2,tu,viens,Tu viens du magasin.,Ty přicházíš z obchodu.
v009-07,venir,present,S,3,il,vient,Il vient du marché.,On přichází z trhu.
v009-08,venir,present,S,3,elle,vient,Elle vient de la plage.,Ona přichází z pláže.
v009-09,venir,present,S,3,il,vient,Il vient du restaurant.,On přichází z restaurace.
v009-10,venir,present,P,1,nous,venons,Nous venons du cinéma.,My přicházíme z kina.
v009-11,venir,present,P,1,nous,venons,Nous venons du musée.,My přicházíme z muzea.
v009-12,venir,present,P,1,nous,venons,Nous venons de la poste.,My přicházíme z pošty.
v009-13,venir,present,P,2,vous,venez,Vous venez à pied.,Vy přicházíte pěšky.
v009-14,venir,present,P,2,vous,venez,Vous venez à midi.,Vy přicházíte v poledne.
v009-15,venir,present,P,2,vous,venez,Vous venez à huit heures.,Vy přicházíte v osm hodin.
v009-16,venir,present,P,3,ils,viennent,Ils viennent avec un ami.,Oni přicházejí s kamarádem.
v009-17,venir,present,P,3,elles,viennent,Elles viennent avec les enfants.,Ony přicházejí s dětmi.
v009-18,venir,present,P,3,ils,viennent,Ils viennent en avance.,Oni přicházejí s předstihem.
v010-01,devoir,present,S,1,je,dois,Je dois partir.,Já musím odejít.
v010-02,devoir,present,S,1,je,dois,Je dois travailler.,Já musím pracovat.
v010-03,devoir,present,S,1,je,dois,Je dois attendre.,Já musím čekat.
v010-04,devoir,present,S,2,tu,dois,Tu dois ouvrir la porte.,Ty musíš otevřít dveře.
v010-05,devoir,present,S,2,tu,dois,Tu dois fermer la fenêtre.,Ty musíš zavřít okno.
v010-06,devoir,present,S,2,tu,dois,Tu dois acheter du pain.,Ty musíš koupit chleba.
v010-07,devoir,present,S,3,il,doit,Il doit écrire une lettre.,On musí napsat dopis.
v010-08,devoir,present,S,3,elle,doit,Elle doit lire ce livre.,Ona musí přečíst tuto knihu.
v010-09,devoir,present,S,3,il,doit,Il doit faire le ménage.,On musí uklidit.
v010-10,devoir,present,P,1,nous,devons,Nous devons prendre le train.,My musíme jet vlakem.
v010-11,devoir,present,P,1,nous,devons,Nous devons appeler le médecin.,My musíme zavolat lékaři.
v010-12,devoir,present,P,1,nous,devons,Nous devons boire de l'eau.,My musíme pít vodu.
v010-13,devoir,present,P,2,vous,devez,Vous devez écouter le professeur.,Vy musíte poslouchat učitele.
v010-14,devoir,present,P,2,vous,devez,Vous devez rester ici.,Vy musíte zůstat tady.
v010-15,devoir,present,P,2,vous,devez,Vous devez finir ce travail.,Vy musíte dokončit tuto práci.
v010-16,devoir,present,P,3,ils,doivent,Ils doivent préparer le repas.,Oni musí připravit jídlo.
v010-17,devoir,present,P,3,elles,doivent,Elles doivent aider les enfants.,Ony musí pomoci dětem.
v010-18,devoir,present,P,3,ils,doivent,Ils doivent parler doucement.,Oni musí mluvit tiše.
v011-01,prendre,present,S,1,je,prends,Je prends un livre.,Já beru knihu.
v011-02,prendre,present,S,1,je,prends,Je prends un stylo.,Já beru pero.
v011-03,prendre,present,S,1,je,prends,Je prends une feuille.,Já beru list papíru.
v011-04,prendre,present,S,2,tu,prends,Tu prends une tasse.,Ty bereš šálek.
v011-05,prendre,present,S,2,tu,prends,Tu prends un verre.,Ty bereš sklenici.
v011-06,prendre,present,S,2,tu,prends,Tu prends une assiette.,Ty bereš talíř.
v011-07,prendre,present,S,3,il,prend,Il prend une pomme.,On bere jablko.
v011-08,prendre,present,S,3,elle,prend,Elle prend une banane.,Ona bere banán.
v011-09,prendre,present,S,3,il,prend,Il prend un morceau de pain.,On bere kousek chleba.
v011-10,prendre,present,P,1,nous,prenons,Nous prenons un sac.,My bereme tašku.
v011-11,prendre,present,P,1,nous,prenons,Nous prenons une valise.,My bereme kufr.
v011-12,prendre,present,P,1,nous,prenons,Nous prenons un parapluie.,My bereme deštník.
v011-13,prendre,present,P,2,vous,prenez,Vous prenez une chaise.,Vy berete židli.
v011-14,prendre,present,P,2,vous,prenez,Vous prenez une couverture.,Vy berete deku.
v011-15,prendre,present,P,2,vous,prenez,Vous prenez un pull.,Vy berete svetr.
v011-16,prendre,present,P,3,ils,prennent,Ils prennent une clé.,Oni berou klíč.
v011-17,prendre,present,P,3,elles,prennent,Elles prennent une carte.,Ony berou mapu.
v011-18,prendre,present,P,3,ils,prennent,Ils prennent un billet.,Oni berou lístek.
v012-01,trouver,present,S,1,je,trouve,Je trouve une clé.,Já nacházím klíč.
v012-02,trouver,present,S,1,je,trouve,Je trouve un livre.,Já nacházím knihu.
v012-03,trouver,present,S,1,je,trouve,Je trouve une pièce.,Já nacházím minci.
v012-04,trouver,present,S,2,tu,trouves,Tu trouves un sac.,Ty nacházíš tašku.
v012-05,trouver,present,S,2,tu,trouves,Tu trouves un stylo.,Ty nacházíš pero.
v012-06,trouver,present,S,2,tu,trouves,Tu trouves un téléphone.,Ty nacházíš telefon.
v012-07,trouver,present,S,3,il,trouve,Il trouve une place.,On nachází místo.
v012-08,trouver,present,S,3,elle,trouve,Elle trouve une chambre.,Ona nachází pokoj.
v012-09,trouver,present,S,3,il,trouve,Il trouve un hôtel.,On nachází hotel.
v012-10,trouver,present,P,1,nous,trouvons,Nous trouvons une solution.,My nacházíme řešení.
v012-11,trouver,present,P,1,nous,trouvons,Nous trouvons une réponse.,My nacházíme odpověď.
v012-12,trouver,present,P,1,nous,trouvons,Nous trouvons une idée.,My nacházíme nápad.
v012-13,trouver,present,P,2,vous,trouvez,Vous trouvez un chemin.,Vy nacházíte cestu.
v012-14,trouver,present,P,2,vous,trouvez,Vous trouvez une petite rue.,Vy nacházíte malou ulici.
v012-15,trouver,present,P,2,vous,trouvez,Vous trouvez un café.,Vy nacházíte kavárnu.
v012-16,trouver,present,P,3,ils,trouvent,Ils trouvent un travail.,Oni nacházejí práci.
v012-17,trouver,present,P,3,elles,trouvent,Elles trouvent une photo.,Ony nacházejí fotografii.
v012-18,trouver,present,P,3,ils,trouvent,Ils trouvent une lettre.,Oni nacházejí dopis.
v013-01,donner,present,S,1,je,donne,Je donne du pain aux oiseaux.,Já dávám chleba ptákům.
v013-02,donner,present,S,1,je,donne,Je donne de l'eau au chien.,Já dávám vodu psovi.
v013-03,donner,present,S,1,je,donne,Je donne du lait au chat.,Já dávám mléko kočce.
v013-04,donner,present,S,2,tu,donnes,Tu donnes un livre à Paul.,Ty dáváš knihu Paulovi.
v013-05,donner,present,S,2,tu,donnes,Tu donnes une fleur à Marie.,Ty dáváš květinu Marii.
v013-06,donner,present,S,2,tu,donnes,Tu donnes une pomme à Luc.,Ty dáváš jablko Lucovi.
v013-07,donner,present,S,3,il,donne,Il donne un cadeau à un ami.,On dává dárek kamarádovi.
v013-08,donner,present,S,3,elle,donne,Elle donne un jouet au bébé.,Ona dává hračku miminku.
v013-09,donner,present,S,3,il,donne,Il donne un crayon à une fille.,On dává pastelku holčičce.
v013-10,donner,present,P,1,nous,donnons,Nous donnons du pain aux oiseaux.,My dáváme chleba ptákům.
v013-11,donner,present,P,1,nous,donnons,Nous donnons de l'eau au chien.,My dáváme vodu psovi.
v013-12,donner,present,P,1,nous,donnons,Nous donnons du lait au chat.,My dáváme mléko kočce.
v013-13,donner,present,P,2,vous,donnez,Vous donnez un livre à Paul.,Vy dáváte knihu Paulovi.
v013-14,donner,present,P,2,vous,donnez,Vous donnez une fleur à Marie.,Vy dáváte květinu Marii.
v013-15,donner,present,P,2,vous,donnez,Vous donnez une pomme à Luc.,Vy dáváte jablko Lucovi.
v013-16,donner,present,P,3,ils,donnent,Ils donnent un cadeau à un ami.,Oni dávají dárek kamarádovi.
v013-17,donner,present,P,3,elles,donnent,Elles donnent un jouet au bébé.,Ony dávají hračku miminku.
v013-18,donner,present,P,3,ils,donnent,Ils donnent un crayon à une fille.,Oni dávají pastelku holčičce.
v014-01,falloir,present,S,3,il,faut,Il faut du pain.,Je potřeba chleba.
v014-02,falloir,present,S,3,il,faut,Il faut de l'eau.,Je potřeba voda.
v014-03,falloir,present,S,3,il,faut,Il faut du lait.,Je potřeba mléko.
v014-04,falloir,present,S,3,il,faut,Il faut une clé.,Je potřeba klíč.
v014-05,falloir,present,S,3,il,faut,Il faut un stylo.,Je potřeba pero.
v014-06,falloir,present,S,3,il,faut,Il faut une chaise.,Je potřeba židle.
v014-07,falloir,present,S,3,il,faut,Il faut du temps.,Je potřeba čas.
v014-08,falloir,present,S,3,il,faut,Il faut une table.,Je potřeba stůl.
v014-09,falloir,present,S,3,il,faut,Il faut un billet.,Je potřeba lístek.
v014-10,falloir,present,S,3,il,faut,Il faut attendre.,Je třeba počkat.
v014-11,falloir,present,S,3,il,faut,Il faut partir.,Je třeba odejít.
v014-12,falloir,present,S,3,il,faut,Il faut écouter.,Je třeba poslouchat.
v014-13,falloir,present,S,3,il,faut,Il faut ouvrir la porte.,Je třeba otevřít dveře.
v014-14,falloir,present,S,3,il,faut,Il faut fermer la fenêtre.,Je třeba zavřít okno.
v014-15,falloir,present,S,3,il,faut,Il faut acheter du pain.,Je třeba koupit chleba.
v014-16,falloir,present,S,3,il,faut,Il faut boire de l'eau.,Je třeba pít vodu.
v014-17,falloir,present,S,3,il,faut,Il faut lire la lettre.,Je třeba přečíst dopis.
v014-18,falloir,present,S,3,il,faut,Il faut aider les enfants.,Je třeba pomoci dětem.
v015-01,parler,present,S,1,je,parle,Je parle français.,Já mluvím francouzsky.
v015-02,parler,present,S,1,je,parle,Je parle italien.,Já mluvím italsky.
v015-03,parler,present,S,1,je,parle,Je parle anglais.,Já mluvím anglicky.
v015-04,parler,present,S,2,tu,parles,Tu parles allemand.,Ty mluvíš německy.
v015-05,parler,present,S,2,tu,parles,Tu parles espagnol.,Ty mluvíš španělsky.
v015-06,parler,present,S,2,tu,parles,Tu parles tchèque.,Ty mluvíš česky.
v015-07,parler,present,S,3,il,parle,Il parle avec Paul.,On mluví s Paulem.
v015-08,parler,present,S,3,elle,parle,Elle parle avec Marie.,Ona mluví s Marií.
v015-09,parler,present,S,3,il,parle,Il parle avec le médecin.,On mluví s lékařem.
v015-10,parler,present,P,1,nous,parlons,Nous parlons avec un ami.,My mluvíme s kamarádem.
v015-11,parler,present,P,1,nous,parlons,Nous parlons avec une voisine.,My mluvíme se sousedkou.
v015-12,parler,present,P,1,nous,parlons,Nous parlons avec les enfants.,My mluvíme s dětmi.
v015-13,parler,present,P,2,vous,parlez,Vous parlez de la famille.,Vy mluvíte o rodině.
v015-14,parler,present,P,2,vous,parlez,Vous parlez du travail.,Vy mluvíte o práci.
v015-15,parler,present,P,2,vous,parlez,Vous parlez des vacances.,Vy mluvíte o dovolené.
v015-16,parler,present,P,3,ils,parlent,Ils parlent lentement.,Oni mluví pomalu.
v015-17,parler,present,P,3,elles,parlent,Elles parlent doucement.,Ony mluví tiše.
v015-18,parler,present,P,3,ils,parlent,Ils parlent au téléphone.,Oni mluví po telefonu.
v016-01,mettre,present,S,1,je,mets,Je mets le livre sur la table.,Já dávám knihu na stůl.
v016-02,mettre,present,S,1,je,mets,Je mets la clé dans le sac.,Já dávám klíč do tašky.
v016-03,mettre,present,S,1,je,mets,Je mets le lait au frigo.,Já dávám mléko do lednice.
v016-04,mettre,present,S,2,tu,mets,Tu mets le pain sur une assiette.,Ty dáváš chleba na talíř.
v016-05,mettre,present,S,2,tu,mets,Tu mets les fleurs dans un vase.,Ty dáváš květiny do vázy.
v016-06,mettre,present,S,2,tu,mets,Tu mets le stylo dans la boîte.,Ty dáváš pero do krabice.
v016-07,mettre,present,S,3,il,met,Il met le sac sous la chaise.,On dává tašku pod židli.
v016-08,mettre,present,S,3,elle,met,Elle met la tasse sur la table.,Ona dává šálek na stůl.
v016-09,mettre,present,S,3,il,met,Il met la lettre dans une enveloppe.,On dává dopis do obálky.
v016-10,mettre,present,P,1,nous,mettons,Nous mettons le livre sur la table.,My dáváme knihu na stůl.
v016-11,mettre,present,P,1,nous,mettons,Nous mettons la clé dans le sac.,My dáváme klíč do tašky.
v016-12,mettre,present,P,1,nous,mettons,Nous mettons le lait au frigo.,My dáváme mléko do lednice.
v016-13,mettre,present,P,2,vous,mettez,Vous mettez le pain sur une assiette.,Vy dáváte chleba na talíř.
v016-14,mettre,present,P,2,vous,mettez,Vous mettez les fleurs dans un vase.,Vy dáváte květiny do vázy.
v016-15,mettre,present,P,2,vous,mettez,Vous mettez le stylo dans la boîte.,Vy dáváte pero do krabice.
v016-16,mettre,present,P,3,ils,mettent,Ils mettent le sac sous la chaise.,Oni dávají tašku pod židli.
v016-17,mettre,present,P,3,elles,mettent,Elles mettent la tasse sur la table.,Ony dávají šálek na stůl.
v016-18,mettre,present,P,3,ils,mettent,Ils mettent la lettre dans une enveloppe.,Oni dávají dopis do obálky.
v017-01,savoir,present,S,1,je,sais,Je sais nager.,Já umím plavat.
v017-02,savoir,present,S,1,je,sais,Je sais lire.,Já umím číst.
v017-03,savoir,present,S,1,je,sais,Je sais écrire.,Já umím psát.
v017-04,savoir,present,S,2,tu,sais,Tu sais cuisiner.,Ty umíš vařit.
v017-05,savoir,present,S,2,tu,sais,Tu sais chanter.,Ty umíš zpívat.
v017-06,savoir,present,S,2,tu,sais,Tu sais danser.,Ty umíš tančit.
v017-07,savoir,present,S,3,il,sait,Il sait conduire.,On umí řídit.
v017-08,savoir,present,S,3,elle,sait,Elle sait compter.,Ona umí počítat.
v017-09,savoir,present,S,3,il,sait,Il sait dessiner.,On umí kreslit.
v017-10,savoir,present,P,1,nous,savons,Nous savons parler français.,My umíme mluvit francouzsky.
v017-11,savoir,present,P,1,nous,savons,Nous savons parler italien.,My umíme mluvit italsky.
v017-12,savoir,present,P,1,nous,savons,Nous savons parler anglais.,My umíme mluvit anglicky.
v017-13,savoir,present,P,2,vous,savez,Vous savez faire du vélo.,Vy umíte jezdit na kole.
v017-14,savoir,present,P,2,vous,savez,Vous savez jouer du piano.,Vy umíte hrát na klavír.
v017-15,savoir,present,P,2,vous,savez,Vous savez jouer de la guitare.,Vy umíte hrát na kytaru.
v017-16,savoir,present,P,3,ils,savent,Ils savent faire du pain.,Oni umějí péct chleba.
v017-17,savoir,present,P,3,elles,savent,Elles savent faire une omelette.,Ony umějí udělat omeletu.
v017-18,savoir,present,P,3,ils,savent,Ils savent ouvrir cette boîte.,Oni umějí otevřít tuto krabici.
v018-01,passer,present,S,1,je,passe,Je passe devant l'école.,Já procházím před školou.
v018-02,passer,present,S,1,je,passe,Je passe devant la gare.,Já procházím před nádražím.
v018-03,passer,present,S,1,je,passe,Je passe devant le magasin.,Já procházím před obchodem.
v018-04,passer,present,S,2,tu,passes,Tu passes devant la banque.,Ty procházíš před bankou.
v018-05,passer,present,S,2,tu,passes,Tu passes devant la poste.,Ty procházíš před poštou.
v018-06,passer,present,S,2,tu,passes,Tu passes devant le café.,Ty procházíš před kavárnou.
v018-07,passer,present,S,3,il,passe,Il passe par le parc.,On prochází parkem.
v018-08,passer,present,S,3,elle,passe,Elle passe par le jardin.,Ona prochází zahradou.
