FR,CZ,Order,Sentence,SentenceT,L,HT,gender_fr
je,já,42,"Je suis prêt pour l'examen, j'ai beaucoup révisé cette semaine.","Já jsem připravený na zkoušku, tento týden jsem hodně opakoval.",ne,ne,
tu,ty,43,"Tu peux fermer la fenêtre, s'il te plaît ?","Můžeš zavřít okno, prosím?",ne,ne,
il,on,44,Il travaille tard ce soir pour terminer un dossier important.,"On dnes večer pracuje dlouho, aby dokončil důležitý spis.",ne,ne,
elle,ona,45,Elle parle trois langues et apprend maintenant le portugais.,Ona mluví třemi jazyky a teď se učí portugalsky.,ne,ne,
vous,vy,46,Vous arrivez à quelle heure demain ?,V kolik zítra přijedete?,ne,ne,
nous,my,47,Nous allons au marché ensemble chaque samedi matin.,My chodíme společně na trh každou sobotu ráno.,ne,ne,
ils,oni,48,Ils jouent au football dans le parc après l'école.,Oni hrají po škole v parku fotbal.,ne,ne,
elles,ony,49,Elles préparent un exposé sur l'histoire de la photographie.,Ony připravují prezentaci o historii fotografie.,ne,ne,
mon,můj,50,Mon sac est près de la porte.,Moje taška je u dveří.,ne,ne,
ma,moje,51,Ma voiture est au garage aujourd'hui.,Moje auto je dnes v servisu.,ne,ne,
ton,tvůj,52,Ton téléphone est resté sur la table de la cuisine.,Tvůj telefon zůstal na kuchyňském stole.,ne,ne,
ta,tvá,53,Ta veste te va très bien.,Ta bunda ti velmi sluší.,ne,ne,
une,"ona, jedna",54,Une amie de Prague vient nous rendre visite ce week-end.,Jedna kamarádka z Prahy nás přijede o víkendu navštívit.,ne,ne,
un,"on, jeden",55,Un voisin m'a aidé à porter les courses jusqu'à l'ascenseur.,Jeden soused mi pomohl vynést nákup až k výtahu.,ne,ne,
grand-mère,babička,56,Ma grand-mère connaît beaucoup de chansons anciennes par cœur.,Moje babička zná zpaměti spoustu starých písní.,ne,ne,f
grand-père,dědeček,57,Mon grand-père aime jouer aux échecs avec ses amis.,Můj dědeček rád hraje šachy se svými přáteli.,ne,ne,m
très,velmi,58,Ce film est très touchant et la musique est magnifique.,Tento film je velmi dojemný a hudba je nádherná.,ne,ne,
amusante,zábavný,59,"Cette histoire est vraiment amusante, tout le monde rit.","Ten příběh je opravdu zábavný, všichni se smějí.",ne,ne,
intéressant,zajímavý,60,"Le sujet est intéressant, alors je vais lire encore davantage.","To téma je zajímavé, takže si o něm přečtu ještě víc.",ano,ne,
méchant,"zlý, protivný",61,"Ce voisin paraît méchant, mais en réalité il est timide.","Ten soused působí protivně, ale ve skutečnosti je stydlivý.",ne,ano,
je suis,já jsem,62,"Je suis un peu fatigué aujourd'hui, mais je reste motivé.","Dnes jsem trochu unavený, ale zůstávám motivovaný.",ne,ne,
tu es,ty jsi,63,"Tu es toujours ponctuel, c'est très agréable pour travailler ensemble.","Ty jsi vždy dochvilný, a to je pro společnou práci moc příjemné.",ne,ne,
sûr,jistý,64,Je ne suis pas sûr encore.,Ještě si nejsem jistý.,ne,ne,
bien sûr,samozřejmě,65,"Bien sûr, je peux t'aider à préparer la présentation.","Samozřejmě, můžu ti pomoci připravit prezentaci.",ne,ano,
toujours,"pořád, stále, vždy",66,Elle arrive toujours en avance aux rendez-vous importants.,Na důležité schůzky přichází vždycky dřív.,ne,ne,
pas du tout,vůbec,67,Ce n'est pas du tout difficile.,To není vůbec těžké.,ne,ano,
mais,ale,68,"Je voulais sortir, mais il a commencé à pleuvoir.","Chtěl jsem jít ven, ale začalo pršet.",ne,ne,
voyager,cestovat,69,Il voyage souvent pour le travail.,Často cestuje kvůli práci.,ne,ne,
seule,sám,70,Je suis seule à la maison.,Jsem sama doma.,ne,ano,
déjà,"již, už",71,J’ai déjà mangé.,Už jsem jedl.,ne,ano,
à l’heure,"včas, na čas",72,Le train est à l’heure.,Vlak jede na čas.,ne,ne,
cadeau,dárek,73,"Merci pour le cadeau, ça me fait vraiment plaisir.","Děkuju za dárek, mám z toho opravdu radost.",ne,ano,m
par,"skrz, přes",74,Je passe par le parc pour rentrer chez moi.,"Procházím přes park, abych se dostal domů.",ne,ne,
par,za jednotku,75,"Un café, c’est trois euros par personne.",Káva je tři eura na osobu.,ne,ne,
par,"od, kým",76,Ce livre est écrit par un auteur français.,Tuhle knihu napsal francouzský autor.,ne,ne,
près d’ici,blízko,77,"Il y a une boulangerie près d’ici, à deux minutes.","Je tu pekárna blízko odsud, dvě minuty.",ne,ne,
pull,svetr,78,"J’ai froid, je mets un pull.","Je mi zima, vezmu si svetr.",ne,ne,m
salut,ahoj,79,Salut ! Ça va ?,Ahoj! Jak se máš?,ne,ne,
d’accord,"dobře, jasně",80,"D’accord, on se retrouve à six heures devant la gare.","Dobře, sejdeme se v šest před nádražím.",ne,ne,
repas,jídlo,81,"Le repas est prêt, on peut manger.","Jídlo je hotové, můžeme jíst.",ne,ne,m
déjeuner,"obědvat, oběd",82,"On déjeune à midi, comme d’habitude.","Obědváme v poledne, jako obvykle.",ne,ne,
en général,"obecně, zpravidla, většinou",83,"En général, je me couche tôt pendant la semaine.",Obecně chodím ve všední dny spát brzy.,ne,ano,
parfois,někdy,84,Je viens parfois ici.,Chodím sem někdy.,ne,ano,
pause,přestávka,85,Il est toujours à l`heure pour la pause.,Je vždy včas na přestávce.,ano,ne,f
pendant,"během, po dobu",86,Je lis pendant dix minutes avant de dormir.,Čtu deset minut před spaním.,ne,ano,
marcher,"chodit, kráčet",87,"Je marche jusqu’à la gare, c’est près d’ici.","Jdu pěšky na nádraží, je to blízko odsud.",ne,ne,
marcher,fungovat,88,Mon téléphone ne marche plus.,Můj telefon už nefunguje.,ne,ne,
ensemble,"společně, dohromady",89,"On mange ensemble ce soir, d’accord ?","Dnes večer budeme jíst spolu, platí?",ne,ne,
prêt,připravený,90,"Je suis prêt, on peut partir maintenant.","Jsem připravený, můžeme teď vyrazit.",ne,ne,
rester,zůstat,91,Je reste à la maison parce qu’il fait trop froid dehors.,"Zůstanu doma, protože je venku moc zima.",ne,ne,
robe,"šaty, róba",92,Elle porte une robe bleue pour la fête.,Má na sobě modré šaty na oslavu.,ne,ne,f
chemise,košile,93,"Ma chemise est sale, je dois la laver.","Moje košile je špinavá, musím ji vyprat.",ne,ano,f
ceinture,pásek,94,"Cette ceinture est trop grande, je prends une autre taille.","Tenhle pásek je moc velký, vezmu jinou velikost.",ne,ano,f
excuse,omluva,95,"Je te présente mes excuses, je suis en retard.","Omlouvám se, jdu pozdě.",ne,ne,f
chercher,hledat,96,Je cherche une boulangerie près d’ici.,Hledám pekárnu někde poblíž.,ne,ne,
bleue,modrý,97,Elle porte une robe bleue aujourd’hui.,Dnes má na sobě modré šaty.,ne,ano,
noir,černý,98,"Je préfère le café noir, sans sucre.","Mám radši černou kávu, bez cukru.",ne,ne,
quartier,čtvrť,99,"J’habite dans un quartier calme, près d’ici.","Bydlím v klidné čtvrti, nedaleko odsud.",ne,ano,m
on y va,jdeme na to,100,On y va maintenant ?,Jdeme tam teď? / Vyrazíme teď?,ne,ano,
aujourd'hui,dnes,101,"Il fait beau aujourd’hui, on y va à pied.","Dnes je hezky, půjdeme tam pěšky.",ne,ne,
voisin,soused,102,"Mon voisin est gentil, mais il parle très fort.","Můj soused je hodný, ale mluví hodně nahlas.",ne,ne,m
clé,klíč,103,"Je cherche ma clé, je ne la trouve pas.","Hledám klíč, nemůžu ho najít.",ne,ne,f
viande,maso,104,Je ne mange pas de viande le soir.,Večer nejím maso.,ne,ano,f
coûter,stát,105,"Ça coûte combien, s’il vous plaît ?","Kolik to stojí, prosím?",ne,ano,
des,nějaký (neurčitý člen množného čísla),106,"Je voudrais des macarons au café, s’il vous plaît.","Chtěl bych kávové makronky, prosím.",ne,ne,
jouer,"hrát, hrát si",107,jouer au football; jouer à un jeu; jouer du piano,hrát fotbal; hrát hru; hrát na piano,ne,ano,
fête,oslava,108,"Ce soir, on fait une fête chez moi.",Dnes večer děláme oslavu u mě.,ne,ano,f
joli,"pěkný, hezký",109,"C’est un joli quartier, calme et propre.","Je to hezká čtvrť, klidná a čistá.",ne,ne,
content,spokojený,110,Je suis content de te voir aujourd’hui.,"Jsem rád, že tě dnes vidím.",ne,ano,
jardin,zahrada,111,On mange dans le jardin quand il fait beau.,"Když je hezky, jíme na zahradě.",ne,ano,m
combien,"kolik, jak moc",112,Combien de temps ça prend ?,Jak dlouho to trvá?,ne,ne,
amener,"přináší, přivádí",113,Il amène son ami.,Přivádí svého kamaráda.,ne,ano,
comment,"jak, jakým způsobem",114,Comment ça s’écrit ? Comment ça marche ?,Jak se to píše?  Jak to funguje?,ne,ano,
cinq,pět,115,Il y a cinq livres et quatre stylos sur la table.,Na stole je pět knih a čtyři pera.,ne,ano,
journée,den,116,Passe une bonne journée !,Měj hezký den!,ne,ano,f
chez,"u někoho, k někomu",117,"On mange chez moi ce soir, d’accord ?","Dnes večer jíme u mě doma, platí?",ne,ano,
cousin,bratranec,118,Mon cousin habite à Prague.,Můj bratranec bydlí v Praze.,ne,ano,m
pays,země,119,"Ce pays est beau, mais il fait souvent très chaud.","Tahle země je krásná, ale často je tam velké horko.",ne,ano,m
pourquoi,proč,120,Pourquoi tu es en retard aujourd’hui ?,Pourquoi tu es en retard aujourd’hui ?,ne,ano,
magnifique,nádherný,121,C’est un jardin magnifique.,To je nádherná zahrada.,ne,ano,
lourde,těžký,122,Cette valise est lourde.,Tenhle kufr je těžký.,ne,ano,
fatigué,unavený,123,Je suis fatigué aujourd’hui.,Dnes jsem unavený.,ne,ano,
boulangerie,pekárna,124,Il y a une boulangerie près d’ici.,Je tu pekařství nedaleko.,ne,ano,f
maison,dům,125,Je rentre à la maison ce soir.,Dnes večer jdu domů.,ne,ano,f
capitale,hlavní město,126,Paris est la capitale de la France.,Paříž je hlavní město Francie.,ne,ano,f
adorer,"zbožňovat, milovat",127,"J’adore ce quartier, il est calme et joli.","Zbožňuju tuhle čtvrť, je klidná a hezká.",ne,ne,
un peu,trochu,128,"Je parle français un peu, mais je veux progresser.","Mluvím francouzsky trochu, ale chci se zlepšit.",ne,ano,
homme,muž,129,L'homme attend son ami devant la gare.,Muž čeká na svého kamaráda před nádražím.,ne,ne,m
femme,žena,130,La femme lit un livre dans le train.,Žena čte knihu ve vlaku.,ne,ne,f
garçon,chlapec,131,Le garçon joue au ballon dans le jardin.,Chlapec si hraje s míčem na zahradě.,ne,ano,m
fille,dívka,132,La fille dessine près de la fenêtre.,Dívka kreslí u okna.,ne,ne,f
père,otec,133,Le père prépare le dîner ce soir.,Otec dnes večer připravuje večeři.,ne,ne,m
mère,matka,134,La mère travaille aujourd'hui à la maison.,Matka dnes pracuje doma.,ne,ne,f
frère,bratr,135,Mon frère arrive demain matin.,Můj bratr přijede zítra ráno.,ne,ne,m
soeur,sestra,136,Ma sœur adore la musique classique.,Moje sestra zbožňuje klasickou hudbu.,ne,ne,f
fils,syn,137,Le fils téléphone à ses parents chaque soir.,Syn telefonuje rodičům každý večer.,ne,ne,m
appartement,byt,138,L'appartement est petit mais lumineux.,"Byt je malý, ale světlý.",ne,ne,m
école,škola,139,L'école ouvre à huit heures.,Škola otevírá v osm hodin.,ne,ano,f
livre,kniha,140,Le livre est sur la table du salon.,Kniha je na stole v obýváku.,ne,ano,m
table,stůl,141,La table est déjà mise pour le déjeuner.,Stůl je už prostřený na oběd.,ne,ano,f
chaise,židle,142,La chaise est près de la porte.,Židle je u dveří.,ne,ano,f
voiture,auto,143,La voiture rouge est devant l'hôtel.,Červené auto je před hotelem.,ne,ano,f
train,vlak,144,Le train part dans dix minutes.,Vlak odjíždí za deset minut.,ne,ano,m
ville,město,145,La ville est très animée le soir.,Město je večer velmi živé.,ne,ano,f
hôtel,hotel,146,L'hôtel se trouve au centre-ville.,Hotel se nachází v centru města.,ne,ano,m
sac,taška,147,J’ai un sac noir.,Mám černou tašku.,ne,ano,m
bienvenue,vítejte,148,"Bienvenue chez nous ! Entrez, s’il vous plaît.","Vítejte u nás! Pojďte dál, prosím.",ne,ano,
couteau,nůž,149,"Attention, le couteau est sur la table.","Pozor, nůž je na stole.",ne,ano,m
sucre,cukr,150,"Je prends mon café sans sucre, merci.","Dám si kávu bez cukru, děkuju.",ne,ano,m
farine,mouka,151,J’ai acheté de la farine et du sucre à la boulangerie.,Koupil jsem mouku a cukr v pekárně.,ne,ano,f
placard,"skříňka, kredenc",152,"Les assiettes sont dans le placard, au-dessus de l’évier.",Talíře jsou ve skříňce nad dřezem.,ne,ano,m
cassée,"rozbitý, vyřízený",153,Je suis cassée après cette longue journée.,Jsem úplně vyřízená po tom dlouhém dni.,ne,ano,
verre,sklenice,154,"Le verre est sur la table, fais attention.","Sklenice je na stole, dávej pozor.",ne,ano,m
mince,"hubený, sakra",155,"Il est mince, mais il est très fort. Mince ! J’ai oublié mes clés.","Je hubený, ale je velmi silný. Sakra! Zapomněl jsem klíče.",ne,ano,
sale,špinavý,156,"Ma chemise est sale, je dois la laver.","Moje košile je špinavá, musím ji vyprat.",ne,ano,
tasse,hrnek,157,"Je voudrais une tasse de thé, s’il vous plaît.","Dal bych si šálek čaje, prosím.",ne,ano,f
laver,"mýt, prát",158,Je lave les mains avant de manger.,Myju si ruce před jídlem.,ne,ano,
collègue,"kolega, kolegyně",159,Ma collègue travaille dans le bureau d’à côté.,Moje kolegyně pracuje ve vedlejší kanceláři.,ne,ano,
chaud,"teplý, horký",160,Le café est encore chaud.,Káva je ještě horká.,ne,ano,
fourchette,vidlička,161,Je prends une fourchette et un couteau.,Beru si vidličku a nůž.,ne,ano,f
rien,nic,162,Je ne vois rien dans le sac.,V tašce nic nevidím.,ne,ano,
vouloir,chtít,163,Je veux vouloir mieux comprendre le français.,Chci chtít francouzštině lépe rozumět.,ne,ano,
arriver,"přijít, přijet",164,Les invités vont arriver dans une heure.,Hosté dorazí za hodinu.,ne,ano,
inviter,pozvat,165,Je vais inviter mes amis à dîner samedi.,V sobotu pozvu své přátele na večeři.,ne,ano,
invité,pozvaný host,166,Chaque invité reçoit un petit cadeau.,Každý pozvaný host dostane malý dárek.,ne,ano,m
serviette,"ubrousek, ručník",167,"Peux-tu me donner une serviette, s’il te plaît ?","Můžeš mi dát ubrousek, prosím?",ne,ano,f
appétit,chuť,168,"Aujourd’hui, je n’ai pas beaucoup d’appétit.",Dnes nemám moc chuť k jídlu.,ne,ano,m
en espèces,v hotovosti,169,Vous pouvez payer par carte ou en espèces.,Můžete zaplatit kartou nebo v hotovosti.,ne,ano,
peut-être,možná,170,Je vais peut-être acheter ce livre.,Možná si koupím tu knihu.,ne,ano,
quoi,co,171,Tu veux quoi pour le dîner ?,Co chceš k večeři?,ne,ano,
anniversaire,"narozeniny, výročí",172,C’est mon anniversaire aujourd’hui.,Dnes mám narozeniny.,ne,ano,m
vélo,kolo,173,Je vais au travail à vélo.,Jezdím do práce na kole.,ne,ano,m
beau,"hezký, krásný",174,Il fait beau aujourd’hui.,Dnes je hezky.,ne,ano,
belle,krásná,175,une belle maison,krásný dům / hezký dům,ne,ano,
juste,"jen, právě, správný",176,Ta réponse est juste. J’arrive juste à temps.,Tvoje odpověď je správná. Přijdu právě včas.,ne,ano,
nouveau,nový,177,J’ai acheté un nouveau livre. Une nouvelle maison.,Koupil jsem novou knihu. Nový dům.,ne,ano,
vouloir,chtít,178,Tu veux venir avec nous ?,Chceš jít s námi?,ne,ano,
eau,voda,179,Il faut boire beaucoup d’eau.,Je třeba pít hodně vody.,ne,ano,f
"neuf, neuve","devět, nový",180,J’ai neuf livres. J’ai acheté un manteau neuf.,Mám devět knih. Koupil jsem si nový kabát.,ne,ano,
heure,hodina,181,À quelle heure arrives-tu ?,V kolik hodin přijdeš?,ne,ano,f
vraiment,"opravdu, skutečně",182,C’est vraiment beau.,To je opravdu krásné.,ne,ano,
que,že,183,Je pense que tu as raison. Je crois qu’il vient.,"Myslím, že máš pravdu. Myslím, že přijde.",ne,ano,
perdu,ztracený,184,Nous sommes perdus dans la forêt.,Jsme ztracení v lese.,ne,ano,
je ne sais pas,nevím,185,Je ne sais pas quoi faire.,"Nevím, co dělat.",ne,ano,
préparer,"připravit, připravovat",186,Nous préparons une fête pour son anniversaire.,Připravujeme oslavu k jeho narozeninám.,ne,ano,
pressé,"spěchající, ve spěchu",187,Je suis pressé ce matin.,Dnes ráno spěchám.,ne,ano,
glace,"zmrzlina, led, sklo",188,Il y a de la glace sur la route.,Na silnici je led.,ne,ano,f
autre,"jiný, další",189,Je veux un autre café.,Chci další kávu.,ne,ano,
métier,"povolání, řemeslo",190,Quel est ton métier?,Jaké je tvoje povolání?,ne,ano,m
docteur,"doktor, lékař",191,Je dois parler au docteur.,Musím mluvit s doktorem.,ne,ano,m
hôpital,nemocnice,192,Il travaille dans un hôpital.,Pracuje v nemocnici.,ne,ano,m
avocat,advokát,193,Mon frère est avocat.,Můj bratr je advokát.,ne,ano,m
avocat,avokádo,194,Je mange un avocat avec du pain.,Jím avokádo s chlebem.,ne,ano,m
joyeux,"veselý, radostný",195,Joyeux anniversaire!,Všechno nejlepší k narozeninám!,ne,ano,
quelqu’un,někdo,196,Quelqu’un frappe à la porte.,Někdo klepe na dveře.,ne,ano,
Brésil,Brazílie,197,Le Brésil est un très grand pays.,Brazílie je velmi velká země.,ne,ano,m
bonne soirée,hezký večer,198,Je te souhaite une bonne soirée.,Přeji ti hezký večer.,ne,ano,
bonne journée,hezký den,199,Bonne journée et à demain!,Hezký den a zítra na shledanou!,ne,ano,
ingénieur,inženýr,200,Mon frère est ingénieur.,Můj bratr je inženýr.,ne,ano,
à plus tard,"později, uvidíme se později",201,On se téléphone à plus tard.,Zavoláme si později.,ne,ano,
travail,práce,202,J’ai beaucoup de travail aujourd’hui.,Dnes mám hodně práce.,ne,ano,m
légume,zelenina,203,La tomate est un légume? Je mange de légumes.,Rajče je zelenina? Jím zeleninu.,ne,ano,m
dîner,večeře,204,Nous prenons le dîner à huit heures.,Večeříme v osm hodin.,ne,ano,m
dîner,večeřet,205,Ils dînent au restaurant ce soir.,Dnes večer večeří v restauraci.,ne,ano,
supermarché,supermarket,206,Le supermarché est près de la gare.,Supermarket je blízko nádraží.,ne,ano,m
lit,postel,207,Le chat dort sur le lit.,Kočka spí na posteli.,ne,ne,m
nuit,noc,208,La nuit est calme.,Noc je klidná.,ne,ne,f
demain,zítra,209,Je viens demain.,Přijdu zítra.,ne,ne,
chinois,čínský; Číňan; čínština,210,Il parle chinois.,Mluví čínsky / čínštinou.,ne,ne,m
plusieurs,"několik, více",211,J’ai plusieurs livres à la maison.,Mám doma několik knih.,ne,ne,
langue,jazyk,212,Le français est une belle langue.,Francouzština je krásný jazyk.,ne,ne,f
