FRP,CZP,ENP,PD,PE
serviette,"ubrousek, ručník",towelnapkin,"add, doplněno do json",ne
appétit,chuť,appetite,"add, doplněno do json",ne
en espèces,v hotovosti,incash,"add, doplněno do json",ne
peut-être,možná,maybe,"add, doplněno do json",ne
quoi,co,what,,ano
anniversaire,"narozeniny, výročí",cake2,,ano
vélo,kolo,bike,,ano
beau,"krásný, hezký",beautiful,,ano
belle,krásná,beautiful,,ano
juste,"jen, právě, správný",just,"add, doplněno do json",ne
nouveau,nový,new,,ano
vouloir,chtít,want,add,ne
eau,voda,water,,ano
"neuf, neuve","devět, nový",ninenew,"add, doplněno do json",ne
heure,hodina,clock,,ano
vraiment,"opravdu, skutečně",really,"add, doplněno do json",ne
que,že,that,"add, doplněno do json",ne
perdu,ztracený,lost,"add, doplněno do json",ne
je ne sais pas,nevím,idontknow,"add, doplněno do json",ne
préparer,"připravit, připravovat",prepare,"add, doplněno do json",ne
pressé,"spěchající, ve spěchu",inhurry,"add, doplněno do json",ne
glace,"zmrzlina, led, sklo",iceglass,"add, doplněno do json",ne
autre,"jiný, další",other,"add, doplněno do json",ne
métier,"povolání, řemeslo",jobtrade,"add, doplněno do json",ne
docteur,"doktor, lékař",doctor,"add, doplněno do json",ne
hôpital,nemocnice,hospital,"add, doplněno do json",ne
avocat,advokát,lawyer,"add, doplněno do json",ne
avocat,avokádo,avocado,"add, doplněno do json",ne
joyeux,"veselý, radostný",joyful,"add, doplněno do json",ne
quelqu’un,někdo,someone,"add, doplněno do json",ne
Brésil,Brazílie,brazil,"add, doplněno do json",ne
bonne soirée,hezký večer,niceevening,"add, doplněno do json",ne
bonne journée,hezký den,goodday,"add, doplněno do json",ne
ingénieur,inženýr,engineer,"add, doplněno do json",ne
à plus tard,"později, uvidíme se později",seeyoulater,"add, doplněno do json",ne
travail,práce,labour,"add, doplněno do json",ne
