FR,CZ,Order,Sentence,SentenceT,L,HT,gender_fr
escuses,omluva,96,"Je te présente mes excuses, je suis en retard.","Omlouvám se, jdu pozdě.",ne,ne,f
chercher,hledat,97,Je cherche une boulangerie près d’ici.,Hledám pekárnu někde poblíž.,ne,ne,
bleue,modrý,98,Elle porte une robe bleue aujourd’hui.,Dnes má na sobě modré šaty.,ne,ano,
noir,černý,99,"Je préfère le café noir, sans sucre.","Mám radši černou kávu, bez cukru.",ne,ne,
quartier,čtvrť,100,"J’habite dans un quartier calme, près d’ici.","Bydlím v klidné čtvrti, nedaleko odsud.",ne,ano,m
on y va,jdeme na to,101,On y va maintenant ?,Jdeme tam teď? / Vyrazíme teď?,ne,ano,
aujourd'hui,dnes,102,"Il fait beau aujourd’hui, on y va à pied.","Dnes je hezky, půjdeme tam pěšky.",ne,ne,
voisin,soused,103,"Mon voisin est gentil, mais il parle très fort.","Můj soused je hodný, ale mluví hodně nahlas.",ne,ne,m
clé,klíč,104,"Je cherche ma clé, je ne la trouve pas.","Hledám klíč, nemůžu ho najít.",ne,ne,f
viande,maso,105,Je ne mange pas de viande le soir.,Večer nejím maso.,ne,ano,f
coûter,stát,106,"Ça coûte combien, s’il vous plaît ?","Kolik to stojí, prosím?",ne,ano,
des,nějaký (neurčitý člen množného čísla),107,"Je voudrais des macarons au café, s’il vous plaît.","Chtěl bych kávové makronky, prosím.",ne,ne,
jouer,hrát,108,jouer au football; jouer à un jeu; jouer du piano,hrát fotbal; hrát hru; hrát na piano,ne,ano,
fête,oslava,109,"Ce soir, on fait une fête chez moi.",Dnes večer děláme oslavu u mě.,ne,ano,f
joli,"pěkný, hezký",110,"C’est un joli quartier, calme et propre.","Je to hezká čtvrť, klidná a čistá.",ne,ne,
content,"spokojený, jsem rád",111,Je suis content de te voir aujourd’hui.,"Jsem rád, že tě dnes vidím.",ne,ano,
jardin,zahrada,112,On mange dans le jardin quand il fait beau.,"Když je hezky, jíme na zahradě.",ne,ano,m
coûter,stát,113,Combien ça va coûter au total ? C'est combien au total?,Kolik to bude stát celkem? Kolik je to celkem?,ne,ano,
combien,"kolik, jak moc",114,Combien de temps ça prend ?,Jak dlouho to trvá?,ne,ne,
amener,"přináší, přivádí",115,Il amène son ami.,Přivádí svého kamaráda.,ne,ano,
comment,jak? / jakým způsobem?,116,Comment ça s’écrit ? Comment ça marche ?,Jak se to píše?  Jak to funguje?,ne,ano,
cinq,pět,117,Il y a cinq livres et quatre stylos sur la table.,Na stole je pět knih a čtyři pera.,ne,ano,
journée,den,118,Passe une bonne journée !,Měj hezký den!,ne,ano,f
chez,u někoho /k někomu,119,"On mange chez moi ce soir, d’accord ?","Dnes večer jíme u mě doma, platí?",ne,ano,
cousin,bratranec,120,Mon cousin habite à Prague.,Můj bratranec bydlí v Praze.,ne,ano,m
pays,země,121,"Ce pays est beau, mais il fait souvent très chaud.","Tahle země je krásná, ale často je tam velké horko.",ne,ano,m
pourquoi,proč,122,Pourquoi tu es en retard aujourd’hui ?,Pourquoi tu es en retard aujourd’hui ?,ne,ano,
magnifique,nádherný,123,C’est un jardin magnifique.,To je nádherná zahrada.,ne,ano,
lourde,těžký,124,Cette valise est lourde.,Tenhle kufr je těžký.,ne,ano,
fatigué,unavený,125,Je suis fatigué aujourd’hui.,Dnes jsem unavený.,ne,ano,
boulangerie,pekárna,126,Il y a une boulangerie près d’ici.,Je tu pekařství nedaleko.,ne,ano,f
maison,dům,127,Je rentre à la maison ce soir.,Dnes večer jdu domů.,ne,ano,f
capitale,hlavní město,128,Paris est la capitale de la France.,Paříž je hlavní město Francie.,ne,ano,f
adorer,"zbožňovat, milovat",129,"J’adore ce quartier, il est calme et joli.","Zbožňuju tuhle čtvrť, je klidná a hezká.",ne,ne,
un peu,trochu,130,"Je parle français un peu, mais je veux progresser.","Mluvím francouzsky trochu, ale chci se zlepšit.",ne,ano,
homme,muž,131,L'homme attend son ami devant la gare.,Muž čeká na svého kamaráda před nádražím.,ne,ne,m
femme,žena,132,La femme lit un livre dans le train.,Žena čte knihu ve vlaku.,ne,ne,f
garçon,chlapec,133,Le garçon joue au ballon dans le jardin.,Chlapec si hraje s míčem na zahradě.,ne,ano,m
fille,dívka,134,La fille dessine près de la fenêtre.,Dívka kreslí u okna.,ne,ne,f
père,otec,135,Le père prépare le dîner ce soir.,Otec dnes večer připravuje večeři.,ne,ne,m
mère,matka,136,La mère travaille aujourd'hui à la maison.,Matka dnes pracuje doma.,ne,ne,f
frère,bratr,137,Mon frère arrive demain matin.,Můj bratr přijede zítra ráno.,ne,ne,m
soeur,sestra,138,Ma sœur adore la musique classique.,Moje sestra zbožňuje klasickou hudbu.,ne,ne,f
fils,syn,139,Le fils téléphone à ses parents chaque soir.,Syn telefonuje rodičům každý večer.,ne,ne,m
appartement,byt,140,L'appartement est petit mais lumineux.,"Byt je malý, ale světlý.",ne,ne,m
école,škola,141,L'école ouvre à huit heures.,Škola otevírá v osm hodin.,ne,ano,f
livre,kniha,142,Le livre est sur la table du salon.,Kniha je na stole v obýváku.,ne,ano,m
table,stůl,143,La table est déjà mise pour le déjeuner.,Stůl je už prostřený na oběd.,ne,ano,f
chaise,židle,144,La chaise est près de la porte.,Židle je u dveří.,ne,ano,f
voiture,auto,145,La voiture rouge est devant l'hôtel.,Červené auto je před hotelem.,ne,ano,f
train,vlak,146,Le train part dans dix minutes.,Vlak odjíždí za deset minut.,ne,ano,m
ville,město,147,La ville est très animée le soir.,Město je večer velmi živé.,ne,ano,f
hôtel,hotel,148,L'hôtel se trouve au centre-ville.,Hotel se nachází v centru města.,ne,ano,m
sac,taška,149,J’ai un sac noir.,Mám černou tašku.,ne,ano,m
bienvenue,"vítej, vítejte",150,"Bienvenue chez nous ! Entrez, s’il vous plaît.","Vítejte u nás! Pojďte dál, prosím.",ne,ano,
couteau,nůž,151,"Attention, le couteau est sur la table.","Pozor, nůž je na stole.",ne,ano,m
sucre,cukr,152,"Je prends mon café sans sucre, merci.","Dám si kávu bez cukru, děkuju.",ne,ano,m
farine,mouka,153,J’ai acheté de la farine et du sucre à la boulangerie.,Koupil jsem mouku a cukr v pekárně.,ne,ano,f
placard,"skříňka, kredenc",154,"Les assiettes sont dans le placard, au-dessus de l’évier.",Talíře jsou ve skříňce nad dřezem.,ne,ano,m
cassée,"rozbitý, vyřízený",155,Je suis cassée après cette longue journée.,Jsem úplně vyřízená po tom dlouhém dni.,ne,ano,
verre,sklenice,156,"Le verre est sur la table, fais attention.","Sklenice je na stole, dávej pozor.",ne,ano,m
mince,"hubený, sakra",157,"Il est mince, mais il est très fort. Mince ! J’ai oublié mes clés.","Je hubený, ale je velmi silný. Sakra! Zapomněl jsem klíče.",ne,ano,
sale,špinavý/á,158,"Ma chemise est sale, je dois la laver.","Moje košile je špinavá, musím ji vyprat.",ne,ano,
tasse,hrnek / šálek,159,"Je voudrais une tasse de thé, s’il vous plaît.","Dal bych si šálek čaje, prosím.",ne,ano,f
laver,mýt / prát,160,Je lave les mains avant de manger.,Myju si ruce před jídlem.,ne,ano,
collègue,kolega / kolegyně,161,Ma collègue travaille dans le bureau d’à côté.,Moje kolegyně pracuje ve vedlejší kanceláři.,ne,ano,
