ES,CZ,Order
la motocicleta (la moto),motocykl,298
escribir,psát,299
escribir,napsat,300
escribir,sepsat,301
escribir,skládat (hudbu),302
nuevo,nový,303
nuevo,nováček,304
nuevo,čerstvý,305
nuevo,odpočatý,306
alegrar,rozveselit,307
alegrar,mít radost,308
alegrar,oživit,309
alegrar,ozdobit,310
¿Cuándo?,Kdy?,311
¿Para cuándo?, ¿Desde cuándo?, ¿Hasta cuándo?,Na kdy? Od kdy? Do kdy?,312
¿Cuándo naciste?,Kdy ses narodil?,313
¿Cuándo es tu cumpleaños?,Kdy máš narozeniny?,314
cuando,když,315
cuando,až,316
Ya que estás aquí...,Když už jsi tady…,317
encontrar dificultades,narazit na potíže,318
encontrar la solución,nalézt řešení,319
la dificultad,obtíž,320
la dificultad,potíž,321
la dificultad,problém,322
la dificultad,obtížnost,323
la solución,řešení,324
la solución,vyřešení,325
la solución,roztok,326
nuevamente,znovu,327
nuevamente,opět,328
nuevamente,ještě jednou,329
la Alemania,Německo,330
Republica Checa,Česká republika,331
o,nebo,332
o,neboli,333
o,buď a nebo,334
¡Bolsa o la vida!,Peníze nebo život!,335
poder,moci,336
poder,smět,337
el poder,moc,338
el poder,vláda,339
el poder,síla,340
el poder,schopnost,341
el poder,energie,342
poder legislativo,zákonodárná moc,343
cruzar,přejít,344
cruzar,přeletět,345
cruzar,přetínat,346
cruzar,překřížit,347
cruzar,křížit se,348
cruzar,vyměnit si (pohledy),349
la palabra,slovo,350
la palabra,řeč,351
la palabra,mluvení,352
la palabra,kecy,353
un, -a,nějaký,354
un, -a,jeden,355
estar,být,356
estar,nacházet se,357
estar,mít se jak,358
estoy, estamos,jsem,359
estoy, estamos,nacházím se,360
estoy, estamos,mám se,361
estás, estáis,jsi,362
estás, estáis,nacházíš se,363
estás, estáis,máš se,364
está, están,je,365
está, están,nachází se,366
está, están,má se,367
¿Cómo estás / está usted?,Jak se máš/máte?,368
Estoy bien.,Mám se dobře.,369
llevar,nést,370
llevar,vézt,371
llevar,přivézt,372
llevar,mít,373
llevar,obsahovat,374
llevar barba(s),mít vousy,375
llevar la mejor / la peor parte,být ve výhodě / v nevýhodě,376
mejor,lépe,377
mejor,lepší,378
peor,horší,379
peor,hůře,380
La mejor defensa es un buen ataque.,Nejlepší obrana je útok.,381
ello va de mal en peor,jde to od desíti k pěti,382
ello va de mal en peor,z kopce,383
desde... hasta...,od... do...,384
desde,z (místně),385
desde,od (časově),386
desde siempre,odjakživa,387
desde Inglaterra,z Anglie,388
la área,plocha,389
la área,rozloha,390
la área,oblast,391
la área,sféra,392
la posventa,záruční doba,393
la carretera,silnice,394
ya / ya veremos,už,395
ya / ya veremos,již,396
ya / ya veremos,teď,397
ya / ya veremos,ještě (v budoucnosti) / ještě uvidíme,398
Ya es tarde.,Už je pozdě.,399
Ya es la hora.,Už je nejvyšší čas. Už je na čase.,400
bonito, bonita,pěkný,401
bonito, bonita,hezký,402
bonito, bonita,pořádný,403
bonito, bonita,dobře,404
imaginar,představit si,405
imaginar,vymyslet si,406
imaginar,vybavit si,407
imaginar,věřit,408
viajar,cestovat,409
viajar,převážet se,410
viajar,jet,411
viajar en avión / a dedo,cestovat letadlem / autostopem,412
el dedo,prst,413
por1,krát při násobení,414
por1,přes,415
por1,po,416
por1,do místně,417
por2,v,418
por2,na,419
por2,o časově - během,420
por2,pomocí,421
por2,skrze,422
por2,prostřednictvím,423
por3,kvůli příčina,424
por3,důvod,425
por3,z důvodu,426
por3,skrz,427
por4,aby účel,428
por4,pro,429
por4,ve prospěch,430
por4,co se týká...,431
por4,pokud jde o...,432
por5,procento,433
famoso por productos, luchar por la paz,známý produkty,434
famoso por productos, luchar por la paz,bojovat za mír,435
por ejemplo,například,436
¿Por que?,Proč?,437
porque,protože,438
porque,poněvadž,439
porque,aby,440
el tiempo,čas,441
el tiempo,doba,442
el tiempo,období,443
el tiempo,počasí,444
también,také,445
también,též,446
también,rovněž,447
el trabajo,práce,448
el trabajo,zaměstnání,449
el trabajo,dílo,450
el trabajo,činnost (stroje),451
tener clases,mít vyučování,452
poseer,mít,453
poseer,vlastnit,454
el dinero,peníze,455
el dinero,oběživo,456
el hambre (ženský rod),hlad (i hlad po něčem),457
Tengo hambre.,Mám hlad.,458
la sed,žízeň,459
el pan,chléb,460
el pan,pečivo,461
(el) frío, -a,studený,462
(el) frío, -a,chladný,463
(el) frío, -a,(zima - pocit,464
(el) frío, -a,nízká teplota),465
el calor,teplo,466
el calor,horko,467
el día,den,468
muy,velmi,469
muy,moc,470
muy,hodně,471
bueno, -na,dobrý,472
bueno, -na,dobrá,473
buen,dobrý,474
buen,pěkný,475
muy bueno (nas),odpověď na pozdrav,476
muy bueno (nas),třeba buenas noches …,477
igual,stejný,478
igual,identický,479
igual,shodný,480
igual,rovnocenný,481
dar,dát,482
dar,podat,483
dar,darovat,484
andar,jít,485
andar,chodit,486
andar,kráčet,487
andar,obíhat (planety),488
andar,chůze,489
andar con rodeos,chodit kolem horké kaše,490
el rodeo(s),objížďka,491
el rodeo(s),oklika,492
el rodeo(s),zajížďka (okolky),493
la madre,matka,494
el padre,otec,495
todo,vše,496
todo,úplně celý,497
todo,všechen,498
esto,toto,499
esto,tohle,500
¿Qué?,Co? (What?),501
¿Qué es?,Jaké to je?,502
¿Qué es esto?,Co je to? (What is it?),503
¿Qué vino es?,Jaké je to víno (co je to za víno)?,504
¿Cómo?,Jak? Jaký? Jaká?,505
¿Cómo es?,Jaký je?,506
¿Quién? (a quién),Kdo? (komu,507
¿Quién? (a quién),koho),508
¿Quién es?,Kdo je to?,509
¿A quién esperas?,Na koho čekáš?,510
el alumno, la alumna,žák,511
el alumno, la alumna,žákyně,512
el estudiante, la estudiante,student,513
el estudiante, la estudiante,studentka,514
el automóvil,auto,515
el coche,vůz,516
caro,drahý (o ceně i člověku),517
la clase,třída,518
la clase,druh něčeho,519
la clase,vyučovací hodina,520
el compañero, la compañera,kolega,521
el compañero, la compañera,druh,522
el compañero, la compañera,přítel,523
el compañero, la compañera,soudruh,524
compañero de clase / trabajo,spolužák (spolupracovník),525
el cuaderno / encuadernar,sešit,526
el cuaderno / encuadernar,blok,527
el cuaderno / encuadernar,zápisník / svázat knihu,528
checo, -a,český,529
checo, -a,Čech,530
checo, -a,Češka,531
checo, -a,čeština,532
el diccionario,slovník,533
difícil / fácil,těžký,534
difícil / fácil,obtížný,535
difícil / fácil,nesnadný / snadný,536
difícil / fácil,lehký,537
elegante,elegantní,538
el universo,vesmír,539
aquí hay gato encerrado,tady je zakopaný pes,540
aquí,tady,541
aquí,zde,542
aquí,tu,543
aquí,sem,544
haber (he, has, ha (hay), hemos, habéis, han),být,545
haber (he, has, ha (hay), hemos, habéis, han),vyskytovat se,546
haber (he, has, ha (hay), hemos, habéis, han),muset,547
la raíz,kořen (i přeneseně jako důvod),548
la raíz,odmocnina,549
el problema,problém,550
ir (voy, vas, va, vemos, vais, van),jít,551
ir (voy, vas, va, vemos, vais, van),jet,552
ir (voy, vas, va, vemos, vais, van),chodit,553
ir (voy, vas, va, vemos, vais, van),odejít,554
ir de vacaciones,jet na dovolenou,555
bien,dobře,556
bien,správně,557
bien,pořádně,558
bien,v klidu,559
bien,bez potíží,560
a,do,561
a,k směr,562
a,u místně,563
a,v časově,564
a,způsob,565
a Madrid / a las cinco,do Madridu / v pět (hodin),566
de diez a doce,od desíti do dvanácti,567
exportar al extranjero, a máquina,vyvážet do zahraničí,568
exportar al extranjero, a máquina,strojově,569
correctamente,správně,570
correctamente,bezchybně,571
inteligente,inteligentní,572
interesante,zajímavý,573
latinoamericano,jihoamerický,574
latinoamericano,jihoameričan,575
mexicano, mejicano,mexický,576
mexicano, mejicano,mexičan,577
el libro,kniha,578
malo,špatný,579
malo,zlý,580
tumor maligno,maligní nádor,581
maligno,nebezpečný,582
maligno,velmi špatný,583
maligno,zhoubný,584
benigno,vlídný,585
benigno,laskavý,586
benigno,přívětivý,587
benigno,nezhoubný,588
el mapa,mapa,589
la mesa,stůl,590
la mesa,stolek,591
mi,můj,592
mi,moje,593
mi,mé,594
el chico, la chica,malý,595
el chico, la chica,maličký,596
el chico, la chica,kluk,597
el chico, la chica,holka,598
el chico, la chica,děcko,599
el muchacho, la muchacha,chlapec,600
el muchacho, la muchacha,dívka,601
la novela,román,602
pequeño,malý (dítě),603
de pequeño,jako malý,604
de pequeño,jako dítě,605
la pluma / pluma estilográfica,pero,606
la pluma / pluma estilográfica,peří,607
la pluma / pluma estilográfica,pero na psaní / plnicí pero,608
el profesor, la profesora,profesor,609
el profesor, la profesora,profesorka,610
simpático,sympatický,611
simpático,milý,612
simpático,příjemný,613
su,jeho,614
su,její,615
tu,tvůj,616
tu,tvá,617
tu,tvoje,618
el vino / vino con sifón  (con soda),víno / vinný střik,619
tinto,červený (o víně),620
un, una,jeden,621
un, una,jedna,622
un, una,člen neurčitý,623
español, -a,španělský,624
español, -a,španělština,625
español, -a,španěl,626
español, -a,španělka,627
¿Hablas español ? Sí, un poco.,Mluvíš španělsky? Ano,628
¿Hablas español ? Sí, un poco.,trochu.,629
No hablo español.,Nemluvím španělsky.,630
El español es fácil.,Španělština je lehká.,631
el amor,láska,632
el amor,miláček,633
el mundo,svět,634
el mundo,země,635
la Luna, el mes,Měsíc,636
la Luna, el mes,měsíc,637
pero / Tiene un pero.,ale,638
pero / Tiene un pero.,avšak,639
pero / Tiene un pero.,problem = háček / Má to jeden háček.,640
Vuestra Merced,Vaše milost (z toho usted),641
usted,vy (vykání jedné osobě),642
ustedes,vy (vykání v množném čísle),643
ahora,teď,644
ahora,nyní,645
alemán, alemana,němec,646
alemán, alemana,němka,647
alemán, alemana,němčina,648
eslovaco, -a,slovák,649
eslovaco, -a,slovenka,650
eslovaco, -a,slovenština,651
preguntar,ptát se,652
preguntar,tázat se,653
preguntar,vyptávat se,654
preguntar por el camino,zeptat se na cestu,655
Gracias por preguntar.,Děkuji za optání.,656
¿Puedo preguntar algo?,Mohu se na něco zeptat?,657
algo,něco,658
algo,cosi,659
algo,maličko,660
el camino,cesta,661
el camino,pěšina,662
contestar,odpovědět,663
contestar,odpovídat,664
contestar la cuestión,odpovědět na dotaz,665
la escuela,škola,666
el esposo, la esposa,manžel,667
el esposo, la esposa,manželka,668
el esposo, la esposa,choť,669
el maestro, la maestra,učitel,670
el maestro, la maestra,učitelka,671
decir, 1.digo / no decir ni mu, no decir ni pio,říci,672
decir, 1.digo / no decir ni mu, no decir ni pio,říkat,673
decir, 1.digo / no decir ni mu, no decir ni pio,tvrdit / ani nemuknout,674
a decir verdad,popravdě řečeno,675
a decir verdad,abych řekl pravdu,676
la hora de la verdad,hodina pravdy,677
la hora de la verdad,rozhodující okamžik,678
la reunión,sbírání,679
la reunión,shromaždování dat,680
la reunión,schůze,681
la reunión,setkání,682
la reunión,schůzka,683
la promesa / cumplir (romper) la promesa,slib,684
la promesa / cumplir (romper) la promesa,příslib / dodržet (porušit) slib,685
un saludo, un abrazo,s přátelským pozdravem v dopise,686
mal,špatně,687
portugués, -a,portugalský,688
portugués, -a,Protugalec (alka),689
portugués, -a,portugalština,690
extranjero, -ra,zahraniční,691
extranjero, -ra,cizí,692
extranjero, -ra,cizinec / cizinka,693
extranjero, -ra,zahraničí,694
extranjero, -ra,cizina,695
francés, -a,francouzský,696
francés, -a,francouzština,697
francés, -a,Francouz,698
francés, -a,Francouzka,699
italiano, -na,italský,700
italiano, -na,Ital(ka),701
italiano, -na,italština,702
la gramática,gramatika,703
la gramática,mluvnice,704
la lengua,jazyk (i orgán),705
la lengua,řeč,706
llamar,(za)volat,707
llamar,přivolat,708
llamar,nazývat,709
llamar,pojmenovat,710
llamar,říkat,711
llamar a la ambulancia,zavolat sanitku,712
llamar al ascensor,přivolat výtah,713
llamar la atención,přitahovat/(vz)budit pozornost,714
¿Cómo te llamas?,Jak se jmenuješ?,715
la pronunciación / el acento,výslovnost / přízvuk,716
pronunciar,vyslovovat,717
pronunciar,artikulovat,718
pronunciar,přednést,719
pronunciar,pronést,720
se,se,721
se,si,722
significar,znamenat,723
significar,označovat,724
querer / Te quiero.,chtít,725
querer / Te quiero.,přát si,726
querer / Te quiero.,milovat / Miluji Tě.,727
la desgracia,neštěstí,728
la desgracia,smůla,729
por desgracia,naneštěstí,730
por desgracia,bohužel,731
por desgracia,nemilost,732
por desgracia,nepřízeň,733
la cena,večeře,734
la comida,oběd,735
la comida,jídlo,736
la comida,pokrm,737
el desayuno,snídaně,738
el estreñimiento,zácpa,739
tener (que), 1.os. tengo,mít,740
tener (que), 1.os. tengo,obsahovat,741
tener (que), 1.os. tengo,(muset),742
el aprendiz, la aprendiza,učeň,743
el aprendiz, la aprendiza,učnice,744
beber,pít,745
buscar / la busca,hledat,746
buscar / la busca,shánět / hledání,747
el cigarrillo,cigareta,748
comer,jíst,749
comer,sníst,750
comer,sežrat,751
comerciante (el, la) / mercader,obchodník,752
comerciante (el, la) / mercader,obchodnice,753
el comercio,obchod,754
la computadora,počítač,755
la copia,kopie,756
¿dónde ?,kde ?,757
¿de dónde ? / ¿De dónde eres?,odkud ? / Odkud jsi?,758
¿adónde ? , ¿adónde vas ?,Kam ?,759
¿adónde ? , ¿adónde vas ?,Kam jedeš?,760
¿por dónde ?,kudy ?,761
el ejercicio,cvičení,762
el ejercicio,zkouška,763
el ejercicio,vykonávání,764
empleado, -da,zaměstnanec,765
empleado, -da,zaměstnankyně,766
empleado, -da,použitý,767
enseñar,učit,768
enseñar,vyučovat,769
enseñar,ukázat,770
enseñar,předvést,771
enseñar,označit,772
escuchar,poslouchat,773
escuchar,naslouchat,774
este, esta, esto,tento,775
este, esta, esto,tato,776
este, esta, esto,toto,777
este, esta, esto,tenhle,778
este, esta, esto,východ jako světová strana,779
este año,tento / letošní rok,780
estupendo,báječný,781
estupendo,skvělý,782
estupendo,bezvadný,783
estupendo,úžasný,784
(no) importar / Si no le importa...,mít zájem,785
(no) importar / Si no le importa...,importovat,786
(no) importar / Si no le importa...,vadit (nevadit) / jestli Vám to nevadí,787
la fábrica,fabrika,788
la fábrica,závod,789
la fábrica,výrobní,790
fumar,kouřit,791
fumar,vykouřit,792
hacer,dělat,793
hacer,udělat,794
hacer,vyrobit,795
yo hago, nosotros hacemos,dělám,796
yo hago, nosotros hacemos,děláme,797
tú haces, vosotros hacéis,děláš,798
tú haces, vosotros hacéis,děláte,799
él hace, allos hacen,dělá,800
él hace, allos hacen,dělají,801
la lección,cvičení,802
la lección,hodina,803
la lección,lekce,804
leer,číst,805
leer,předčítat,806
la mano, a mano,ruka,807
la mano, a mano,ručně,808
la máquina (a máquina),stroj,809
la máquina (a máquina),přístroj,810
la máquina (a máquina),lokomotiva (strojově),811
máquina de escribir,psací stroj,812
la memoria (de memoria),paměť,813
la memoria (de memoria),paměti,814
la memoria (de memoria),památka,815
la memoria (de memoria),vzpomínka (nazpaměť),816
la mercancía (frágil ),zboží (křehké),817
la música,hudba,818
niño, niña / la niñez,dětský,819
niño, niña / la niñez,dítě,820
niño, niña / la niñez,chlapeček,821
niño, niña / la niñez,holčička / dětství,822
obrero, obrera,dělnický,823
obrero, obrera,dělník,824
obrero, obrera,dělnice,825
la oficina / oficina de información (informace),kancelář / informační kancelář,826
la hora(s),hodina(ny),827
horario de oficina / horario de trabajo,úřední hodiny / pracovní doba,828
el horario / horario de vueltos,jízdní řád / letový řád,829
el original,originál,830
la radio / el radio,rádio / poloměr,831
la radio / el radio,kost vřetenní,832
telefonear,telefonovat,833
el texto,text,834
trabajar,pracovat,835
vender,prodat,836
vivir,žít,837
vivir,být na živu,838
vivir,bydlet,839
la vida,život,840
la vida,životnost,841
costes de la vida / nivel de vida,životní náklady / životní úroveň,842
el vocablo,slovo,843
el vocablo,slovíčko,844
unos, unas,několik,845
unos, unas,pár,846
unos, unas,asi,847
actual,aktuální,848
actual,nynější,849
agrícola,zemědělský,850
agrícola,zemědělec,851
amar,milovat,852
amar,mít rád,853
(edificio) antiguo / antiguo compañero,starý,854
(edificio) antiguo / antiguo compañero,starodávný,855
(edificio) antiguo / antiguo compañero,starožitný / starý,856
(edificio) antiguo / antiguo compañero,dlouholetý přítel,857
ayudar,pomoci,858
ayudar,pomáhat,859
ayudar,podpořit,860
el barrio (residencial),městská čtvrť (obytná),861
la calidad,kvalita,862
la calidad,jakost,863
la capital / el capital (capital inicial),hlavní město / jmění,864
la capital / el capital (capital inicial),kapitál (kmenové jmění),865
casi,téměř,866
casi,skoro,867
la cerveza,pivo,868
la ciudad,město,869
comercial,obchodní,870
comercial,komerční,871
contra,proti,872
el cristal / cristal de aumento, la lupa,sklo,873
el cristal / cristal de aumento, la lupa,křišťál / zvětšovací sklo,874
el chófer,řidič,875
el jefe, la jefa,šéf,876
el jefe, la jefa,šéfová,877
la libertad,svoboda,878
la liberación,osvobození,879
libre,volný,880
libre,svobodný,881
pesado,těžký (váha),882
la lucha,boj,883
luchar (por),bojovat (za),884
moderno,moderní,885
la mujer,žena,886
la nación,národ,887
nuestro,náš,888
nuestro,naše,889
numeroso,četný,890
la ocupación,okupace,891
de,odkud,892
de,o (předložka 2.pádu),893
soy de Praga, habla de su mujer,jsem z Prahy,894
soy de Praga, habla de su mujer,mluví o své ženě,895
la democracia / democrático,demokracie / demokratický,896
diferente,rozličný,897
diferente,různý,898
diferente,jiný,899
el edificio,budova,900
el edificio,stavba,901
exportar,exportovat,902
famoso,pověstný,903
famoso,známý,904
la guerra,válka,905
la historia / histórico,dějiny,906
la independencia,nezávislost,907
la industria / industrial,průmysl / průmyslový,908
el país,země,909
la patria,vlast,910
la paz,mír,911
el producto,výrobek,912
el pueblo,lid,913
el pueblo,vesnice,914
la representación,zastoupení,915
la secretaria,sekretářka,916
sólo,pouze,917
sólo,jen,918
solo,sám,919
solo,jediný,920
solo,samotný,921
solo,opuštěný,922
todos, -as,všichni,923
todos, -as,všechny,924
ver (veo, ves, ve, vemos, veis, ven),vidět,925
ver (veo, ves, ve, vemos, veis, ven),dívat se,926
ver (veo, ves, ve, vemos, veis, ven),chápat,927
ver (veo, ves, ve, vemos, veis, ven),tušit,928
oír (oigo, oyes, oye, oímos, oís, oyen),slyšet,929
sin / sin comentarios,bez / bez komentáře,930
sin discusión,bezpochyby,931
sin discusión,bez diskuse,932
sin discusión,nepochybně,933
siempre,vždy,934
siempre,stále,935
siempre,pořád,936
la falta,nedostatek,937
la falta,absence,938
la falta,chyba,939
la falta,omyl,940
falta de apetito,nechutenství,941
¿Quién falta ?,Kdo chybí?,942
faltar,chybět,943
faltar,nedostávat se,944
faltar,nesplnit,945
faltar a la verdad,lhát,946
faltar a la verdad,neříkat úplnou pravdu,947
faltar a su palabra,nedodržet své slovo,948
sin faltar una coma,do posledního písmenka,949
la coma / el coma,čárka ve větě / kóma,950
la letra (bellas letras  → krásná literatura beletrie ),písmeno,951
la carta (de amor, de recomendación),dopis,952
la carta (de amor, de recomendación),psaní (milostné,953
la carta (de amor, de recomendación),doporučení),954
Estoy de acuerdo contigo,Souhlasím s Tebou ...,955
el acuerdo / ¡De acuerdo !,dohoda,956
el acuerdo / ¡De acuerdo !,shoda,957
el acuerdo / ¡De acuerdo !,souhlas / platí,958
el acuerdo / ¡De acuerdo !,beru,959
el acuerdo / ¡De acuerdo !,domluveno!,960
la puta (hijo de puta ),kurva,961
la puta (hijo de puta ),děvka,962
